Site,Transect,Subsection,Stage,Soil Type,Horizon,Horizon Depth (cm),Rock-adjusted Volume (cm3),Coarse weight (g dry coarse),Soil Wt (g dry soil),Soil Bulk Density (g cm3),Coarse material density (g coarse cm3),Soil C(%),Soil N(%),g dry soil (m-2),Soil C (g C m-2),Coarse C (g C m-2),Soil & Coarse (g C m-2),Soil N (g N m-2),Coarse N (g N m-2),Soil & Coarse (g N m-2),C check,CN
BG47,4,100,Late,2_MS,4_Total,10.00,192.42,0.00,66.88,0.348,0.000,11.75,0.64,50820.94,5969.93,0.00,5969.93,323.69,0.00,323.69,,18.44
BG47,4,100,Late,3_Soil,6_Tot OM MS,25.00,769.69,4.62,218.26,,,,,90154.10,17314.57,600.09,17914.66,806.92,3.00,809.92,11344.64,22.12
CD58,1,20,Mid,1_OM,0_Litter,2.00,800.00,,7.610,0.010,,50.50,1.37,190.25,96.07,0.00,96.07,2.61,0.00,2.61,96.07,36.86
CD58,1,20,Mid,1_OM,1_0-5,5.00,192.42,0.52,6.93,0.036,0.003,40.63,1.41,1801.29,731.85,67.56,799.41,25.33,0.34,25.66,731.85,31.15
CD58,1,20,Mid,1_OM,2_5-10,5.00,192.42,0.09,11.06,0.057,0.000,37.11,1.50,2874.07,1066.45,11.69,1078.15,43.14,0.06,43.20,1066.45,24.96
CD58,1,20,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,1,20,Mid,1_OM,4_Total,10.00,384.85,0.61,17.99,0.047,0.002,38.46,1.46,4675.36,1798.30,79.25,1877.55,68.47,0.40,68.86,1798.30,27.27
CD58,1,20,Mid,1_OM,5_Total OM,12.00,1184.85,0.61,25.60,0.022,0.001,38.93,1.46,4865.61,1894.37,79.25,1973.62,71.07,0.40,71.47,1894.37,27.62
CD58,1,20,Mid,2_MS,1_0-5,5.00,192.42,0.00,194.80,1.012,0.000,1.40,0.07,50618.72,706.64,0.00,706.64,34.42,0.00,34.42,706.64,20.53
CD58,1,20,Mid,2_MS,2_5-10,5.00,192.42,0.00,161.44,0.839,0.000,7.81,0.39,41949.34,3274.15,0.00,3274.15,163.60,0.00,163.60,3274.15,20.01
CD58,1,20,Mid,2_MS,4_Total,10.00,384.85,0.00,356.24,0.926,0.000,4.30,0.21,92568.06,3980.78,0.00,3980.78,198.02,0.00,198.02,3980.78,20.10
CD58,1,20,Mid,3_Soil,6_Tot OM MS,22.00,1569.69,0.61,381.85,,,,,97433.67,5875.16,79.25,5954.41,269.10,0.40,269.49,5875.16,22.09
CD58,1,40,Mid,1_OM,0_Litter,2.00,800.00,,8.180,0.010,,50.68,1.35,204.50,103.65,0.00,103.65,2.77,0.00,2.77,103.65,37.46
CD58,1,40,Mid,1_OM,1_0-5,5.00,192.42,1.62,5.62,0.029,0.008,43.16,1.29,1459.75,630.07,210.47,840.55,18.79,1.05,19.84,630.07,42.37
CD58,1,40,Mid,1_OM,2_5-10,5.00,192.42,0.00,12.46,0.065,0.000,39.79,1.49,3237.12,1287.99,0.00,1287.99,48.07,0.00,48.07,1287.99,26.79
CD58,1,40,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,1,40,Mid,1_OM,4_Total,10.00,384.85,1.62,18.08,0.047,0.004,40.84,1.42,4696.88,1918.06,210.47,2128.53,66.86,1.05,67.91,1918.06,31.34
CD58,1,40,Mid,1_OM,5_Total OM,12.00,1184.85,1.62,26.26,0.022,0.001,41.25,1.42,4901.38,2021.71,210.47,2232.18,69.63,1.05,70.68,2021.71,31.58
CD58,1,40,Mid,2_MS,1_0-5,5.00,192.42,0.00,106.49,0.553,0.000,14.68,0.70,27670.86,4062.64,0.00,4062.64,192.87,0.00,192.87,4062.64,21.06
CD58,1,40,Mid,2_MS,2_5-10,5.00,192.42,0.00,204.40,1.062,0.000,1.03,0.06,53111.12,544.39,0.00,544.39,32.93,0.00,32.93,544.39,16.53
CD58,1,40,Mid,2_MS,4_Total,10.00,384.85,0.00,310.89,0.808,0.000,5.70,0.28,80781.98,4607.02,0.00,4607.02,225.79,0.00,225.79,4607.02,20.40
CD58,1,40,Mid,3_Soil,6_Tot OM MS,22.00,1569.69,1.62,337.14,,,,,85683.35,6628.73,210.47,6839.21,295.42,1.05,296.47,6628.73,23.07
CD58,1,60,Mid,1_OM,0_Litter,2.00,800.00,,7.900,0.010,,50.80,1.81,197.50,100.34,0.00,100.34,3.57,0.00,3.57,100.34,28.13
CD58,1,60,Mid,1_OM,1_0-5,5.00,192.42,0.26,4.78,0.025,0.001,46.81,1.35,1243.23,581.99,33.78,615.77,16.80,0.17,16.96,581.99,36.30
CD58,1,60,Mid,1_OM,2_5-10,5.00,192.42,0.64,6.09,0.032,0.003,34.51,1.16,1581.46,545.75,83.15,628.90,18.34,0.42,18.76,545.75,33.52
CD58,1,60,Mid,1_OM,3_10+,5.00,192.42,0.00,135.89,0.706,0.000,26.96,1.23,35311.25,9520.62,0.00,9520.62,432.92,0.00,432.92,9520.62,21.99
CD58,1,60,Mid,1_OM,4_Total,15.00,577.27,0.90,146.76,0.254,0.002,27.92,1.23,38135.93,10648.36,116.93,10765.29,468.06,0.58,468.64,10648.36,22.97
CD58,1,60,Mid,1_OM,5_Total OM,17.00,1377.27,0.90,154.66,0.112,0.001,28.04,1.23,38333.43,10748.69,116.93,10865.62,471.62,0.58,472.21,10748.69,23.01
CD58,1,60,Mid,2_MS,1_0-5,5.00,192.42,0.00,123.19,0.640,0.000,9.30,0.51,32011.18,2976.08,0.00,2976.08,161.66,0.00,161.66,2976.08,18.41
CD58,1,60,Mid,2_MS,2_5-10,5.00,,,,0.951,0.000,4.02,0.21,47530.23,1909.27,0.00,1909.27,98.27,0.00,98.27,1909.27,19.43
CD58,1,60,Mid,2_MS,4_Total,10.00,192.42,0.00,123.19,0.640,0.000,6.14,0.33,79541.41,4885.35,0.00,4885.35,259.92,0.00,259.92,,18.80
CD58,1,60,Mid,3_Soil,6_Tot OM MS,27.00,1569.69,0.90,277.86,,,,,117874.85,15634.04,116.93,15750.97,731.55,0.58,732.13,10748.69,21.51
CD58,1,80,Mid,1_OM,0_Litter,3.00,1200.00,,12.100,0.010,,50.91,1.74,302.50,154.00,0.00,154.00,5.25,0.00,5.25,154.00,29.34
CD58,1,80,Mid,1_OM,1_0-5,5.00,192.42,0.26,3.49,0.018,0.001,46.68,1.48,905.86,422.85,33.78,456.63,13.43,0.17,13.60,422.85,33.57
CD58,1,80,Mid,1_OM,2_5-10,5.00,192.42,0.00,11.56,0.060,0.000,41.85,1.38,3004.81,1257.63,0.00,1257.63,41.35,0.00,41.35,1257.63,30.42
CD58,1,80,Mid,1_OM,3_10+,5.00,192.42,0.00,49.00,0.255,0.000,32.16,1.44,12731.80,4094.16,0.00,4094.16,182.70,0.00,182.70,4094.16,22.41
CD58,1,80,Mid,1_OM,4_Total,15.00,577.27,0.26,64.05,0.111,0.000,34.70,1.43,16642.47,5774.65,33.78,5808.43,237.48,0.17,237.65,5774.65,24.44
CD58,1,80,Mid,1_OM,5_Total OM,18.00,1777.27,0.26,76.15,0.043,0.000,34.99,1.43,16944.97,5928.65,33.78,5962.43,242.73,0.17,242.90,5928.65,24.55
CD58,1,80,Mid,2_MS,1_0-5,5.00,192.42,0.14,105.56,0.549,0.001,14.04,0.71,27428.75,3850.17,18.01,3868.18,194.47,0.09,194.56,3850.17,19.88
CD58,1,80,Mid,2_MS,2_5-10,5.00,,,,0.951,0.000,4.02,0.21,47530.23,1909.27,0.00,1909.27,98.27,0.00,98.27,1909.27,19.43
CD58,1,80,Mid,2_MS,4_Total,10.00,192.42,0.14,105.56,0.549,0.001,7.68,0.39,74958.98,5759.44,18.01,5777.45,292.74,0.09,292.83,,19.73
CD58,1,80,Mid,3_Soil,6_Tot OM MS,28.00,1969.69,0.40,181.71,,,,,91903.95,11688.09,51.79,11739.88,535.47,0.26,535.72,5928.65,21.91
CD58,1,100,Mid,1_OM,0_Litter,2.00,800.00,,9.240,0.012,,50.70,1.52,231.00,117.12,0.00,117.12,3.51,0.00,3.51,117.12,33.38
CD58,1,100,Mid,1_OM,1_0-5,5.00,192.42,0.36,3.94,0.020,0.002,44.54,1.32,1023.35,455.75,46.77,502.52,13.54,0.23,13.77,455.75,36.49
CD58,1,100,Mid,1_OM,2_5-10,5.00,192.42,1.21,5.66,0.029,0.006,43.48,1.38,1470.44,639.32,157.21,796.52,20.31,0.79,21.09,639.32,37.76
CD58,1,100,Mid,1_OM,3_10+,10.00,384.85,0.59,150.11,0.390,0.002,23.21,1.13,39004.48,9052.65,76.60,9129.25,439.73,0.38,440.11,9052.65,20.74
CD58,1,100,Mid,1_OM,4_Total,20.00,769.69,2.16,159.70,0.207,0.003,24.45,1.14,41498.27,10147.72,280.58,10428.29,473.58,1.40,474.98,10147.72,21.96
CD58,1,100,Mid,1_OM,5_Total OM,22.00,1569.69,2.16,168.94,0.108,0.001,24.60,1.14,41729.27,10264.84,280.58,10545.42,477.08,1.40,478.49,10264.84,22.04
CD58,1,100,Mid,2_MS,1_0-5,5.00,.,.,.,0.689,0.000,8.42,0.42,34432.38,2898.88,4.50,2903.38,145.85,0.02,145.88,2898.88,19.90
CD58,1,100,Mid,2_MS,2_5-10,5.00,.,.,.,0.951,0.000,4.02,0.21,47530.23,1909.27,0.00,1909.27,98.27,0.00,98.27,1909.27,19.43
CD58,1,100,Mid,2_MS,4_Total,10.00,,,,,,,,81962.61,4808.15,4.50,4812.65,244.12,0.02,244.14,,19.71
CD58,1,100,Mid,3_Soil,6_Tot OM MS,32.00,1569.69,2.16,168.94,,,,,123691.88,15072.99,285.08,15358.07,721.20,1.43,722.63,10264.84,21.25
CD58,2,20,Mid,1_OM,0_Litter,2.00,800.00,,9.460,0.012,,51.73,1.62,236.50,122.33,0.00,122.33,3.82,0.00,3.82,122.33,32.03
CD58,2,20,Mid,1_OM,1_0-5,5.00,192.42,1.03,10.95,0.057,0.005,44.29,1.88,2844.17,1259.74,133.62,1393.36,53.36,0.67,54.02,1259.74,25.79
CD58,2,20,Mid,1_OM,2_5-10,3.00,115.45,0.19,6.77,0.059,0.002,35.79,1.15,1757.97,629.19,24.91,654.10,20.27,0.12,20.39,629.19,32.07
CD58,2,20,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,2,20,Mid,1_OM,4_Total,8.00,307.88,1.22,17.71,0.058,0.004,41.04,1.60,4602.14,1888.94,158.53,2047.46,73.63,0.79,74.42,1888.94,27.51
CD58,2,20,Mid,1_OM,5_Total OM,10.00,1107.88,1.22,27.17,0.025,0.001,41.57,1.60,4838.64,2011.27,158.53,2169.79,77.45,0.79,78.24,2011.27,27.73
CD58,2,20,Mid,2_MS,1_0-5,5.00,192.42,1.40,105.52,0.548,0.007,6.44,0.32,27417.61,1765.74,182.43,1948.17,88.93,0.91,89.84,1765.74,21.69
CD58,2,20,Mid,2_MS,2_5-10,5.00,192.42,0.00,186.12,0.967,0.000,1.84,0.12,48362.11,887.44,0.00,887.44,56.10,0.00,56.10,887.44,15.82
CD58,2,20,Mid,2_MS,4_Total,10.00,384.85,1.40,291.63,0.758,0.004,3.50,0.19,75779.72,2653.19,182.43,2835.62,145.03,0.91,145.94,2653.19,19.43
CD58,2,20,Mid,3_Soil,6_Tot OM MS,20.00,1492.72,2.62,318.81,,,,,80618.37,4664.46,340.95,5005.41,222.47,1.70,224.18,4664.46,22.33
CD58,2,40,Mid,1_OM,0_Litter,7.00,2800.00,,8.110,0.003,,50.65,1.27,202.75,102.70,0.00,102.70,2.57,0.00,2.57,102.70,39.98
CD58,2,40,Mid,1_OM,1_0-5,5.00,192.42,0.00,6.29,0.033,0.000,43.72,2.64,1633.38,714.10,0.00,714.10,43.07,0.00,43.07,714.10,16.58
CD58,2,40,Mid,1_OM,2_5-10,5.00,192.42,0.00,16.53,0.086,0.000,31.96,1.77,4296.27,1373.26,0.00,1373.26,76.04,0.00,76.04,1373.26,18.06
CD58,2,40,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,2,40,Mid,1_OM,4_Total,10.00,384.85,0.00,22.82,0.059,0.000,35.20,2.01,5929.65,2087.36,0.00,2087.36,119.12,0.00,119.12,2087.36,17.52
CD58,2,40,Mid,1_OM,5_Total OM,17.00,3184.85,0.00,30.93,0.010,0.000,35.71,1.98,6132.40,2190.06,0.00,2190.06,121.69,0.00,121.69,2190.06,18.00
CD58,2,40,Mid,2_MS,1_0-5,5.00,192.42,2.03,118.70,0.617,0.011,12.41,0.61,30844.75,3829.00,264.28,4093.28,189.08,1.32,190.40,3829.00,21.50
CD58,2,40,Mid,2_MS,2_5-10,5.00,192.42,0.00,169.88,0.883,0.000,1.65,0.10,44143.09,726.60,0.00,726.60,45.47,0.00,45.47,726.60,15.98
CD58,2,40,Mid,2_MS,4_Total,10.00,384.85,2.03,288.59,0.750,0.005,6.08,0.31,74987.84,4555.59,264.28,4819.87,234.54,1.32,235.87,4555.59,20.43
CD58,2,40,Mid,3_Soil,6_Tot OM MS,27.00,3569.69,2.03,319.52,,,,,81120.24,6745.65,264.28,7009.93,356.23,1.32,357.55,6745.65,19.61
CD58,2,60,Mid,1_OM,0_Litter,2.00,800.00,,8.200,0.010,,51.00,1.27,205.00,104.56,0.00,104.56,2.61,0.00,2.61,104.56,40.03
CD58,2,60,Mid,1_OM,1_0-5,5.00,192.42,1.42,28.36,0.147,0.007,39.97,2.23,7370.04,2945.58,184.26,3129.85,164.28,0.92,165.20,2945.58,18.95
CD58,2,60,Mid,1_OM,2_5-10,3.00,115.45,0.00,19.55,0.169,0.000,20.75,1.36,5080.50,1054.00,0.00,1054.00,69.20,0.00,69.20,1054.00,15.23
CD58,2,60,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,2,60,Mid,1_OM,4_Total,8.00,307.88,1.42,47.92,0.156,0.005,32.12,1.88,12450.53,3999.58,184.26,4183.85,233.47,0.92,234.40,3999.58,17.85
CD58,2,60,Mid,1_OM,5_Total OM,10.00,1107.88,1.42,56.12,0.051,0.001,32.43,1.87,12655.53,4104.14,184.26,4288.40,236.09,0.92,237.01,4104.14,18.09
CD58,2,60,Mid,2_MS,1_0-5,5.00,192.42,0.16,105.03,0.546,0.001,5.50,0.42,27292.70,1501.64,21.13,1522.77,114.36,0.11,114.46,1501.64,13.30
CD58,2,60,Mid,2_MS,2_5-10,5.00,192.42,0.00,159.55,0.829,0.000,2.53,0.19,41459.35,1050.58,0.00,1050.58,80.43,0.00,80.43,1050.58,13.06
CD58,2,60,Mid,2_MS,4_Total,10.00,384.85,0.16,264.59,0.688,0.000,3.71,0.28,68752.04,2552.22,21.13,2573.35,194.79,0.11,194.89,2552.22,13.20
CD58,2,60,Mid,3_Soil,6_Tot OM MS,20.00,1492.72,1.58,320.70,,,,,81407.57,6656.36,205.39,6861.75,430.87,1.03,431.90,6656.36,15.89
CD58,2,80,Mid,1_OM,0_Litter,4.00,1600.00,,9.900,0.006,,51.22,1.47,247.50,126.77,0.00,126.77,3.64,0.00,3.64,126.77,34.87
CD58,2,80,Mid,1_OM,1_0-5,5.00,192.42,0.77,12.42,0.065,0.004,44.29,2.28,3226.97,1429.19,99.43,1528.63,73.64,0.50,74.14,1429.19,20.62
CD58,2,80,Mid,1_OM,2_5-10,3.00,115.45,0.73,17.56,0.152,0.006,38.38,2.36,4562.28,1751.19,94.69,1845.87,107.85,0.47,108.33,1751.19,17.04
CD58,2,80,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,2,80,Mid,1_OM,4_Total,8.00,307.88,1.49,29.98,0.097,0.005,40.83,2.33,7789.26,3180.38,194.12,3374.50,181.49,0.97,182.46,3180.38,18.49
CD58,2,80,Mid,1_OM,5_Total OM,12.00,1907.88,1.49,39.88,0.021,0.001,41.15,2.30,8036.76,3307.15,194.12,3501.27,185.13,0.97,186.10,3307.15,18.81
CD58,2,80,Mid,2_MS,1_0-5,5.00,192.42,0.00,117.33,0.610,0.000,6.69,0.39,30488.17,2039.66,0.00,2039.66,118.90,0.00,118.90,2039.66,17.15
CD58,2,80,Mid,2_MS,2_5-10,5.00,192.42,0.00,132.37,0.688,0.000,4.77,0.27,34395.91,1639.31,0.00,1639.31,92.87,0.00,92.87,1639.31,17.65
CD58,2,80,Mid,2_MS,4_Total,10.00,384.85,0.00,249.70,0.649,0.000,5.67,0.33,64884.08,3678.97,0.00,3678.97,211.77,0.00,211.77,3678.97,17.37
CD58,2,80,Mid,3_Soil,6_Tot OM MS,22.00,2292.72,1.49,289.58,,,,,72920.83,6986.12,194.12,7180.24,396.90,0.97,397.87,6986.12,18.05
CD58,2,100,Mid,1_OM,0_Litter,3.00,1200.00,,6.950,0.006,,50.89,1.56,173.75,88.42,0.00,88.42,2.72,0.00,2.72,88.42,32.54
CD58,2,100,Mid,1_OM,1_0-5,5.00,192.42,0.00,23.87,0.124,0.000,32.66,1.90,6203.39,2025.78,0.00,2025.78,117.74,0.00,117.74,2025.78,17.21
CD58,2,100,Mid,1_OM,2_5-10,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,2,100,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,2,100,Mid,1_OM,4_Total,5.00,192.42,0.00,23.87,0.124,0.000,32.66,1.90,6203.39,2025.78,0.00,2025.78,117.74,0.00,117.74,2025.78,17.21
CD58,2,100,Mid,1_OM,5_Total OM,8.00,1392.42,0.00,30.82,0.022,0.000,33.15,1.89,6377.14,2114.20,0.00,2114.20,120.46,0.00,120.46,2114.20,17.55
CD58,2,100,Mid,2_MS,1_0-5,5.00,192.42,0.63,84.65,0.440,0.003,7.06,0.51,21995.97,1553.99,81.98,1635.97,112.83,0.41,113.24,1553.99,14.45
CD58,2,100,Mid,2_MS,2_5-10,5.00,192.42,0.48,179.88,0.935,0.002,3.58,0.27,46740.79,1673.30,61.90,1735.19,126.42,0.31,126.73,1673.30,13.69
CD58,2,100,Mid,2_MS,4_Total,10.00,384.85,1.11,264.53,0.687,0.003,4.70,0.35,68736.76,3227.28,143.88,3371.16,239.25,0.72,239.97,3227.28,14.05
CD58,2,100,Mid,3_Soil,6_Tot OM MS,18.00,1777.27,1.11,295.35,,,,,75113.90,5341.48,143.88,5485.36,359.71,0.72,360.43,5341.48,15.22
CD58,3,20,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,20,Mid,1_OM,1_0-5,5.00,192.42,0.74,12.88,0.067,0.004,45.07,2.12,3345.81,1507.96,95.68,1603.64,70.93,0.48,71.41,1507.96,22.46
CD58,3,20,Mid,1_OM,2_5-10,5.00,192.42,0.00,17.27,0.090,0.000,43.00,2.16,4488.36,1930.09,0.00,1930.09,96.90,0.00,96.90,1930.09,19.92
CD58,3,20,Mid,1_OM,3_10+,4.00,153.94,0.00,16.03,0.104,0.000,37.77,1.97,4166.26,1573.60,0.00,1573.60,81.91,0.00,81.91,1573.60,19.21
CD58,3,20,Mid,1_OM,4_Total,14.00,538.78,0.74,46.18,0.086,0.001,41.76,2.08,12000.44,5011.64,95.68,5107.32,249.74,0.48,250.22,5011.64,20.41
CD58,3,20,Mid,1_OM,5_Total OM,14.00,538.78,0.74,46.18,0.086,0.001,41.76,2.08,12000.44,5011.64,95.68,5107.32,249.74,0.48,250.22,5011.64,20.41
CD58,3,20,Mid,2_MS,1_0-5,5.00,.,.,.,0.450,0.009,6.48,0.36,22502.98,1459.22,230.82,1690.04,81.37,1.15,82.53,1459.22,20.48
CD58,3,20,Mid,2_MS,2_5-10,5.00,.,.,.,0.687,0.002,3.78,0.23,34345.97,1298.62,37.98,1336.60,80.29,0.19,80.48,1298.62,16.61
CD58,3,20,Mid,2_MS,4_Total,10.00,,,,,,,,56848.95,2757.83,268.80,3026.63,161.66,1.34,163.01,,18.57
CD58,3,20,Mid,3_Soil,6_Tot OM MS,24.00,538.78,0.74,46.18,,,,,68849.39,7769.47,364.48,8133.96,411.41,1.82,413.23,5011.64,19.68
CD58,3,40,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,40,Mid,1_OM,1_0-5,5.00,192.42,0.00,12.62,0.066,0.000,45.81,2.05,3278.38,1501.79,0.00,1501.79,67.34,0.00,67.34,1501.79,22.30
CD58,3,40,Mid,1_OM,2_5-10,2.00,76.97,2.59,7.63,0.099,0.034,34.64,1.57,1982.88,686.93,336.93,1023.86,31.03,1.68,32.72,686.93,31.29
CD58,3,40,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,40,Mid,1_OM,4_Total,7.00,269.39,2.59,20.25,0.075,0.010,41.60,1.87,5261.26,2188.72,336.93,2525.65,98.37,1.68,100.05,2188.72,25.24
CD58,3,40,Mid,1_OM,5_Total OM,7.00,269.39,2.59,20.25,0.075,0.010,41.60,1.87,5261.26,2188.72,336.93,2525.65,98.37,1.68,100.05,2188.72,25.24
CD58,3,40,Mid,2_MS,1_0-5,5.00,192.42,1.39,91.24,0.474,0.007,7.10,0.34,23708.15,1684.23,181.22,1865.44,79.90,0.91,80.80,1684.23,23.09
CD58,3,40,Mid,2_MS,2_5-10,5.00,192.42,0.00,155.21,0.807,0.000,3.04,0.18,40330.59,1227.26,0.00,1227.26,71.79,0.00,71.79,1227.26,17.10
CD58,3,40,Mid,2_MS,4_Total,10.00,384.85,1.39,246.45,0.640,0.004,4.55,0.24,64038.75,2911.49,181.22,3092.70,151.68,0.91,152.59,2911.49,20.27
CD58,3,40,Mid,3_Soil,6_Tot OM MS,17.00,654.24,3.99,266.70,,,,,69300.00,5100.21,518.15,5618.36,250.05,2.59,252.65,5100.21,22.24
CD58,3,60,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,60,Mid,1_OM,1_0-5,5.00,192.42,0.37,10.84,0.056,0.002,42.91,2.25,2816.51,1208.42,47.80,1256.22,63.48,0.24,63.72,1208.42,19.71
CD58,3,60,Mid,1_OM,2_5-10,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,60,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,60,Mid,1_OM,4_Total,5.00,192.42,0.37,10.84,0.056,0.002,42.91,2.25,2816.51,1208.42,47.80,1256.22,63.48,0.24,63.72,1208.42,19.71
CD58,3,60,Mid,1_OM,5_Total OM,5.00,192.42,0.37,10.84,0.056,0.002,42.91,2.25,2816.51,1208.42,47.80,1256.22,63.48,0.24,63.72,1208.42,19.71
CD58,3,60,Mid,2_MS,1_0-5,5.00,192.42,3.83,38.38,0.199,0.020,11.80,0.61,9971.62,1176.68,497.64,1674.32,60.80,2.49,63.29,1176.68,26.46
CD58,3,60,Mid,2_MS,2_5-10,5.00,192.42,0.00,98.15,0.510,0.000,6.64,0.38,25504.77,1694.63,0.00,1694.63,97.37,0.00,97.37,1694.63,17.40
CD58,3,60,Mid,2_MS,4_Total,10.00,384.85,3.83,136.53,0.355,0.010,8.09,0.45,35476.40,2871.32,497.64,3368.96,158.17,2.49,160.66,2871.32,20.97
CD58,3,60,Mid,3_Soil,6_Tot OM MS,15.00,577.27,4.20,147.37,,,,,38292.91,4079.74,545.43,4625.18,221.66,2.73,224.38,4079.74,20.61
CD58,3,80,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,80,Mid,1_OM,1_0-5,5.00,192.42,0.00,12.76,0.066,0.000,42.07,1.62,3316.01,1394.91,0.00,1394.91,53.55,0.00,53.55,1394.91,26.05
CD58,3,80,Mid,1_OM,2_5-10,3.00,115.45,0.34,23.34,0.202,0.003,31.33,1.62,6064.78,1900.16,43.62,1943.77,98.13,0.22,98.35,1900.16,19.76
CD58,3,80,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,80,Mid,1_OM,4_Total,8.00,307.88,0.34,36.10,0.117,0.001,35.13,1.62,9380.79,3295.07,43.62,3338.69,151.68,0.22,151.90,3295.07,21.98
CD58,3,80,Mid,1_OM,5_Total OM,8.00,307.88,0.34,36.10,0.117,0.001,35.13,1.62,9380.79,3295.07,43.62,3338.69,151.68,0.22,151.90,3295.07,21.98
CD58,3,80,Mid,2_MS,1_0-5,5.00,192.42,1.58,113.37,0.589,0.008,5.81,0.36,29457.80,1711.79,204.84,1916.64,106.05,1.02,107.07,1711.79,17.90
CD58,3,80,Mid,2_MS,2_5-10,5.00,192.42,0.95,134.85,0.701,0.005,3.41,0.24,35040.80,1195.59,124.02,1319.62,84.10,0.62,84.72,1195.59,15.58
CD58,3,80,Mid,2_MS,4_Total,10.00,384.85,2.53,248.22,0.645,0.007,4.51,0.29,64498.59,2907.38,328.87,3236.25,190.15,1.64,191.79,2907.38,16.87
CD58,3,80,Mid,3_Soil,6_Tot OM MS,18.00,692.72,2.87,284.32,,,,,73879.39,6202.45,372.49,6574.94,341.83,1.86,343.69,6202.45,19.13
CD58,3,100,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,100,Mid,1_OM,1_0-5,5.00,192.42,0.42,21.76,0.113,0.002,37.84,1.96,5653.61,2139.33,54.19,2193.51,110.87,0.27,111.14,2139.33,19.74
CD58,3,100,Mid,1_OM,2_5-10,3.00,115.45,0.00,19.93,0.173,0.000,37.84,1.96,5179.38,1959.88,0.00,1959.88,101.57,0.00,101.57,1959.88,19.30
CD58,3,100,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
CD58,3,100,Mid,1_OM,4_Total,8.00,307.88,0.42,41.69,0.135,0.001,37.84,1.96,10832.99,4099.20,54.19,4153.39,212.43,0.27,212.71,4099.20,19.53
CD58,3,100,Mid,1_OM,5_Total OM,8.00,307.88,0.42,41.69,0.135,0.001,37.84,1.96,10832.99,4099.20,54.19,4153.39,212.43,0.27,212.71,4099.20,19.53
CD58,3,100,Mid,2_MS,1_0-5,5.00,192.42,0.30,103.42,0.537,0.002,4.70,0.29,26874.34,1264.17,39.57,1303.74,78.74,0.20,78.94,1264.17,16.52
CD58,3,100,Mid,2_MS,2_5-10,5.00,192.42,0.21,140.50,0.730,0.001,2.95,0.19,36507.73,1076.98,27.91,1104.89,67.90,0.14,68.04,1076.98,16.24
CD58,3,100,Mid,2_MS,4_Total,10.00,384.85,0.52,243.92,0.634,0.001,3.69,0.23,63382.07,2341.15,67.48,2408.62,146.65,0.34,146.98,2341.15,16.39
CD58,3,100,Mid,3_Soil,6_Tot OM MS,18.00,692.72,0.94,285.61,,,,,74215.06,6440.35,121.66,6562.02,359.08,0.61,359.69,6440.35,18.24
