Site,Transect,Subsection,Stage,Soil Type,Horizon,Horizon Depth (cm),Rock-adjusted Volume (cm3),Coarse weight (g dry coarse),Soil Wt (g dry soil),Soil Bulk Density (g cm3),Coarse material density (g coarse cm3),Soil C(%),Soil N(%),g dry soil (m-2),Soil C (g C m-2),Coarse C (g C m-2),Soil & Coarse (g C m-2),Soil N (g N m-2),Coarse N (g N m-2),Soil & Coarse (g N m-2),C check,CN
BD69,4,40,Mid,1_OM,4_Total,3.00,115.22,5.25,31.64,0.275,0.046,22.41,1.16,8238.79,1845.98,683.39,2529.37,95.49,3.42,98.90,1845.98,25.57
BD69,4,40,Mid,1_OM,5_Total OM,5.00,915.22,5.25,45.27,0.049,0.006,23.45,1.15,8579.54,2012.10,683.39,2695.49,98.93,3.42,102.35,2012.10,26.34
BD69,4,40,Mid,2_MS,1_0-5,5.00,192.18,0.00,102.95,0.536,0.000,2.34,0.13,26786.07,627.33,0.00,627.33,35.63,0.00,35.63,627.33,17.61
BD69,4,40,Mid,2_MS,2_5-10,5.00,189.96,0.55,167.70,0.883,0.003,1.85,0.10,44141.23,817.50,72.84,890.34,43.26,0.36,43.62,817.50,20.41
BD69,4,40,Mid,2_MS,4_Total,10.00,382.14,0.55,270.66,0.708,0.001,2.04,0.11,70927.30,1444.83,72.84,1517.67,78.88,0.36,79.25,1442.78,19.15
BD69,4,40,Mid,3_Soil,6_Tot OM MS,15.00,1297.36,5.80,315.93,,,,,79506.84,3456.93,756.23,4213.16,177.82,3.78,181.60,3454.88,23.20
BD69,4,60,Mid,1_OM,0_Litter,2.00,800.00,,13.54,0.017,,49.23,1.02,338.50,166.63,0.00,166.63,3.44,0.00,3.44,166.63,48.45
BD69,4,60,Mid,1_OM,1_0-5,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,60,Mid,1_OM,2_5-10,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,60,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,60,Mid,1_OM,4_Total,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,60,Mid,1_OM,5_Total OM,2.00,800.00,0.00,13.54,0.017,0.000,49.23,1.02,338.50,166.63,0.00,166.63,3.44,0.00,3.44,166.63,48.45
BD69,4,60,Mid,2_MS,1_0-5,5.00,192.42,1.72,87.53,0.455,0.009,8.78,0.51,22745.26,1997.92,222.97,2220.89,115.64,1.11,116.75,1997.92,19.02
BD69,4,60,Mid,2_MS,2_5-10,5.00,191.46,0.71,151.48,0.791,0.004,4.30,0.23,39558.12,1699.10,93.04,1792.14,92.68,0.47,93.14,1699.10,19.24
BD69,4,60,Mid,2_MS,4_Total,10.00,383.89,2.43,239.01,0.623,0.006,5.93,0.33,62303.38,3697.02,316.01,4013.03,208.31,1.58,209.89,3694.53,19.12
BD69,4,60,Mid,3_Soil,6_Tot OM MS,12.00,1183.89,2.43,252.55,,,,,62641.88,3863.64,316.01,4179.66,211.75,1.58,213.33,3861.16,19.59
BD69,4,80,Mid,1_OM,0_Litter,3.00,1200.00,,17.06,0.014,,49.20,0.97,426.50,209.83,0.00,209.83,4.13,0.00,4.13,209.83,50.82
BD69,4,80,Mid,1_OM,1_0-5,4.00,153.94,0.18,19.63,0.128,0.001,33.07,1.61,5101.39,1687.08,23.75,1710.83,82.23,0.12,82.35,1687.08,20.77
BD69,4,80,Mid,1_OM,2_5-10,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,80,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,80,Mid,1_OM,4_Total,4.00,153.94,0.18,19.63,0.128,0.001,33.07,1.61,5101.39,1687.08,23.75,1710.83,82.23,0.12,82.35,1687.08,20.77
BD69,4,80,Mid,1_OM,5_Total OM,7.00,1353.94,0.18,36.69,0.027,0.000,34.32,1.56,5527.89,1896.91,23.75,1920.66,86.36,0.12,86.48,1896.91,22.21
BD69,4,80,Mid,2_MS,1_0-5,5.00,191.21,1.63,138.89,0.726,0.009,4.09,0.22,36317.95,1483.95,213.62,1697.57,79.17,1.07,80.24,1483.95,21.16
BD69,4,80,Mid,2_MS,2_5-10,5.00,192.12,0.00,185.93,0.968,0.000,0.98,0.06,48389.03,474.21,0.00,474.21,30.97,0.00,30.97,474.21,15.31
BD69,4,80,Mid,2_MS,4_Total,10.00,383.33,1.63,324.82,0.847,0.004,2.31,0.13,84706.98,1958.16,213.62,2171.79,110.14,1.07,111.21,1958.82,19.53
BD69,4,80,Mid,3_Soil,6_Tot OM MS,17.00,1737.27,1.82,361.51,,,,,90234.88,3855.07,237.37,4092.44,196.51,1.19,197.69,3855.73,20.70
BD69,4,100,Mid,1_OM,0_Litter,3.00,1200.00,,17.20,0.014,,48.84,1.00,430.00,210.01,0.00,210.01,4.29,0.00,4.29,210.01,48.99
BD69,4,100,Mid,1_OM,1_0-5,3.00,115.45,1.14,25.10,0.217,0.010,31.43,1.59,6521.06,2049.63,148.05,2197.68,103.75,0.74,104.49,2049.63,21.03
BD69,4,100,Mid,1_OM,2_5-10,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,100,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,4,100,Mid,1_OM,4_Total,3.00,115.45,1.14,25.10,0.217,0.010,31.43,1.59,6521.06,2049.63,148.05,2197.68,103.75,0.74,104.49,2049.63,21.03
BD69,4,100,Mid,1_OM,5_Total OM,6.00,1315.45,1.14,42.30,0.032,0.001,32.51,1.55,6951.06,2259.64,148.05,2407.69,108.04,0.74,108.78,2259.64,22.13
BD69,4,100,Mid,2_MS,1_0-5,5.00,192.42,1.66,87.99,0.457,0.009,6.95,0.50,22863.27,1589.68,215.61,1805.29,115.23,1.08,116.31,1589.68,15.52
BD69,4,100,Mid,2_MS,2_5-10,5.00,192.42,1.54,147.27,0.765,0.008,3.28,0.30,38267.87,1255.95,199.77,1455.72,115.57,1.00,116.57,1255.95,12.49
BD69,4,100,Mid,2_MS,4_Total,10.00,384.85,3.20,235.26,0.611,0.008,4.65,0.38,61131.15,2845.63,415.38,3261.01,230.80,2.08,232.88,2845.63,14.00
BD69,4,100,Mid,3_Soil,6_Tot OM MS,16.00,1700.30,4.34,277.56,,,,,68082.20,5105.28,563.43,5668.70,338.84,2.82,341.65,5105.28,16.59
BD69,5,20,Mid,1_OM,0_Litter,1.00,400.00,,3.78,0.009,,50.30,0.69,94.50,47.54,0.00,47.54,0.65,0.00,0.65,47.54,73.22
BD69,5,20,Mid,1_OM,1_0-5,5.00,192.42,1.65,16.97,0.088,0.009,41.50,1.36,4408.91,1829.74,213.78,2043.53,59.74,1.07,60.81,1829.74,33.61
BD69,5,20,Mid,1_OM,2_5-10,5.00,192.42,0.00,40.25,0.209,0.000,23.57,0.94,10457.95,2464.42,0.00,2464.42,98.10,0.00,98.10,2464.42,25.12
BD69,5,20,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,5,20,Mid,1_OM,4_Total,10.00,384.85,1.65,57.21,0.149,0.004,28.88,1.06,14866.86,4294.16,213.78,4507.94,157.84,1.07,158.91,4294.16,28.37
BD69,5,20,Mid,1_OM,5_Total OM,11.00,784.85,1.65,60.99,0.078,0.002,29.02,1.06,14961.36,4341.69,213.78,4555.48,158.49,1.07,159.55,4341.69,28.55
BD69,5,20,Mid,2_MS,1_0-5,5.00,192.42,0.00,204.10,1.061,0.000,2.17,0.13,53035.35,1149.28,0.00,1149.28,71.07,0.00,71.07,1149.28,16.17
BD69,5,20,Mid,2_MS,2_5-10,5.00,192.42,0.00,292.56,1.520,0.000,1.52,0.10,76021.46,1154.77,0.00,1154.77,78.30,0.00,78.30,1154.77,14.75
BD69,5,20,Mid,2_MS,4_Total,10.00,384.85,0.00,496.67,1.291,0.000,1.79,0.12,129056.81,2304.04,0.00,2304.04,149.37,0.00,149.37,2304.04,15.43
BD69,5,20,Mid,3_Soil,6_Tot OM MS,21.00,1169.69,1.65,557.66,,,,,144018.17,6645.74,213.78,6859.52,307.86,1.07,308.92,6645.74,22.20
BD69,5,40,Mid,1_OM,0_Litter,0.50,200.00,,3.03,0.015,,50.42,0.84,75.75,38.20,0.00,38.20,0.63,0.00,0.63,38.20,60.24
BD69,5,40,Mid,1_OM,1_0-5,5.00,192.42,0.00,6.91,0.036,0.000,40.12,1.57,1796.33,720.72,0.00,720.72,28.13,0.00,28.13,720.72,25.62
BD69,5,40,Mid,1_OM,2_5-10,5.00,192.42,3.77,22.12,0.115,0.020,22.11,0.87,5747.84,1270.85,489.43,1760.28,50.01,2.45,52.45,1270.85,33.56
BD69,5,40,Mid,1_OM,3_10+,5.00,192.42,6.97,28.53,0.148,0.036,35.63,0.88,7412.66,2640.76,905.73,3546.49,65.16,4.53,69.69,2640.76,50.89
BD69,5,40,Mid,1_OM,4_Total,15.00,577.27,10.74,57.56,0.100,0.019,30.97,0.96,14956.83,4632.33,1395.16,6027.49,143.29,6.98,150.27,4632.33,40.11
BD69,5,40,Mid,1_OM,5_Total OM,15.50,777.27,10.74,60.59,0.078,0.014,31.07,0.96,15032.58,4670.53,1395.16,6065.69,143.93,6.98,150.90,4670.53,40.20
BD69,5,40,Mid,2_MS,1_0-5,5.00,192.42,0.00,61.22,0.318,0.000,17.18,0.72,15907.84,2732.97,0.00,2732.97,114.06,0.00,114.06,2732.97,23.96
BD69,5,40,Mid,2_MS,2_5-10,5.00,192.42,0.00,101.11,0.525,0.000,7.80,0.40,26273.85,2050.41,0.00,2050.41,104.31,0.00,104.31,2050.41,19.66
BD69,5,40,Mid,2_MS,4_Total,10.00,384.85,0.00,162.33,0.422,0.000,11.34,0.52,42181.68,4783.38,0.00,4783.38,218.37,0.00,218.37,4783.38,21.91
BD69,5,40,Mid,3_Soil,6_Tot OM MS,25.50,1162.11,10.74,222.92,,,,,57214.26,9453.90,1395.16,10849.06,362.29,6.98,369.27,9453.90,29.38
BD69,5,60,Mid,1_OM,0_Litter,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,5,60,Mid,1_OM,1_0-5,5.00,192.42,0.47,9.76,0.051,0.002,35.42,1.77,2536.89,898.59,60.95,959.55,44.95,0.30,45.26,898.59,21.20
BD69,5,60,Mid,1_OM,2_5-10,5.00,192.42,0.18,18.13,0.094,0.001,23.16,1.25,4710.43,1090.89,23.44,1114.33,58.69,0.12,58.81,1090.89,18.95
BD69,5,60,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,5,60,Mid,1_OM,4_Total,10.00,384.85,0.65,27.89,0.072,0.002,27.45,1.43,7247.32,1989.48,84.39,2073.87,103.65,0.42,104.07,1989.48,19.93
BD69,5,60,Mid,1_OM,5_Total OM,10.00,384.85,0.65,27.89,0.072,0.002,27.45,1.43,7247.32,1989.48,84.39,2073.87,103.65,0.42,104.07,1989.48,19.93
BD69,5,60,Mid,2_MS,1_0-5,5.00,192.42,0.97,97.33,0.506,0.005,13.71,0.58,25290.15,3466.02,126.13,3592.14,147.69,0.63,148.33,3466.02,24.22
BD69,5,60,Mid,2_MS,2_5-10,5.00,192.42,0.00,164.01,0.852,0.000,5.69,0.29,42616.42,2424.87,0.00,2424.87,123.59,0.00,123.59,2424.87,19.62
BD69,5,60,Mid,2_MS,4_Total,10.00,384.85,0.97,261.34,0.679,0.003,8.67,0.40,67906.57,5890.89,126.13,6017.02,271.28,0.63,271.91,5890.89,22.13
BD69,5,60,Mid,3_Soil,6_Tot OM MS,20.00,769.69,1.62,289.23,,,,,75153.90,7880.37,210.52,8090.89,374.93,1.05,375.98,7880.37,21.52
BD69,5,80,Mid,1_OM,0_Litter,0.50,200.00,,1.18,0.006,,49.64,0.86,29.50,14.64,0.00,14.64,0.25,0.00,0.25,14.64,57.59
BD69,5,80,Mid,1_OM,1_0-5,5.00,192.42,1.05,12.33,0.064,0.005,43.84,1.42,3203.60,1404.30,135.79,1540.09,45.59,0.68,46.27,1404.30,33.29
BD69,5,80,Mid,1_OM,2_5-10,5.00,192.42,1.19,26.64,0.138,0.006,37.36,1.24,6923.56,2586.85,154.40,2741.25,85.64,0.77,86.42,2586.85,31.72
BD69,5,80,Mid,1_OM,3_10+,0.00,0.00,0.00,0.00,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BD69,5,80,Mid,1_OM,4_Total,10.00,384.85,2.23,38.97,0.101,0.006,39.41,1.30,10127.16,3991.15,290.20,4281.34,131.23,1.45,132.68,3991.15,32.27
BD69,5,80,Mid,1_OM,5_Total OM,10.50,584.85,2.23,40.15,0.069,0.004,39.44,1.29,10156.66,4005.79,290.20,4295.99,131.49,1.45,132.94,4005.79,32.32
BD69,5,80,Mid,2_MS,1_0-5,5.00,192.42,0.00,113.21,0.588,0.000,12.32,0.54,29417.35,3622.75,0.00,3622.75,159.44,0.00,159.44,3622.75,22.72
