ID,sitename,age_ave,d.index,class
CAFI,1072,87,0,spruce
CAFI,1073,53,0.4950409262829284,mixed
CAFI,1074,49,0.8652664014903929,decid
CAFI,1075,128,0.12892531372233257,spruce
CAFI,1076,64,0.9784655281246072,decid
CAFI,1077,60,0.7559232581135472,decid
CAFI,1078,NA,1,decid
CAFI,1079,70,0.9125436895290808,decid
CAFI,1080,NA,0.32764851445305354,spruce
CAFI,1081,53,1,decid
CAFI,1082,NA,0.21183247266701416,spruce
CAFI,1093,NA,0,spruce
CAFI,1101,90,0.7899279138086338,decid
CAFI,1102,NA,0.9092590580749804,decid
CAFI,1103,NA,0.6187797950834738,mixed
CAFI,1104,94,0.6488948979400974,mixed
CAFI,1112,96,0,spruce
CAFI,1113,129,0,spruce
CAFI,1114,51,0.29031400536079577,spruce
CAFI,1120,128,0.18426053490992497,spruce
CAFI,1121,NA,0.21203049790890877,spruce
CAFI,1125,106,0,spruce
CAFI,1128,46,1,decid
CAFI,1136,NA,0,spruce
CAFI,1137,NA,0,spruce
CAFI,1138,NA,0.06402820198301495,spruce
CAFI,1139,NA,0,spruce
CAFI,1140,NA,0.11423409212226066,spruce
CAFI,1142,NA,0,spruce
CAFI,1143,NA,0,spruce
CAFI,1144,NA,0,spruce
CAFI,1145,NA,0.04435848114682678,spruce
CAFI,1146,NA,0,spruce
CAFI,1147,NA,0,spruce
CAFI,1148,NA,0,spruce
CAFI,1150,NA,0,spruce
CAFI,1151,NA,0,spruce
CAFI,1152,NA,0.5991549405285099,mixed
CAFI,1157,NA,0.652842903537305,mixed
CAFI,1158,NA,0.5145310002012883,mixed
CAFI,1188,65,0.8694125176870692,decid
CAFI,1189,207,0.4337294846449847,mixed
CAFI,1190,NA,0.3243877396023592,spruce
CAFI,1191,38,0.9945262832895754,decid
CAFI,1192,66,0,spruce
CAFI,1193,128,0.2086776292936021,spruce
CAFI,1194,115,0,spruce
CAFI,1195,123,0.6002511952210998,mixed
CAFI,1196,197,0.12458365761842843,spruce
CAFI,1197,95,0,spruce
CAFI,1198,61,0.9143314624612172,decid
CAFI,1199,69,0.8868284551588688,decid
CAFI,1200,58,0.9225441878987944,decid
CAFI,1201,136,0.02925722104921613,spruce
CAFI,1202,61,0.24822256542677085,spruce
