ecoregion,sitename,prelimID,n_dd,w_dd,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,ave_orgd,treeden,treeba,seedlingde,burn_year,age,age_ave,age_min,age_max,age_median,age_source,derived_age,decid.dens,conif.dens,decid.bio,conif.bio
Ray Mountains,DCY15,DC48,66.109119,-150.155465,1,104,215,Aspen,NA,SUBXERIC-MESIC,3,0,0,1.3,416.67,0.28,35590.91,2004,Young,20,20,20,20,disturbance,20,0.10833333333333334,0,219.48159362588856,0
Ray Mountains,DCY16,DC52,66.073353,-150.168267,4,210,220,Aspen,NA,XERIC,3,0,0,2.3,216.67,0.19,15590.91,2004,Young,20,20,20,20,disturbance,20,0.06416666666666666,0,209.97514111622277,0
Ray Mountains,DCY17,DC55,65.896067,-149.752832,5,186,150,Aspen,NA,SUBXERIC-MESIC,2,0,0,3.7,2383.33,1.64,64727.27,2004,Young,20,20,20,20,disturbance,20,0.5133333333333333,0,1003.8873271935488,0
Ray Mountains,DCY2,DC36,66.215182,-150.257716,5,85,445,Mixed,NA,MESIC-SUBHYGRIC,1,0,0,6.8,25,0.05,19909.09,2004,Young,20,20,20,20,disturbance,20,0.01,0.01,18.06529648983671,66.26830157442733
Ray Mountains,DCY3,DC53,66.072254,-150.167891,7,155,206,Mixed,NA,SUBXERIC-MESIC,3,0,0,3.1,358.33,0.25,51090.91,2004,Young,20,20,20,20,disturbance,20,0.1725,0,371.4135646108015,0
Ray Mountains,DCY4,DC49,66.105262,-150.151326,2,15,220,Mixed,NA,SUBHYGRIC,1,0,0,NA,0,0,19636.36,2004,Young,20,20,20,20,disturbance,20,0,0.01,0,9.58686862904789
Ray Mountains,DCY5,DC46,66.109679,-150.156852,0,0,220,Aspen,NA,XERIC,3,0,0,1.6,525,0.36,56090.91,2004,Young,20,20,20,20,disturbance,20,0.09333333333333334,0,181.91347270070173,0
Ray Mountains,DCY6,DC44,66.140521,-150.170408,0,0,250,Black Spruce,NA,SUBXERIC-MESIC,2,0,0,5.6,0,0,114090.91,2004,Young,20,20,20,20,disturbance,20,0.01,0,14.642297218344984,0
Ray Mountains,DCY7,DC42,66.151718,-150.179563,0,0,260,Mixed,NA,SUBXERIC-MESIC,3,0,0,2.4,0,0,119681.82,2004,Young,20,20,20,20,disturbance,20,NA,NA,NA,NA
Ray Mountains,DCY8,DC40,66.163658,-150.203584,0,0,280,Aspen,NA,MESIC,3,0,0,1.7,0,0,91000,2004,Young,20,20,20,20,disturbance,20,0.015,0,17.50617799892764,0
Ray Mountains,DCY9,DC39,66.168628,-150.20114,1,231,300,Mixed,NA,MESIC,3,0,0,9,0,0,150409.09,2004,Young,20,20,20,20,disturbance,20,0.03,0,48.3552921087101,0
Tanana-Kuskokwim Lowlands,DDM1,TKN0126,63.84662,-145.723333,4,324,533,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,52954.55,3716.67,10.11,1930,Mature,135,126,147,130,core,94,0,0.6808333333333333,0,4304.291390205058
Tanana-Kuskokwim Lowlands,DDM2,TKN0124,63.89178,-145.74101,0,0,500,Black Spruce,NA,XERIC,NA,0,0,NA,24954.55,3716.67,11.46,1930,Mature,92,86,95,92,core,94,0.00166666666666666,0.395,6.535051657450478,3044.702275026383
Tanana-Kuskokwim Lowlands,FP5A,FP5A,64.681479,-148.249062,0,0,133,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,21.1,5909.09,1283.33,12.15,1930,Mature,94,94,94,94,disturbance,94,0.00166666666666666,0.13083333333333333,9.240818154890144,3220.1125306915737
Tanana-Kuskokwim Lowlands,FP5C,FP5C,64.713614,-148.147263,0,0,135,Birch,NA,SUBXERIC-MESIC,3,0,0,NA,0,0,53227.27,2010,Young,14,14,14,14,disturbance,14,NA,NA,NA,NA
Yukon-Tanana Uplands,FP5D,FP5D,64.72541,-148.19274,0,0,135,Black Spruce,NA,MESIC,NA,0,0,NA,28636.36,3025,8.58,1930,Mature,94,94,94,94,disturbance,94,0.00583333333333333,0.30666666666666664,23.38835585587332,1998.9365763881603
Tanana-Kuskokwim Lowlands,GRI1,GR-9,63.772116,-145.079202,0,0,552,Black Spruce,Depression,SUBHYGRIC,NA,7.09,50,NA,1866.67,2.71,9954.55,1947,Intermediate,69,38,152,44,core,77,0.035,0.16583333333333333,375.9109215017064,623.2182459257272
Tanana-Kuskokwim Lowlands,GRI2,GR-2,63.787588,-145.055334,1,14,575,Aspen,Flat,MESIC,NA,8.15,10.22,NA,1766.67,23.56,62590.91,1947,Intermediate,44,30,55,45,core,77,0.36833333333333335,0.01,11256.937485365394,51.90617131094327
Tanana-Kuskokwim Lowlands,GRI3,GR-1,63.791346,-145.041859,1,14,504,Aspen,Toe Slope,MESIC,NA,7.45,10.45,NA,2575,27.9,41772.73,1947,Intermediate,48,36,56,50,core,77,0.19583333333333333,0.14583333333333334,11262.933261501024,1285.375112374449
Tanana-Kuskokwim Lowlands,GRI4,GR-6,63.793417,-145.054202,1,71,500,Birch,Flat,MESIC,NA,8.1,8.8,NA,5283.33,26.76,9318.18,1947,Intermediate,46,39,52,46,core,77,0.31,0.31833333333333336,9585.3580664267,2031.6710703321553
Tanana-Kuskokwim Lowlands,GRI5,GR-5,63.795019,-145.076628,1,342,500,Aspen,Flat,SUBXERIC-MESIC,NA,8.21,9.1,NA,1425,21.17,86181.82,1947,Intermediate,40,36,45,40,core,77,0.23333333333333336,0.04416666666666667,9549.422346318304,459.112742171979
Tanana-Kuskokwim Lowlands,GRI6,GR-3,63.800401,-145.055548,0,0,495,Aspen,Flat,MESIC,NA,7.45,10.45,5.7,3466.67,19.93,59863.64,1947,Intermediate,44,28,59,46,core,77,0.21,0.27416666666666667,7049.517407927587,2045.843370963081
Tanana-Kuskokwim Lowlands,GRI7,GR-4,63.801791,-145.061443,1,220,485,Aspen,Flat,SUBXERIC-MESIC,NA,7.68,7,4.1,1575,25.76,18909.09,1947,Intermediate,40,22,52,44,core,77,0.25416666666666665,0.03083333333333333,11532.357602143276,156.8584840212493
Tanana-Kuskokwim Lowlands,GRM1,TKN0118,63.695772,-144.331784,2,303,448,Black Spruce,NA,MESIC,NA,0,0,NA,55227.27,6058.33,14.43,1930,Mature,204,196,210,207,core,94,0,0.7066666666666667,0,4198.35635128553
Tanana-Kuskokwim Lowlands,GRM2,GR-10,63.787641,-145.063916,0,0,493,Black Spruce,NA,MESIC,NA,0,0,NA,20272.73,6491.67,37.48,1930,Mature,40,38,41,40,core,94,0,0.7358333333333333,0,9655.12273096452
Tanana-Kuskokwim Lowlands,GRM3,TKN0120,63.813653,-144.953825,0,0,430,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,40000,1375,2.35,1930,Mature,232,207,295,212,core,94,0,0.16,0,718.2977477195292
Tanana-Kuskokwim Lowlands,GRM4,TKN0119,63.815131,-144.955467,0,0,429,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,NA,54454.55,3866.67,10.67,1930,Mature,346,292,431,330,core,94,8.333333333333334e-4,0.42833333333333334,43.65908848919431,2906.369193739011
Yukon-Tanana Uplands,GSI1,GS-3,64.80004,-148.41375,3,283,244,Black Spruce,Lowland,MESIC,NA,5.99,17.75,NA,5825,9.81,23909.09,1966,Intermediate,58,58,58,58,disturbance,58,0,0.7383333333333334,0,3739.170369505762
Yukon-Tanana Uplands,GSI2,GS-2,64.80255,-148.42039,3,333,129,Black Spruce,Flat,SUBXERIC-MESIC,NA,5.95,14.24,NA,441.67,0.37,10363.64,1966,Intermediate,58,58,58,58,disturbance,58,0,0.08,0,221.64884102142804
Yukon-Tanana Uplands,GSI3,GS-1,64.80951,-148.49298,10,79,210,Birch,Toe Slope,MESIC,NA,6.15,9.3,8.1,6858.33,15.31,13181.82,1966,Intermediate,58,58,58,58,disturbance,58,0.12666666666666668,0.6708333333333334,2859.0843042145193,3856.43641050248
Yukon-Tanana Uplands,GSM1,TKN0131L,64.80258,-148.31676,2,150,180,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,28590.91,2100,3.45,1930,Mature,94,94,94,94,disturbance,94,0,0.24416666666666667,0,1148.4929316241778
Yukon-Tanana Uplands,GSM2,TKN0131,64.80334,-148.31574,2,95,163,Black Spruce,NA,SUBXERIC,NA,0,0,NA,18136.36,3191.67,17.28,1930,Mature,185,164,200,190,core,94,0,0.4091666666666667,0,5349.3894882334625
Yukon-Tanana Uplands,GSM3,TKN0040,64.916152,-147.832248,0,0,187,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,10954.55,3450,4.91,1930,Mature,190,110,232,209,core,94,0,0.4008333333333333,0,1507.9395525326577
Yukon-Tanana Uplands,GSM4,TKN0043,64.942214,-148.25307,16,24,497,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,24,13409.09,4108.33,9.85,1930,Mature,107,103,111,109,core,94,0.00916666666666666,0.455,79.01787170787735,2857.690855212745
Yukon-Tanana Uplands,GSM5,TKN0024,64.998563,-147.65685,9,326,431,Black Spruce,NA,SUBXERIC,NA,0,0,NA,47272.73,2016.67,4.1,1930,Mature,184,125,211,196,core,94,0.00166666666666666,0.2225,2.6660669291424184,1168.638819047192
Yukon-Tanana Uplands,HR1A,HR1A,65.170919,-147.543574,15,325,600,Black Spruce,NA,MESIC,1,0,0,4.3,0,0,26590.91,1999,Young,25,25,25,25,disturbance,25,NA,NA,NA,NA
Ray Mountains,LGI1,LG-2,65.42936,-148.86419,8,173,290,Black Spruce,Toe Slope,MESIC,NA,7,23.65,23.6,1100,2.35,5363.64,1958,Intermediate,66,66,66,66,disturbance,66,0,0.12916666666666668,0,829.2534390001825
Ray Mountains,LGI2,LG-3,65.44649,-148.7609,12,144,330,Black Spruce,Toe Slope,SUBXERIC,NA,5.03,12.55,9.1,1758.33,11.26,3909.09,1958,Intermediate,66,66,66,66,disturbance,66,0.0575,0.1475,1355.0817313880236,2616.1990591588274
Yukon-Tanana Uplands,MDI1,MD-5,64.879074,-148.381474,3,69,211,Birch,Side Slope,SUBXERIC-MESIC,NA,5.7,9.1,11.8,12108.33,29.41,4363.64,1958,Intermediate,45,44,46,45,core,66,0.38166666666666665,1.0208333333333333,5866.186230060092,5426.652982445737
Yukon-Tanana Uplands,MDI2,MD-7,64.879249,-148.389008,10,68,256,Birch,Side Slope,SUBXERIC,NA,6.25,6.7,7.9,9375,18.17,45090.91,1958,Intermediate,40,36,44,40,core,66,0.48666666666666664,0.6391666666666667,4751.5960438108705,3445.6849408443823
Yukon-Tanana Uplands,MDI3,MD-6,64.880388,-148.382724,5,79,205,Birch,Side Slope,SUBXERIC-MESIC,NA,5.93,7.3,8.5,4258.33,27.8,818.18,1958,Intermediate,45,42,48,45,core,66,0.3433333333333333,0.25416666666666665,15210.096077419,1256.1277308666583
Yukon-Tanana Uplands,MDI4,MD-2,64.882718,-148.355499,7,228,226,Hardwood,Side Slope,SUBXERIC,NA,5.95,4.8,5.1,12100,28.1,42454.55,1958,Intermediate,40,36,47,38,core,66,0.5208333333333334,0.93,7775.894795114574,4275.104255984425
Yukon-Tanana Uplands,MDI5,MD-8,64.882947,-148.398187,10,354,226,Black Spruce,Toe Slope,MESIC,NA,5.35,20.8,NA,1908.33,2.21,28363.64,1958,Intermediate,58,31,128,36,core,66,0.00916666666666666,0.32916666666666666,27.05749330824058,1217.206627915638
Yukon-Tanana Uplands,MDM1,MD-3,64.871571,-148.37117,3,84,197,Black Spruce,NA,MESIC,NA,0,0,NA,77590.91,7991.67,13.93,1930,Mature,102,63,134,108,core,94,0,0.865,0,3831.832868311164
Yukon-Tanana Uplands,NRM1,Nenana Ridge Bottom,64.60724,-148.82573,3,60,197,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,44772.73,5008.33,6.25,1930,Mature,94,94,94,94,disturbance,94,0,0.0825,0,300.47944518705873
Yukon-Tanana Uplands,NRM2,Nenana Ridge,64.68328,-148.55992,0,0,220,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,32863.64,983.33,1.33,1930,Mature,94,94,94,94,disturbance,94,0,0.5433333333333333,0,1776.129801067831
Tanana-Kuskokwim Lowlands,SL1A,SL1A,64.654214,-148.281215,0,0,131,Mixed,NA,MESIC-SUBHYGRIC,1,0,0,12.5,0,0,32000,2001,Young,23,23,23,23,disturbance,23,0.00625,0.005,15.326876021363129,8.982535038399726
Tanana-Kuskokwim Lowlands,SL1B,SL1B,64.648269,-148.286119,0,0,130,Black Spruce,NA,SUBHYGRIC,1,0,0,NA,0,0,24636.36,2001,Young,23,23,23,23,disturbance,23,NA,NA,NA,NA
Yukon-Tanana Uplands,TRM1,TKN0139,65.25333,-148.13914,5,54,270,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,NA,25681.82,3041.67,3.11,1930,Mature,112,105,129,108,core,94,0,0.32916666666666666,0,858.3644252794724
Yukon-Tanana Uplands,TRM2,Tatalina River 1,65.31219,-148.338,0,0,134,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,0,33.33,0.04,1930,Mature,94,94,94,94,disturbance,94,0,0.01,0,24.903705831603023
Yukon-Tanana Uplands,TRM3,Tatalina River 2,65.31458,-148.33536,0,0,127,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,59772.73,3141.67,5.07,1930,Mature,94,94,94,94,disturbance,94,0,0.3516666666666667,0,1455.3542719396105
Ray Mountains,TRM4,TKN0137,65.40996,-148.23179,0,0,485,Black Spruce,NA,MESIC,NA,0,0,NA,17136.36,4350,9.34,1930,Mature,118,98,159,108,core,94,0.0025,0.4775,26.01485850627864,3543.692984989291
Yukon-Tanana Uplands,UP4A,UP4A,64.768106,-148.29868,15,310,489,Black Spruce,NA,SUBXERIC,NA,0,0,24.1,17772.73,7991.67,26.52,1930,Mature,94,94,94,94,disturbance,94,0.00166666666666666,0.8158333333333333,19.104515016589257,7087.873184079877
Yukon-Tanana Uplands,UP4B,UP4B,64.771601,-148.27359,30,315,401,Black Spruce,NA,SUBXERIC,NA,0,0,33.8,9681.82,3150,17.12,1930,Mature,94,94,94,94,disturbance,94,0,0.32083333333333336,0,4330.0975842147955
Yukon-Tanana Uplands,UP4C,UP4C,65.153934,-147.491333,5,100,615,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,28181.82,958.33,1.16,1930,Mature,94,94,94,94,disturbance,94,0,0.10083333333333332,0,354.8071191313057
Yukon-Tanana Uplands,UP4D,UP4D,65.169054,-147.550557,4,195,235,Black Spruce,NA,SUBXERIC,NA,0,0,15.3,14363.64,5458.33,21.41,1930,Mature,94,94,94,94,disturbance,94,0.00166666666666666,0.5566666666666666,155.40470317686868,5656.5868753765535
Yukon-Tanana Uplands,WCM1,Washington Creek 1,65.12465,-147.97308,0,0,225,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,15227.27,1183.33,1.82,1930,Mature,94,94,94,94,disturbance,94,0,0.17083333333333334,0,974.3369800088026
Yukon-Tanana Uplands,WCM2,Washington Creek 3,65.13634,-147.97132,3,80,260,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,20090.91,1908.33,3.85,1930,Mature,94,94,94,94,disturbance,94,0,0.24916666666666668,0,1229.62088890448
Yukon-Tanana Uplands,WCM3,TKN0015,65.15466,-147.86305,0,0,274,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,43409.09,2366.67,6.66,1930,Mature,178,119,216,186,core,94,0,0.3225,0,2214.899440155797
Yukon-Tanana Uplands,WCM4,TKN0012,65.167267,-147.89408,1,164,584,Black Spruce,NA,SUBXERIC,NA,0,0,22.2,28090.91,9608.33,21.58,1930,Mature,243,189,331,219,core,94,0.00416666666666666,0.9908333333333332,68.62847655419304,5629.317712241096
Yukon-Tanana Uplands,WDI1,WD-1,65.116602,-148.080849,3,234,242,Black Spruce,Toe Slope,MESIC,NA,6,12.4,12.8,558.33,0.56,18454.55,1971,Intermediate,77,37,140,53,core,53,8.333333333333334e-4,0.135,1.3303380878721327,474.3664692240702
Yukon-Tanana Uplands,WDI2,WD-2,65.124643,-148.07587,20,250,335,Birch,Side Slope,SUBXERIC,NA,7.22,6.3,6.9,3283.33,15.63,3363.64,1971,Intermediate,26,20,34,23,core,53,0.32666666666666666,0.0525,6839.002491423807,436.85181687635384
Yukon-Tanana Uplands,WDI3,WD-3,65.125453,-148.076713,15,250,343,Birch,Side Slope,SUBXERIC,NA,5.87,7.9,8.1,2208.33,5.82,3181.82,1971,Intermediate,24,17,30,26,core,53,0.07666666666666666,0.19916666666666663,1203.9989659433418,1834.7966821227392
Yukon-Tanana Uplands,WDI4,WD-4,65.126346,-148.077367,25,255,344,Birch,Side Slope,SUBXERIC-MESIC,NA,6.07,10.4,7.2,3016.67,12.54,1954.55,1971,Intermediate,26,20,34,24,core,53,0.20166666666666663,0.12666666666666668,4615.41392863204,1480.6680214135454
Yukon-Tanana Uplands,WDI5,WD-6,65.145285,-148.018896,0,158,500,Aspen,Summit,SUBXERIC,NA,6.38,5,4,1800,9.58,10909.09,1971,Intermediate,51,19,135,34,core,53,0.14166666666666666,0.135,3963.647707049426,966.6594277707584
Yukon-Tanana Uplands,WDI6,WD-8,65.148679,-148.026427,22,224,520,Aspen,Side Slope,SUBXERIC,NA,5.76,5.2,5.1,6383.33,26.37,3863.64,1971,Intermediate,33,30,35,33,core,53,0.8400000000000001,0.01416666666666666,10165.252968099368,337.5741256350054
Ray Mountains,YRM1,TKN0148,65.56605,-148.92284,7,230,318,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,NA,20090.91,5050,9.11,1930,Mature,119,105,176,105,core,94,0.00416666666666666,0.5575,46.53528775008859,2806.031954334227
