ecoregion,sitename,prelimID,n_dd,w_dd,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,ave_orgd,treeden,treeba,seedlingde,burn_year,age,age_ave,age_min,age_max,age_median,age_source,derived_age,decid.bio,decid.dens,D.Index,Class
Ray Mountains,DCY15,DC48,66.109119,-150.155465,1,104,215,Aspen,NA,SUBXERIC-MESIC,3,0,0,1.3,416.67,0.28,35590.91,2004,Young,20,20,20,20,disturbance,20,219.48159362588856,0.10833333333333334,1,Decid
Ray Mountains,DCY16,DC52,66.073353,-150.168267,4,210,220,Aspen,NA,XERIC,3,0,0,2.3,216.67,0.19,15590.91,2004,Young,20,20,20,20,disturbance,20,209.97514111622277,0.06416666666666666,1,Decid
Ray Mountains,DCY17,DC55,65.896067,-149.752832,5,186,150,Aspen,NA,SUBXERIC-MESIC,2,0,0,3.7,2383.33,1.64,64727.27,2004,Young,20,20,20,20,disturbance,20,1003.8873271935488,0.5133333333333333,1,Decid
Ray Mountains,DCY2,DC36,66.215182,-150.257716,5,85,445,Mixed,NA,MESIC-SUBHYGRIC,1,0,0,6.8,25,0.05,19909.09,2004,Young,20,20,20,20,disturbance,20,18.06529648983671,0.01,0.5,Mixed
Ray Mountains,DCY3,DC53,66.072254,-150.167891,7,155,206,Mixed,NA,SUBXERIC-MESIC,3,0,0,3.1,358.33,0.25,51090.91,2004,Young,20,20,20,20,disturbance,20,371.4135646108015,0.1725,1,Decid
Ray Mountains,DCY4,DC49,66.105262,-150.151326,2,15,220,Mixed,NA,SUBHYGRIC,1,0,0,NA,0,0,19636.36,2004,Young,20,20,20,20,disturbance,20,0,0,0,Spruce
Ray Mountains,DCY5,DC46,66.109679,-150.156852,0,0,220,Aspen,NA,XERIC,3,0,0,1.6,525,0.36,56090.91,2004,Young,20,20,20,20,disturbance,20,181.91347270070173,0.09333333333333334,1,Decid
Ray Mountains,DCY6,DC44,66.140521,-150.170408,0,0,250,Black Spruce,NA,SUBXERIC-MESIC,2,0,0,5.6,0,0,114090.91,2004,Young,20,20,20,20,disturbance,20,14.642297218344984,0.01,1,Decid
Ray Mountains,DCY7,DC42,66.151718,-150.179563,0,0,260,Mixed,NA,SUBXERIC-MESIC,3,0,0,2.4,0,0,119681.82,2004,Young,20,20,20,20,disturbance,20,NA,NA,NA,NA
Ray Mountains,DCY8,DC40,66.163658,-150.203584,0,0,280,Aspen,NA,MESIC,3,0,0,1.7,0,0,91000,2004,Young,20,20,20,20,disturbance,20,17.50617799892764,0.015,1,Decid
