SITE,tree.num_PICMAR,tree.num_BETNEO,tree.num_PICGLA,tree.num_POPBAL,tree.num_POPTRE,tree.num_PICEA,density_LARLAR,density_PICMAR,density_BETNEO,density_PICGLA,density_POPBAL,density_POPTRE,density_PICEA,ba_LARLAR,ba_PICMAR,ba_BETNEO,ba_PICGLA,ba_POPBAL,ba_POPTRE,ba_PICEA,bio_LARLAR,bio_PICMAR,bio_BETNEO,bio_PICGLA,bio_POPBAL,bio_POPTRE,bio_PICEA,decid.dens,conif.dens,decid.ba,conif.ba,decid.bio,conif.bio,rel.conif.dens,rel.conif.bio,rel.decid.dens,rel.decid.bio,D.Index,Class
BCEFM2,24.75,0.08333333333333333,0,0,0,0,0.020833333333333336,0.2475,8.333333333333334e-4,0,0,0,0,0.36813766666666664,2.7892777708333334,0.022020183333333332,0,0,0,0,93.42896682511241,769.2308460787243,7.6628285832946625,0,0,0,0,8.333333333333334e-4,0.2475,0.022020183333333332,2.7892777708333334,7.6628285832946625,769.2308460787243,0.9974747474747475,0.9919706667690948,0.002525252525252523,0.00802933323090512,0.005277292878078821,Spruce
BDI1,0.8333333333333334,52.25,1.6666666666666667,0.08333333333333333,8.583333333333334,0,0,0.008333333333333333,0.5225,0.016666666666666666,8.333333333333334e-4,0.08583333333333333,0,0,0.21020634583333334,26.028760025,0.30139635,0.014459745833333336,4.898070345833333,0,0,54.10487358870823,10556.482868967156,72.23976753478878,3.855553532135694,1515.914375520285,0,0.6091666666666666,0.025,30.941290116666668,0.5116026958333333,12076.252798019577,126.34464112349701,0.039268394922432295,0.012375476436540292,0.9607316050775677,0.9876245235634598,0.9741780643205137,Decid
BDI2,6.166666666666667,78.5,6.333333333333333,0,0,0,0,0.06166666666666667,0.785,0.06333333333333334,0,0,0,0,0.9350264708333333,19.762878891666666,1.52850445,0,0,0,0,249.75650985919637,7815.11774646122,402.1721962592151,0,0,0,0.785,0.125,19.762878891666666,2.4635309208333336,7815.11774646122,651.9287061184115,0.1552557841339454,0.09221894547553977,0.8447442158660546,0.9077810545244602,0.8762626351952574,Decid
BDI3,38.333333333333336,1.5,0,0,33.75,0,0,0.3833333333333333,0.015,0,0,0.3375,0,0,5.931120670833334,0.42437292083333333,0,0,8.003053658333332,0,0,1594.5616760467608,159.33561563488303,0,0,2228.0148299311936,0,0.3525,0.3833333333333333,8.427426579166667,5.931120670833334,2387.3504455660764,1594.5616760467608,0.5216841047819818,0.42741923590459074,0.4783158952180182,0.5725807640954093,0.5254483296567137,Mixed
BDI4,6.75,10.333333333333334,0.16666666666666666,0,73.16666666666667,0,0,0.0675,0.10333333333333333,0.0016666666666666668,0,0.7316666666666667,0,0,0.71221285,3.360787933333333,0.029148595833333332,0,18.332123370833333,0,0,198.43382203613436,1263.7857962964822,6.895848036769878,0,5103.789458973635,0,0.835,0.06916666666666667,21.692911304166664,0.7413614458333333,6367.575255270118,205.32967007290424,0.07715164176554956,0.031594318682621234,0.9228483582344504,0.9684056813173788,0.9456270197759146,Decid
BDI5,12.75,0,0,0.3333333333333333,5.916666666666667,0,0,0.1275,0,0,0.0033333333333333335,0.059166666666666666,0,0,1.2912834499999999,0,0,0.04228608333333334,1.9955562041666666,0,0,360.1793199643609,0,0,10.968449126762538,570.7460351730148,0,0.0625,0.1275,2.0378422875,1.2912834499999999,581.7144842997773,360.1793199643609,0.708601923675453,0.5364480557685741,0.2913980763245469,0.46355194423142587,0.37747501027798636,Mixed
BDI6,1.1666666666666667,0.16666666666666666,0,0,0,0,0,0.011666666666666667,0.0016666666666666668,0,0,0,0,0,0.10664471666666668,0.023093699999999998,0,0,0,0,0,29.593355803820067,7.3182943945681735,0,0,0,0,0.0016666666666666668,0.011666666666666667,0.023093699999999998,0.10664471666666668,7.3182943945681735,29.593355803820067,0.9166666666666666,0.8773310640125231,0.08333333333333333,0.12266893598747686,0.1030011346604051,Spruce
BDI7,0.25,80.83333333333333,0,0,4.916666666666667,0,0,0.0025,0.8083333333333333,0,0,0.049166666666666664,0,0,0.2720775625,18.562693804166667,0,0,1.6713279874999998,0,0,62.877087638596045,6667.313116502325,0,0,509.71177837880333,0,0.8575,0.0025,20.234021791666667,0.2720775625,7177.024894881129,62.877087638596045,0.0033696671354899207,0.008535598831223472,0.9966303328645101,0.9914644011687765,0.9940473670166433,Decid
BDI8,40.75,43.5,0,0,0,0,0,0.4075,0.435,0,0,0,0,0,7.315786979166667,8.105037741666667,0,0,0,0,0,1943.0921793705493,2836.834139691231,0,0,0,0,0.435,0.4075,8.105037741666667,7.315786979166667,2836.834139691231,1943.0921793705493,0.47634531704522043,0.4611701129922613,0.5236546829547796,0.5388298870077387,0.5312422849812591,Mixed
BDM1,41.166666666666664,0,0,0,0,0,0,0.4116666666666667,0,0,0,0,0,0,8.467539445833333,0,0,0,0,0,0,2203.7226401751436,0,0,0,0,0,0,0.4116666666666667,0,8.467539445833333,0,2203.7226401751436,1,1,0,0,0,Spruce
BFY1,0,1.875,0,0,1.5,0,0,0,0.01875,0,0,0.015,0,0,0,0.14300027499999998,0,0,0.14864605625000002,0,0,0,41.90446037541632,0,0,35.82893360476364,0,0.03375,0,0.29164633125,0,77.73339398017995,0,0,0,1,1,1,Decid
BFY10,0,2,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.17524505,0,0,0,0,0,0,52.375614399352315,0,0,0,0,0.02,0,0.17524505,0,52.375614399352315,0,0,0,1,1,1,Decid
BFY11,0,84.91666666666667,0.25,0,0,0,0,0,0.8491666666666666,0.0025,0,0,0,0,0,7.071692854166667,0.018256329166666665,0,0,0,0,0,2109.998969961316,3.5296574131755953,0,0,0,0.8491666666666666,0.0025,7.071692854166667,0.018256329166666665,2109.998969961316,3.5296574131755953,0.003210872162485066,0.0018884845701164102,0.9967891278375149,0.9981115154298836,0.9974503216336993,Decid
BFY12,0,46,0,0,0,0,0,0,0.46,0,0,0,0,0,0,3.600614175,0,0,0,0,0,0,1062.1804380873446,0,0,0,0,0.46,0,3.600614175,0,1062.1804380873446,0,0,0,1,1,1,Decid
