sitename,n_dd,w_dd,age,age_ave,decid.bio,decid.dens,d.index,class
TRM3,65.31458,-148.33536,mature,90,0,0,0,spruce
TRM4,65.40996,-148.23179,mature,118,26.01485850627864,0.0025,0.00547344515167122,spruce
UP4A,64.768106,-148.29868,mature,111,19.104515016589257,0.00166666666666666,0.00260931076354594,spruce
UP4B,64.771601,-148.27359,mature,197,0,0,0,spruce
UP4C,65.153934,-147.491333,mature,148,0,0,0,spruce
UP4D,65.169054,-147.550557,mature,116,155.40470317686868,0.00166666666666666,0.01246825471619647,spruce
WCM1,65.12465,-147.97308,mature,90,0,0,0,spruce
WCM2,65.13634,-147.97132,mature,90,0,0,0,spruce
WCM3,65.15466,-147.86305,mature,178,0,0,0,spruce
WCM4,65.167267,-147.89408,mature,243,68.62847655419304,0.00416666666666666,0.00750087029169294,spruce
WDI1,65.116602,-148.080849,intermediate,90,1.3303380878721327,8.333333333333334e-4,0.00370334383591836,spruce
WDI2,65.124643,-148.07587,intermediate,39,6839.002491423807,0.32666666666666666,0.8863811153184601,decid
WDI3,65.125453,-148.076713,intermediate,37,1203.9989659433418,0.07666666666666666,0.3235230288341832,spruce
WDI4,65.126346,-148.077367,intermediate,39,4615.41392863204,0.20166666666666663,0.66056153666731,decid
WDI5,65.145285,-148.018896,intermediate,64,3963.647707049426,0.14166666666666666,0.568070204752679,mixed
WDI6,65.148679,-148.026427,intermediate,46,10165.252968099368,0.8400000000000001,0.9728647862730384,decid
YRM1,65.56605,-148.92284,mature,119,46.53528775008859,0.00416666666666666,0.01236049941132968,spruce
