Whirlpak_A_ID,LOI%
6788,93.21484328
6790,90.2991933
6792,89.79243959
6794,94.20079739
6796,93.63082112
6798,92.13833752
6800,94.03860712
6802,94.21487603
6804,94.04618584
6806,94.69107332
6808,91.89669939
6810,91.87709157
6812,92.11356467
6814,89.63110668
6816,93.92475852
6818,93.63159585
6820,93.26744445
6822,92.44066401
6824,94.05381626
6826,92.16680294
6828,89.72471803
6830,92.3482166
6832,90.91808469
6834,94.63831519
6836,43.63249681
6838,88.0881869
6840,83.58362093
6842,85
6844,84.49326195
6846,73.6132661
6848,84.76941748
6850,85.76118491
6852,84.29076036
6854,84.63704155
6856,81.18522706
6858,87.46724073
6860,84.55529335
6862,78.60435634
6864,87.62784232
6866,51.54536972
6868,18.3877825
6870,5.815076123
6872,4.9923409
6874,11.79306508
6876,10.23899371
6878,7.905843191
6880,9.129967777
6882,6.585056986
6884,88.70752195
6886,84.09573156
6888,86.6705387
6890,81.12607557
6892,83.37555566
6894,85.46730572
6896,86.83340056
6898,87.85583942
6900,84.55470012
6902,87.76714838
6904,88.1067436
6906,84.96431596
6908,88.48996832
6910,86.39181202
6912,86.49710301
6914,86.68478261
6916,83.99834974
6918,84.95613097
6920,23.9459408
6922,8.799111319
6924,6.193657176
6926,6.291495416
6928,6.834669721
6930,8.711017422
6932,6.930209858
6934,6.63165321
6936,7.842515691
6938,7.751207445
6940,8.6148494
6942,8.696420681
6944,9.910313901
6946,9.537677466
6948,71.37937453
6950,91.08737994
6952,85.84575601
6954,88.23291957
6956,82.12399765
6958,77.45147524
6960,17.92087478
6962,7.991360691
6964,6.209020465
6966,5.870949875
6968,4.37485609
6970,4.876900309
6972,6.468370339
6974,6.175173283
6976,5.118534483
6978,6.220061486
6980,3.743381357
6982,3.398664024
6984,3.5548
6986,3.4611
6988,3.8545
6990,3.7459
6992,4.0239
6994,3.522
6996,3.4698
6998,62.7314
7000,89.1378
7002,87.6136
7004,87.3608
7006,74.32954084
7008,58.29683145
7010,49.4128659
7012,18.65715351
7014,16.60258651
7016,17.87588762
7018,16.6295678
7020,23.6167505
7022,34.06475632
7024,33.89636243
7026,32.04305527
7028,28.51143842
7030,39.03184713
7032,30.25438596
7034,17.59283997
7036,11.75671853
7038,9.153158937
7040,7.997255068
7042,4.4311
7044,4.3125
7046,4.0446
7048,5.5517
7050,4.9945
7052,54.6939217
7054,50.86715537
7056,48.82875264
7058,51.67583792
7060,45.05855856
7062,33.84927066
7064,20.02474273
7066,25.56361343
7068,25.66723453
7070,22.25735419
7072,10.02966259
7074,8.52721284
7076,11.5993
7078,10.8379
7080,5.4376
7084,10.3544
7086,11.58386093
7088,6.848868306
7090,9.895965491
7092,7.495993828
7094,9.186
7096,10.6692
7098,6.5779
7100,3.7505
7102,2.4254
7104,2.965284474
7106,2.548029958
7108,3.279732527
7110,2.822803827
7112,3.0299
7114,3.0439
7116,3.5676
7118,2.7359
7120,3.0449
7122,2.361148377
7124,2.409638554
7126,2.644714296
7128,64.80843101
7130,52.19975079
7132,46.79225164
7134,45.97893952
7136,27.96431312
7138,22.29141717
7140,26.55143532
7142,14.72090944
7144,9.145009416
7146,10.0591716
7148,9.726576106
7150,11.29862267
7152,11.18303127
7154,13.35267053
7156,8.386058981
7158,6.486926626
7160,6.546755633
7162,5.909137949
7164,6.710775047
7166,7.42598483
7168,7.532000423
7170,7.038594755
7172,5.493938612
7174,4.210526316
7176,3.233346319
7178,2.130492676
7180,2.062765872
7182,1.99729834
7184,1.945626683
7186,1.935859089
7188,2.147882054
7190,2.134809251
7192,1.933759932
7194,2.022912581
7196,2.144970414
7198,1.913133402
7200,2.027392323
