Date,Fire Name,Site Name,Observers,Weather,Cohort #,Species,Tree #,Ht of Core (cm),DCH (cm),DBH (cm),Cookie/Core?,Condition of Core,Fire Scar?,Age,Additional Notes,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,1,14,6.1,4.4,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,2,19.3,12,8.2,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,3,15.5,9.5,6.2,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,4,22.3,12.3,7,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,1,BENE,5,19,9,5.5,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,1,21.3,23,13.2,core,?,no,,BIG TREE- took two cores to make sure I got pith,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,1,25,20.5,13.2,core,?,no,,BIG TREE- took two cores to make sure I got pith,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,2,22.5,6.3,4.9,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,3,20.3,3,2.5,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,4,24,4,3.3,core,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,2,PIMA,5,23.2,5.3,4,core,good,no,NA,incomplete core… not mounted,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,1,10,2.2,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,2,10,2.4,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,3,10,2.7,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,4,10,2.3,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,3,PIMA,5,10,1.2,<DBH,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,4,ALNVER,1,10,7.4,5.4,cookie,good,no,,,,,,,,,,,,
8/16/11,Big Denver,BD-1,CN,sunny,5,CBSNBC PIMA,1,35,11.4,8.4,cookie,good,yes,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,1,10,10.5,6.6,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,2,10,11.2,7.1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,3,10,7.3,4.9,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,4,10,11.3,7.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,1,BENE,5,10,7.9,5.3,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,1,10,7.6,6.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,2,10,7.5,5.9,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,3,10,7.1,5.2,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,4,10,11.3,8.7,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,2,PICEASP,5,10,8.9,7.1,core,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,1,10,1.4,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,2,10,1.6,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,3,10,2.5,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,4,10,2.8,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,3,PICEASP,5,10,1.7,<DBH,cookie,good,no,,,,,,,,,,,,
8/17/11,Big Denver,BD-10,BC,partly sunny,4,CBSNBC,1,15,7.2,5,cookie,good,no,,,,,,,,,,,,
