site,cover_code,LTER_code,USDA_code,genus,species,subspecies_var,year
DCY17,2,CORSEM,COSE5,Corydalis,sempervirens,,2006
DCY17,1,CRETEC,CRTE3,Crepis,tectorum,,2006
DCY17,2,EPIPAL,EPPA,Epilobium,palustre,,2006
DCY17,2,EQUARV,EQAR,Equisetum,arvense,,2006
DCY17,2,EQUSCI,EQSC,Equisetum,scirpoides,,2006
DCY17,2,GALBOR,GABO2,Galium,boreale,,2006
DCY17,2,LINBOR,LIBO3,Linnaea,borealis,,2006
DCY17,2,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY17,3,MERPAN,MEPA,Mertensia,paniculata,,2006
DCY17,2,PICEASP,PICEA,Picea,,,2006
DCY17,2,POLSTR,POST70,Polytrichum,strictum,,2006
DCY17,2,POPBAL,POBAB2,Populus,balsamifera,ssp. balsamifera,2006
DCY17,7,POPTRE,POTR5,Populus,tremuloides,,2006
DCY17,2,PYRGRA,PYGR,Pyrola,grandiflora,,2006
DCY17,2,ROSACI,ROAC,Rosa,acicularis,,2006
DCY17,2,RUBARC,RUAR,Rubus,arcticus,,2006
DCY17,1,SALALA,SAAL,Salix,alaxensis,,2006
DCY17,1,SENCON,SECO2,Senecio,congestus,,2006
DCY17,1,SHECAN,SHCA,Shepherdia,Canadensis,,2006
DCY17,1,TAROFF,TAOF,Taraxacum,officinale,,2006
DCY17,1,VACVIT,VAVI,Vaccinium,vitis-idaea,,2006
DCY17,2,VIBEDU,VIED,Viburnum,edule,,2006
DCY2,2,ALNVIR,ALVIF,Alnus,viridis,ssp. fruticosa,2006
DCY2,2,BETGLA,BEGL,Betula,glandulosa,,2006
DCY2,2,BETNEO,BENE4,Betula,neoalaskana,,2006
DCY2,2,CALCAN,CACA4,Calamagrostis,canadensis,,2006
DCY2,7,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY2,3,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY2,2,DICRANUMSP,DICRA8,Dicranum,,,2006
DCY2,8,EQUSYL,EQSY,Equisetum,sylvaticum,,2006
DCY2,2,ERIVAG,ERVA4,Eriophorum,vaginatum,,2006
DCY2,2,LEDGRO,LEGR,Ledum,groenlandicum,,2006
DCY2,2,LEDPAL,LEPAD,Ledum,palustre,ssp. decumbens,2006
DCY2,2,LYCANN,LYAN2,Lycopodium,annotinum,,2006
DCY2,3,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY2,1,PETFRI,PEFR5,Petasites,frigidus,,2006
DCY2,2,PICEASP,PICEA,Picea,,,2006
DCY2,2,POLALP,POAL11,Polygonum,alpinum,,2006
DCY2,2,POLCOM,POCO38,Polytrichum,commune,,2006
DCY2,2,POLSTR,POST70,Polytrichum,strictum,,2006
DCY2,2,POPTRE,POTR5,Populus,tremuloides,,2006
DCY2,2,RUBCHA,RUCH,Rubus,chamaemorus,,2006
DCY2,2,SALPUL,SAPU15,Salix,pulchra,,2006
DCY2,2,SENCON,SECO2,Senecio,congestus,,2006
DCY2,1,SPHAGSP,SPHAG2,Sphagnum,,,2006
DCY2,2,SPISTE,SPST3,Spiraea,stevenii,,2006
DCY2,2,VACOXY,VAOX,Vaccinium,oxycoccos ,,2006
DCY2,2,VACULI,VAUL,Vaccinium,uliginosum,,2006
DCY2,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2006
DCY3,1,CAREXSP,CAREX,Carex,,,2006
DCY3,5,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY3,9,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY3,2,CORSEM,COSE5,Corydalis,sempervirens,,2006
DCY3,3,DICRANUMSP,DICRA8,Dicranum,,,2006
DCY3,2,EQUARV,EQAR,Equisetum,arvense,,2006
DCY3,2,EQUSCI,EQSC,Equisetum,scirpoides,,2006
DCY3,2,HIEUMB,HIUM,Hieracium,umbellatum,,2006
DCY3,7,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY3,2,MERPAN,MEPA,Mertensia,paniculata,,2006
DCY3,2,POLCOM,POCO38,Polytrichum,commune,,2006
DCY3,3,POPTRE,POTR5,Populus,tremuloides,,2006
DCY3,2,ROSACI,ROAC,Rosa,acicularis,,2006
DCY3,2,RUBIDA,RUID,Rubus,idaeus,,2006
DCY3,3,SALSCO,SASC,Salix,scouleriana,,2006
DCY3,2,SENCON,SECO2,Senecio,congestus,,2006
DCY4,2,ALNINC,ALINT,Alnus,incana,ssp. tenuifolia,2006
DCY4,1,ARCRUB,ARRU,Arctostaphylos,rubra,,2006
DCY4,2,BETNAN,BENA,Betula,nana,,2006
DCY4,3,CALCAN,CACA4,Calamagrostis,canadensis,,2006
DCY4,6,CARBIG,CABI5,Carex,bigelowii,,2006
DCY4,2,CARMIC,CAMIB,Cardamine,microphylla,ssp. blaisdellii,2006
DCY4,7,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY4,4,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY4,2,DASFRU,DAFRF,Dasiphora,fruticosa,ssp. floribunda,2006
DCY4,3,DICRANUMSP,DICRA8,Dicranum,,,2006
DCY4,2,EQUSCI,EQSC,Equisetum,scirpoides,,2006
DCY4,2,LEDGRO,LEGR,Ledum,groenlandicum,,2006
DCY4,2,LUZRUF,LURU2,Luzula,rufescens,,2006
DCY4,3,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY4,2,PETFRI,PEFR5,Petasites,frigidus,,2006
DCY4,2,PICEASP,PICEA,Picea,,,2006
DCY4,2,POPTRE,POTR5,Populus,tremuloides,,2006
DCY4,2,ROSACI,ROAC,Rosa,acicularis,,2006
DCY4,2,SALGLA,SAGL,Salix,glauca,,2006
DCY4,1,SALIXSP,SALIX,Salix,,,2006
DCY4,2,SALPUL,SAPU15,Salix,pulchra,,2006
DCY4,1,SALSCO,SASC,Salix,scouleriana,,2006
DCY4,2,SAUANG,SAAN3,Saussurea,angustifolia,,2006
DCY4,2,SENCON,SECO2,Senecio,congestus,,2006
DCY4,1,STELON,STLO2,Stellaria,longipes,,2006
DCY4,2,VACULI,VAUL,Vaccinium,uliginosum,,2006
DCY4,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2006
DCY5,2,BETNEO,BENE4,Betula,neoalaskana,,2006
DCY5,3,CALCAN,CACA4,Calamagrostis,canadensis,,2006
DCY5,2,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY5,4,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY5,2,CORCAN,COCA13,Cornus,Canadensis,,2006
DCY5,3,CORSEM,COSE5,Corydalis,sempervirens,,2006
DCY5,2,DICRANUMSP,DICRA8,Dicranum,,,2006
DCY5,1,EQUARV,EQAR,Equisetum,arvense,,2006
DCY5,2,EQUSCI,EQSC,Equisetum,scirpoides,,2006
DCY5,1,LEDGRO,LEGR,Ledum,groenlandicum,,2006
DCY5,1,LINBOR,LIBO3,Linnaea,borealis,,2006
DCY5,2,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY5,2,POLSTR,POST70,Polytrichum,strictum,,2006
DCY5,4,POPTRE,POTR5,Populus,tremuloides,,2006
DCY5,2,ROSACI,ROAC,Rosa,acicularis,,2006
DCY5,2,VACULI,VAUL,Vaccinium,uliginosum,,2006
DCY5,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2006
DCY6,3,ARCLAT,ARLA2,Arctagrostis,latifolia,,2006
DCY6,1,AULTUR,AUTU70,Aulacomnium,turgidum,,2006
DCY6,1,BETNEO,BENE4,Betula,neoalaskana,,2006
DCY6,3,CALCAN,CACA4,Calamagrostis,canadensis,,2006
DCY6,1,CAREXSP,CAREX,Carex,,,2006
DCY6,4,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY6,2,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY6,1,EPIPAL,EPPA,Epilobium,palustre,,2006
DCY6,3,EQUARV,EQAR,Equisetum,arvense,,2006
DCY6,4,EQUSYL,EQSY,Equisetum,sylvaticum,,2006
DCY6,2,LEDGRO,LEGR,Ledum,groenlandicum,,2006
DCY6,2,LEDPAL,LEPAD,Ledum,palustre,ssp. decumbens,2006
DCY6,2,LUZRUF,LURU2,Luzula,rufescens,,2006
DCY6,2,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY6,2,PETFRI,PEFR5,Petasites,frigidus,,2006
DCY6,2,POLSTR,POST70,Polytrichum,strictum,,2006
DCY6,2,POPTRE,POTR5,Populus,tremuloides,,2006
DCY6,2,ROSACI,ROAC,Rosa,acicularis,,2006
DCY6,2,SALALA,SAAL,Salix,alaxensis,,2006
DCY6,2,SALGLA,SAGL,Salix,glauca,,2006
DCY6,2,SALSCO,SASC,Salix,scouleriana,,2006
DCY6,1,SAUANG,SAAN3,Saussurea,angustifolia,,2006
DCY6,2,SPHAGSP,SPHAG2,Sphagnum,,,2006
DCY6,1,SPHANG,SPAN11,Sphagnum,angustifolium,,2006
DCY6,2,SPISTE,SPST3,Spiraea,stevenii,,2006
DCY6,2,VACULI,VAUL,Vaccinium,uliginosum,,2006
DCY6,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2006
DCY7,3,ARCLAT,ARLA2,Arctagrostis,latifolia,,2006
DCY7,3,CALCAN,CACA4,Calamagrostis,canadensis,,2006
DCY7,3,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY7,5,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY7,3,DICRANUMSP,DICRA8,Dicranum,,,2006
DCY7,1,EPICIL,EPCIC,Epilobium,ciliatum ,ssp. ciliatum,2006
DCY7,2,EPIPAL,EPPA,Epilobium,palustre,,2006
DCY7,3,EQUARV,EQAR,Equisetum,arvense,,2006
DCY7,1,EQUPRA,EQPR,Equisetum,pratense,,2006
DCY7,2,EQUSCI,EQSC,Equisetum,scirpoides,,2006
DCY7,1,ERIVAG,ERVA4,Eriophorum,vaginatum,,2006
DCY7,2,LUZRUF,LURU2,Luzula,rufescens,,2006
DCY7,6,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY7,2,POLSTR,POST70,Polytrichum,strictum,,2006
DCY7,4,POPTRE,POTR5,Populus,tremuloides,,2006
DCY7,5,SALMYR,SAMY,Salix,myrtillifolia,,2006
DCY7,2,SALPUL,SAPU15,Salix,pulchra,,2006
DCY7,2,SENCON,SECO2,Senecio,congestus,,2006
DCY8,3,BETNEO,BENE4,Betula,neoalaskana,,2006
DCY8,2,CALCAN,CACA4,Calamagrostis,canadensis,,2006
DCY8,4,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY8,8,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY8,2,EPIPAL,EPPA,Epilobium,palustre,,2006
DCY8,2,EQUARV,EQAR,Equisetum,arvense,,2006
DCY8,2,EQUSCI,EQSC,Equisetum,scirpoides,,2006
DCY8,2,IRISET,IRSE,Iris,setosa,,2006
DCY8,7,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY8,4,POPTRE,POTR5,Populus,tremuloides,,2006
DCY8,5,SALALA,SAAL,Salix,alaxensis,,2006
DCY8,5,SALSCO,SASC,Salix,scouleriana,,2006
DCY8,2,SENCON,SECO2,Senecio,congestus,,2006
DCY8,1,TAROFF,TAOF,Taraxacum,officinale,,2006
DCY9,2,ARCLAT,ARLA2,Arctagrostis,latifolia,,2006
DCY9,2,AULPAL,AUPA70,Aulacomnium,palustre,,2006
DCY9,2,BETNAN,BENA,Betula,nana,,2006
DCY9,4,CALCAN,CACA4,Calamagrostis,canadensis,,2006
DCY9,2,CERPUR,CEPU12,Ceratodon,purpureus,,2006
DCY9,5,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2006
DCY9,2,DICRANUMSP,DICRA8,Dicranum,,,2006
DCY9,1,EPICIL,EPCIC,Epilobium,ciliatum ,ssp. ciliatum,2006
DCY9,6,EQUSYL,EQSY,Equisetum,sylvaticum,,2006
DCY9,2,LEDGRO,LEGR,Ledum,groenlandicum,,2006
DCY9,2,LEDPAL,LEPAD,Ledum,palustre,ssp. decumbens,2006
DCY9,1,LUZRUF,LURU2,Luzula,rufescens,,2006
DCY9,2,MARPOL,MAPO16,Marchantia,polymorpha,,2006
DCY9,2,PETFRI,PEFR5,Petasites,frigidus,,2006
DCY9,2,PICEASP,PICEA,Picea,,,2006
DCY9,2,POLCOM,POCO38,Polytrichum,commune,,2006
DCY9,2,POLSTR,POST70,Polytrichum,strictum,,2006
DCY9,3,POPTRE,POTR5,Populus,tremuloides,,2006
DCY9,2,ROSACI,ROAC,Rosa,acicularis,,2006
DCY9,2,RUBCHA,RUCH,Rubus,chamaemorus,,2006
DCY9,2,SENCON,SECO2,Senecio,congestus,,2006
DCY9,2,SPISTE,SPST3,Spiraea,stevenii,,2006
DCY9,1,TAROFF,TAOF,Taraxacum,officinale,,2006
DCY9,2,VACULI,VAUL,Vaccinium,uliginosum,,2006
DCY9,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2006
DDM1,5,ARCRUB,ARRU,Arctostaphylos,rubra,,2001
DDM1,8,AULPAL,AUPA70,Aulacomnium,palustre,,2001
DDM1,5,CALCAN,CACA4,Calamagrostis,canadensis,,2001
DDM1,2,CARBIG,CABI5,Carex,bigelowii,,2001
DDM1,2,CARTEN,CATE5,Carex,tenuiflora,,2001
DDM1,2,CARVAG,CAVA2,Carex,vaginata,,2001
DDM1,2,CLAARB,CLAR60,Cladina,arbuscula,,2001
DDM1,2,CLAGRA,CLGR13,Cladonia,gracilis,,2001
DDM1,2,CLARAN,CLRA60,Cladina,rangiferina,,2001
DDM1,2,CLASTE,CLST60,Cladina,stellaris,,2001
DDM1,2,CORCAN,COCA13,Cornus,Canadensis,,2001
DDM1,2,DICELO,DIEL70,Dicranum,elongatum,,2001
DDM1,2,DICUND,DIUN8,Dicranum,undulatum,,2001
DDM1,2,EMPNIG,EMNI,Empetrum,nigrum,,2001
DDM1,2,EQUPRA,EQPR,Equisetum,pratense,,2001
DDM1,2,ERIVAG,ERVA4,Eriophorum,vaginatum,,2001
DDM1,2,FLACUC,FLCU,Flavocetraria,cucullata,,2001
DDM1,3,GEOLIV,GELI2,Geocaulon,lividum,,2001
DDM1,5,HYLSPL,HYSP70,Hylocomium,splendens,,2001
DDM1,2,LEDGRO,LEGR,Ledum,groenlandicum,,2001
DDM1,2,LEDPAL,LEPAD,Ledum,palustre,ssp. decumbens,2001
DDM1,2,LOBLIN,LOLI60,Lobaria,linita,,2001
DDM1,2,NEPEXP,NEEX2,Nephroma,expallidum,,2001
DDM1,3,PELCAN,PECA60,Peltigera,canina,,2001
DDM1,2,PELMAL,PEMA60,Peltigera,malacea,,2001
DDM1,3,PELTISP,PELTI2,Peltigera,,,2001
DDM1,2,PETFRI,PEFR5,Petasites,frigidus,,2001
DDM1,7,PICMAR,PIMA,Picea,mariana,,2001
DDM1,3,PLESCH,PLSC70,Pleurozium,schreberi,,2001
DDM1,2,POLJUN,POJU70,Polytrichum,juniperinum,,2001
DDM1,6,POLSTR,POST70,Polytrichum,strictum,,2001
DDM1,2,PTICIL,PTCI,Ptilidium,ciliare,,2001
DDM1,4,RHYRUG,RHRU70,Rhytidium,rugosum,,2001
DDM1,2,ROSACI,ROAC,Rosa,acicularis,,2001
DDM1,2,RUBARC,RUAR,Rubus,arcticus,,2001
DDM1,2,SALPUL,SAPU15,Salix,pulchra,,2001
DDM1,2,SAUANG,SAAN3,Saussurea,angustifolia,,2001
DDM1,2,SPHFIM,SPFI4,Sphagnum,fimbriatum,,2001
DDM1,2,SPHSQU,SPSQ70,Sphagnum,squarrosum,,2001
DDM1,2,STECAL,STCA,Stellaria,calycantha,,2001
DDM1,2,STELON,STLO2,Stellaria,longipes,,2001
DDM1,7,VACULI,VAUL,Vaccinium,uliginosum,,2001
DDM1,6,VACVIT,VAVI,Vaccinium,vitis-idaea,,2001
DDM1,2,VALCAP,VACA3,Valeriana,capitata,,2001
DDM2,2,ACHMIL,ACMIB,Achillea,millefolium,var. borealis,2001
DDM2,2,AGRMER,AGME3,Agrostis,mertensii,,2001
DDM2,2,ALNVIR,ALVIF,Alnus,viridis,ssp. fruticosa,2001
DDM2,2,ANEMUL,ANMU,Anemone,multifida,,2001
DDM2,2,ARCRUB,ARRU,Arctostaphylos,rubra,,2001
DDM2,2,ARNANG,ARANA,Arnica,angustifolia ,ssp. angustifolia,2001
DDM2,3,BETNAN,BENA,Betula,nana,,2001
DDM2,2,CALCAN,CACA4,Calamagrostis,canadensis,,2001
DDM2,2,CAMLAS,CALA7,Campanula,lasiocarpa,,2001
DDM2,2,CETLAE,CELA60,Cetraria,laevigata,,2001
DDM2,6,CLAARB,CLAR60,Cladina,arbuscula,,2001
DDM2,2,CLACOC,CLCO12,Cladonia,coccifera,,2001
DDM2,2,CLACOR,CLCO19,Cladonia,cornuta,,2001
DDM2,2,CLADEF,CLDE60,Cladonia,deformis,,2001
DDM2,2,CLAGRA,CLGR13,Cladonia,gracilis,,2001
DDM2,2,CLAPLE,CLPL60,Cladonia,pleurota,,2001
DDM2,2,CLAPYX,CLPY60,Cladonia,pyxidata,,2001
DDM2,3,CLARAN,CLRA60,Cladina,rangiferina,,2001
DDM2,2,CLASTE,CLST60,Cladina,stellaris,,2001
DDM2,2,CLAUNC,CLUN60,Cladonia,uncialis,,2001
DDM2,2,CORCAN,COCA13,Cornus,Canadensis,,2001
DDM2,2,DICUND,DIUN8,Dicranum,undulatum,,2001
DDM2,3,EMPNIG,EMNI,Empetrum,nigrum,,2001
DDM2,4,FLACUC,FLCU,Flavocetraria,cucullata,,2001
DDM2,3,FLANIV,FLNI,Flavocetraria,nivalis,,2001
DDM2,2,GALBOR,GABO2,Galium,boreale,,2001
DDM2,2,GEOLIV,GELI2,Geocaulon,lividum,,2001
DDM2,5,HYLSPL,HYSP70,Hylocomium,splendens,,2001
DDM2,2,LEDGRO,LEGR,Ledum,groenlandicum,,2001
DDM2,3,LEDPAL,LEPAD,Ledum,palustre,ssp. decumbens,2001
DDM2,4,LINBOR,LIBO3,Linnaea,borealis,,2001
DDM2,6,LOIPRO,LOPR,Loiseleuria,procumbens,,2001
DDM2,2,LUZMUL,LUMU2,Luzula,multiflora,,2001
DDM2,2,PEDLAB,PELA,Pedicularis,labradorica,,2001
DDM2,2,PELMAL,PEMA60,Peltigera,malacea,,2001
DDM2,2,PELTISP,PELTI2,Peltigera,,,2001
DDM2,2,PICGLA,PIGL,Picea,glauca,,2001
DDM2,6,PICMAR,PIMA,Picea,mariana,,2001
DDM2,3,PLESCH,PLSC70,Pleurozium,schreberi,,2001
DDM2,2,POLCOM,POCO38,Polytrichum,commune,,2001
DDM2,3,POPTRE,POTR5,Populus,tremuloides,,2001
DDM2,2,PTICIL,PTCI,Ptilidium,ciliare,,2001
DDM2,2,PTICRI,PTCR70,Ptilium,crista-castrensis,,2001
DDM2,3,RHYRUG,RHRU70,Rhytidium,rugosum,,2001
DDM2,2,SALSCO,SASC,Salix,scouleriana,,2001
DDM2,2,SANOFF,SAOF3,Sanguisorba,officinalis,,2001
DDM2,2,SOLMUL,SOMU,Solidago,multiradiata,,2001
DDM2,2,STELON,STLO2,Stellaria,longipes,,2001
DDM2,8,STETOM,STTO60,Stereocaulon,tomentosum,,2001
DDM2,2,TOFPUS,TOPU,Tofieldia,pusilla,,2001
DDM2,2,VACULI,VAUL,Vaccinium,uliginosum,,2001
DDM2,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2001
GRI1,2,ARCRUB,ARRU,Arctostaphylos,rubra,,2011
GRI1,5,AULPAL,AUPA70,Aulacomnium,palustre,,2011
GRI1,5,AULTUR,AUTU70,Aulacomnium,turgidum,,2011
GRI1,2,BETNAN,BENA,Betula,nana,,2011
GRI1,4,BETNEO,BENE4,Betula,neoalaskana,,2011
GRI1,2,BRACHSP,BRACH10,Brachythecium,,,2011
GRI1,2,CHACAL,CHCA2,Chamaedaphne,calyculata,,2011
GRI1,1,CLADISP,CLADI3,Cladina,,,2011
GRI1,2,DICRANUMSP,DICRA8,Dicranum,,,2011
GRI1,2,EMPNIG,EMNI,Empetrum,nigrum,,2011
GRI1,7,ERIVAG,ERVA4,Eriophorum,vaginatum,,2011
GRI1,1,GEOLIV,GELI2,Geocaulon,lividum,,2011
GRI1,6,HYLSPL,HYSP70,Hylocomium,splendens,,2011
GRI1,6,LEDGRO,LEGR,Ledum,groenlandicum,,2011
GRI1,2,LEDPAL,LEPAD,Ledum,palustre,ssp. decumbens,2011
GRI1,2,PELAPH,PEAP60,Peltigera,aphthosa,,2011
GRI1,1,PELLEU,PELE61,Peltigera,leucophlebia,,2011
GRI1,6,PICMAR,PIMA,Picea,mariana,,2011
GRI1,1,PTICRI,PTCR70,Ptilium,crista-castrensis,,2011
GRI1,4,SALGLA,SAGL,Salix,glauca,,2011
GRI1,4,SALIXSP,SALIX,Salix,,,2011
GRI1,3,SALPUL,SAPU15,Salix,pulchra,,2011
GRI1,8,SPHAGSP,SPHAG2,Sphagnum,,,2011
GRI1,2,SPHMAG,SPMA70,Sphagnum,magellanicum,,2011
GRI1,6,SPHWAR,SPWA70,Sphagnum,warnstorfii,,2011
GRI1,2,TOMNIT,TONI70,Tomentypnum,nitens,,2011
GRI1,3,VACULI,VAUL,Vaccinium,uliginosum,,2011
GRI1,7,VACVIT,VAVI,Vaccinium,vitis-idaea,,2011
GRI2,6,BETNEO,BENE4,Betula,neoalaskana,,2011
GRI2,2,BRACHSP,BRACH10,Brachythecium,,,2011
GRI2,2,CLADOSP,CLADO3,Cladonia,,,2011
GRI2,2,CLAGRA,CLGR13,Cladonia,gracilis,,2011
GRI2,2,DREPASP,DREPA3,Drepanocladus,,,2011
GRI2,7,HYLSPL,HYSP70,Hylocomium,splendens,,2011
GRI2,2,HYPNUSP,HYPNU2,Hypnum,,,2011
GRI2,3,LEDGRO,LEGR,Ledum,groenlandicum,,2011
GRI2,2,PELLEU,PELE61,Peltigera,leucophlebia,,2011
GRI2,2,PICGLA,PIGL,Picea,glauca,,2011
GRI2,7,PICMAR,PIMA,Picea,mariana,,2011
GRI2,7,POPTRE,POTR5,Populus,tremuloides,,2011
GRI2,2,ROSACI,ROAC,Rosa,acicularis,,2011
GRI2,2,SALBEB,SABE2,Salix,bebbiana,,2011
GRI2,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2011
GRI2,4,VIBEDU,VIED,Viburnum,edule,,2011
GRI3,6,BETNEO,BENE4,Betula,neoalaskana,,2011
GRI3,2,BRYUMSP,BRYUM2,Bryum,,,2011
GRI3,1,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2011
GRI3,2,CLADOSP,CLADO3,Cladonia,,,2011
GRI3,2,CLAGRA,CLGR13,Cladonia,gracilis,,2011
GRI3,2,CORCAN,COCA13,Cornus,Canadensis,,2011
GRI3,7,HYLSPL,HYSP70,Hylocomium,splendens,,2011
GRI3,2,HYPNUSP,HYPNU2,Hypnum,,,2011
GRI3,2,LEDGRO,LEGR,Ledum,groenlandicum,,2011
GRI3,1,LYCANN,LYAN2,Lycopodium,annotinum,,2011
GRI3,2,NEPEXP,NEEX2,Nephroma,expallidum,,2011
GRI3,2,PELRUF,PERU60,Peltigera,rufescens,,2011
GRI3,3,PICGLA,PIGL,Picea,glauca,,2011
GRI3,7,PICMAR,PIMA,Picea,mariana,,2011
GRI3,7,POPTRE,POTR5,Populus,tremuloides,,2011
GRI3,2,ROSACI,ROAC,Rosa,acicularis,,2011
GRI3,2,SALBEB,SABE2,Salix,bebbiana,,2011
GRI3,1,SPLLUT,SPLU7,Splachnum,luteum,,2011
GRI3,3,VACVIT,VAVI,Vaccinium,vitis-idaea,,2011
GRI3,1,VIBEDU,VIED,Viburnum,edule,,2011
GRI4,5,ALNVIR,ALVIF,Alnus,viridis,ssp. fruticosa,2011
GRI4,7,BETNEO,BENE4,Betula,neoalaskana,,2011
GRI4,2,BRACHSP,BRACH10,Brachythecium,,,2011
GRI4,1,CERPUR,CEPU12,Ceratodon,purpureus,,2011
GRI4,1,CLADISP,CLADI3,Cladina,,,2011
GRI4,2,CLAGRA,CLGR13,Cladonia,gracilis,,2011
GRI4,2,DICRANUMSP,DICRA8,Dicranum,,,2011
GRI4,2,DREPASP,DREPA3,Drepanocladus,,,2011
GRI4,7,HYLSPL,HYSP70,Hylocomium,splendens,,2011
GRI4,2,LEDGRO,LEGR,Ledum,groenlandicum,,2011
GRI4,2,LINBOR,LIBO3,Linnaea,borealis,,2011
GRI4,2,PELAPH,PEAP60,Peltigera,aphthosa,,2011
GRI4,2,PICGLA,PIGL,Picea,glauca,,2011
GRI4,7,PICMAR,PIMA,Picea,mariana,,2011
GRI4,2,PLESCH,PLSC70,Pleurozium,schreberi,,2011
GRI4,3,POPTRE,POTR5,Populus,tremuloides,,2011
GRI4,2,RHYRUG,RHRU70,Rhytidium,rugosum,,2011
GRI4,2,SALBEB,SABE2,Salix,bebbiana,,2011
GRI4,2,VACVIT,VAVI,Vaccinium,vitis-idaea,,2011
GRI5,1,ARCRUB,ARRU,Arctostaphylos,rubra,,2011
GRI5,2,BETNEO,BENE4,Betula,neoalaskana,,2011
GRI5,1,CALAMSP,CALAM,Calamagrostis,,,2011
GRI5,2,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2011
GRI5,2,CLAGRA,CLGR13,Cladonia,gracilis,,2011
GRI5,1,CLASTE,CLST60,Cladina,stellaris,,2011
GRI5,1,CORCAN,COCA13,Cornus,Canadensis,,2011
GRI5,2,DICRANUMSP,DICRA8,Dicranum,,,2011
GRI5,4,DREPASP,DREPA3,Drepanocladus,,,2011
GRI5,1,EMPNIG,EMNI,Empetrum,nigrum,,2011
GRI5,2,GEOLIV,GELI2,Geocaulon,lividum,,2011
GRI5,8,HYLSPL,HYSP70,Hylocomium,splendens,,2011
GRI5,2,HYPNUSP,HYPNU2,Hypnum,,,2011
GRI5,2,LEDGRO,LEGR,Ledum,groenlandicum,,2011
GRI5,1,PELAPH,PEAP60,Peltigera,aphthosa,,2011
GRI5,7,PICGLA,PIGL,Picea,glauca,,2011
GRI5,6,PICMAR,PIMA,Picea,mariana,,2011
GRI5,4,PLESCH,PLSC70,Pleurozium,schreberi,,2011
GRI5,1,POLCOM,POCO38,Polytrichum,commune,,2011
GRI5,7,POPTRE,POTR5,Populus,tremuloides,,2011
GRI5,2,RHYRUG,RHRU70,Rhytidium,rugosum,,2011
GRI5,2,ROSACI,ROAC,Rosa,acicularis,,2011
GRI5,2,SALBEB,SABE2,Salix,bebbiana,,2011
GRI5,6,VACVIT,VAVI,Vaccinium,vitis-idaea,,2011
GRI6,2,BETNEO,BENE4,Betula,neoalaskana,,2011
GRI6,2,BRACHSP,BRACH10,Brachythecium,,,2011
GRI6,2,CHAANG,CHANA2,Chamerion,angustifolium,ssp. angustifolium,2011
GRI6,2,CLADISP,CLADI3,Cladina,,,2011
GRI6,1,CLADOSP,CLADO3,Cladonia,,,2011
GRI6,2,DICRANUMSP,DICRA8,Dicranum,,,2011
GRI6,2,EMPNIG,EMNI,Empetrum,nigrum,,2011
GRI6,8,HYLSPL,HYSP70,Hylocomium,splendens,,2011
GRI6,2,LYCANN,LYAN2,Lycopodium,annotinum,,2011
GRI6,2,PELLEU,PELE61,Peltigera,leucophlebia,,2011
GRI6,2,PELRUF,PERU60,Peltigera,rufescens,,2011
GRI6,7,PICMAR,PIMA,Picea,mariana,,2011
GRI6,6,POPTRE,POTR5,Populus,tremuloides,,2011
GRI6,2,RHYRUG,RHRU70,Rhytidium,rugosum,,2011
GRI6,2,ROSACI,ROAC,Rosa,acicularis,,2011
