burn,site,type,moist.class,sev.class,moist.2008,TDR.2006,TDR.2008,TDR.2011,elev,Lat(N),Lon(W),slope.deg,aspect,pH,%sand,%silt,%clay,text.class,slope.pos,Burn.date,Burn.date.julian,NBR,soil.sev,soil.sev.rank,mortality (%),tree.sev.rank,%Can.cons,%Standing_BA,%Standing_Num,last.fire,oldest.tree,recruit.type,CBI.total,CBI.Under,CBI.Over,CBI.substrate,Resid.org,PreFireOrg,%OrgLoss,%org<3cm,org.cov,moss.cov,dmoss.cov,post.SON,post.SOC,BS.dens,BS.ba,TA.dens,TA.ba,PB.dens,PB.ba,BS.ntree,BS.nstand,PB.ntree,PB.nstand,TA.ntree,TA.nstand,Dec.nstand,WS.ntree,WS.nstand
TC,11,ext,NA,NA,4,48.9,44.4,56.7,730,63.85,142.22,5,310,4.6,33.6,54.2,12.2,3,1,17-Jul-04,199,-0.221,moderate,3,100,1,38.5,1,1,30,70,3,2.11,1.92,2.7,1.5,5.5,18.6,69.8,36,28,22,18,NA,NA,1.13,4.7,0,0,0,0,1,1,2,2,3,4,2,3,5
TC,12,ext,NA,NA,3,30.7,52,57.3,700,63.82,142.21,6,292,5.1,27.6,59.2,13.2,3,1,10-Aug-04,223,-0.356,high,5,100,1,72.4,0,0.5,31,31,2,2.49,2.33,2.95,1.75,1.7,12.4,87.1,82,2,90,7,NA,NA,0.35,4.3,0,0,0,0,0,0,1,7,7,7,7,1,5
TC,13,treeline,NA,NA,3,26.6,51.2,32,1022,63.66,142.29,8,282,5.2,35.6,55.2,9.2,1,1,24-Aug-04,237,0.079,mod-low,2,30,3,67,0.65,0.52,66,66,2.1,1.77,1.64,2.18,1,11.3,24.4,55.5,19,20,7,47,0.136,3.61,0.18,4.7,0,0,0,0,7,7,7,7,7,7,7,7,7
TC,14,treeline,NA,NA,3,23.6,24.6,30.3,985,63.63,142.31,4,255,5,34,54.8,11.2,2,1,12-Jul-04,194,-0.418,mod-low,2,100,3,83,0.92,0.42,73,73,2.1,1.98,1.98,NA,1.5,4.4,12.7,77.3,52,17,7,52,0.065,1.95,0.12,0.3,0,0,0,0,4,4,7,7,5,5,5,4,4
TC,15,ext,NA,NA,2,24.9,39.4,24.3,930,63.63,142.32,5,231,4.2,31,51.8,17.2,2,0,4-Jul-04,186,-0.407,mod-low,2,100,4,87.2,0.99,0.94,98,98,2,2.54,2.31,3,2.25,4.3,16.6,74.3,45,49,6,35,NA,NA,0.68,14.9,0,0,0,0,3,3,4,4,3,3,3,3,7
TC,16,ext,NA,NA,3,59.8,67.4,72.7,950,63.59,142.36,4,185,6,28,50.8,21.2,2,0,25-Jun-04,175,-0.471,mod-low,2,100,4,77.9,1,1,95,183,3,1.94,1.58,3,1.25,11.3,22.3,76.2,27,29,17,46,NA,NA,0.98,19.1,0,0,0,0,5,6,7,7,5,5,5,3,4
TC,17,ext,NA,NA,5,51.2,46,74,860,63.56,142.37,7,312,4.6,28.4,58.4,13.2,5,2,25-Jun-04,175,-0.217,low,1,100,2,82.5,1,1,155,181,3,1.91,1.54,3,1,27.5,26.2,6.5,0,18,3,73,NA,NA,2.25,6,0,0,0,0,3,3,7,7,4,7,7,7,7
TC,18,ext,NA,NA,3,42.1,45.8,45,860,63.56,142.37,7,355,4.3,30,65.8,4.2,2,0,25-Jun-04,175,-0.493,mod-low,2,100,3,86.5,0.99,0.94,115,240,3,2.28,2.13,2.75,1.75,11.3,21.1,52.3,0,48,0,40,NA,NA,0.4,8.8,0,0,0,0,3,3,7,7,4,7,7,7,7
TC,19,int,dry,low,2,23.6,27.6,23,890,63.54,142.39,0,90,4.7,22,70.8,7.2,4,0,25-Jun-04,175,-0.492,mod-low,2,100,4,86.9,0.99,0.9,95,95,2,2.45,2.03,2.96,1.25,7.5,18.7,72.2,23,77,3,20,0.109,3.34,0.58,18.7,0,0,0,0,6,7,7,7,7,7,7,7,7
TC,20,ext,NA,NA,3,38.4,41.6,44,820,63.53,142.39,2,210,5.2,16,68.8,15.2,2,3,24-Jun-04,176,-0.446,mod-low,2,100,4,98.8,1,1,102,102,2,2.28,2.04,3,1.75,12.5,18.7,40.3,0,60,0,25,NA,NA,1.4,8.4,0,0,0,0,3,7,7,7,7,7,7,7,7
TC,23,int,dry,high,3,24.5,34,33,870,63.46,142.47,4,142,5.2,22.6,61,16.4,2,0,26-Jun-04,178,-0.498,moderate,3,100,4,89.5,0.42,0.48,96,96,2.1,2.47,2.27,2.96,2.05,4.2,19.2,72.5,50,75,15,8,0.104,3.06,0.94,18,0,0,0,0,3,3,7,7,7,7,7,7,7
TC,24,int,dry,low,2,34.5,23.8,21.7,870,63.46,142.47,0,90,4.7,39.2,50.4,10.4,2,0,26-Jun-04,178,-0.379,mod-low,2,100,3,88.8,0.94,0.89,99,99,2,2.1,1.76,2.94,0.75,8.2,24.8,60,5,83,5,12,0.141,4.57,0.88,27.3,0,0,0,0,2,2,7,7,7,7,7,7,7
TC,25,int,moist,low,5,56.3,53.6,57.3,800,63.42,142.48,4,40,5.5,25.2,70.4,4.4,5,1,29-Jun-04,181,-0.198,low,1,100,2,66.9,1,0.95,173,173,1,1.74,1.43,2.56,0.83,16.6,26,38.6,0,53,0,37,0.148,4.17,1,8.1,0,0,0,0,2,2,2,7,5,4,4,7,7
TC,26,int,dry,low,3,52.6,57.6,54,787,63.52,142.39,2,123,5.4,16.8,60.8,22.4,3,3,24-Jun-04,176,-0.174,mod-low,2,100,2,80.5,1,0.97,101,101,2,2.03,1.76,2.7,0.75,16.3,29.6,44.3,0,80,0,17,0.277,7.18,1.17,7.9,0,0,0,0,1,1,7,7,7,7,7,7,7
TC,27,int,moist,low,4,55.9,53.6,44.5,790,63.4,142.47,3,66,5.5,31.8,65.8,2.4,2,3,1-Jul-04,183,-0.209,mod-low,2,100,1,72.9,0.96,0.74,172,172,2.1,1.71,1.37,2.6,1,18.3,36.5,45.4,0,68,8,23,0.217,5.24,1.34,9.9,0,0,0,0,0,2,2,7,4,7,7,4,7
TC,28,ext,NA,NA,1,24.2,26,28,714,63.4,142.49,0,90,4.5,45.2,42.4,12.4,2,3,1-Jul-04,183,-0.197,moderate,3,100,3,68.7,1,1,104,104,2,2.73,2.63,3,2.4,2.7,12.7,76.7,27,63,12,10,NA,NA,0.45,16.9,0,0,0,0,7,7,7,7,7,7,7,7,7
TC,29,int,dry,high,3,27.6,55.2,68.2,628,63.39,142.52,5,222,6,87.6,9.6,2.8,2,1,12-Jul-04,194,-0.316,high,5,100,3,90.8,0.02,0.12,104,104,2.1,2.9,2.8,3,3,1.6,15.2,89.5,82,25,70,0,0.021,0.62,0.53,16.4,0,0,0,0,0,1,1,7,1,7,7,1,7
DC,30,treeline,NA,NA,2,32.5,22.2,23.1,550,66.32,150.41,3,158,4.9,36.6,48.6,14.8,4,0,21-Aug-04,234,-0.177,high,5,100,3,40,1,1,70,70,1,2.3,2.39,2.1,2.45,2.1,20.8,88,74,31,18,11,0.028,0.86,0.01,0.1,0,0,0,0,3,3,7,7,7,7,7,7,7
DC,31,treeline,NA,NA,2,18.2,14.6,15.6,550,66.32,150.4,3,197,4.6,55.6,35.6,8.8,1,0,21-Aug-04,234,-0.235,moderate,3,100,3,61.2,1,0.9,85,85,1,2.73,2.64,2.64,2.7,1.8,15.9,93.3,85,48,13,8,0,0,0.17,6.9,0,0,0,0,2,2,7,7,7,7,7,7,7
DC,32,ext,NA,NA,4,49.1,67.2,51.5,530,66.28,150.36,2,140,3.8,24.8,58.8,16.4,3,0,21-Aug-04,234,-0.106,low,1,70,1,31,0.95,0.94,148,148,1,1.5,1.39,1.81,0.75,16.2,24.1,48.3,0,15,0,56,NA,NA,0.87,20.3,0,0,0,0,0,0,NA,NA,1,1,1,NA,NA
DC,33,ext,NA,NA,3,44.2,58.6,31.8,520,66.27,150.34,4,355,3.7,22.8,58.8,18.4,4,1,21-Aug-04,234,0.134,low,1,25,1,7.8,0.96,0.99,186,186,2,1.81,1.67,2.25,1.25,14.1,25,45,0,43,0,43,NA,NA,1.97,22.2,0,0,0,0,0,0,7,7,3,7,7,7,7
DC,34,treeline,NA,NA,3,42.4,69.2,66.5,565,66.21,150.27,8,75,4.7,NA,NA,NA,4,1,20-Aug-04,233,-0.18,low,1,99,1,50,0.9,1,90,136,3,1.74,1.65,1.94,1.55,13,24.6,48.4,9,35,8,38,0.26,7.19,0.04,0,0,0,0,0,2,2,7,7,7,7,7,7,7
DC,35,int,moist,low,5,64,81.8,56.7,520,66.21,150.26,7,80,4.6,NA,NA,NA,4,1,20-Aug-04,233,-0.044,low,1,100,2,83.7,0.99,0.89,90,90,2,2.34,2.33,2.38,1.83,19.8,27.9,46,0,39,15,43,0.206,5.34,0.83,3.9,0,0,0,0.026179939,0,0,7,7,7,7,7,7,7
DC,36,ext,NA,NA,5,68.1,86.6,72.9,445,66.21,150.26,5,85,3.8,NA,NA,NA,3,2,20-Aug-04,233,0.041,high,5,30,1,31,0.31,0.27,90,89,2,1.98,2.08,1.73,2,8.9,21.5,76.5,64,17,50,13,NA,NA,0.5,11.4,0,0,0.016666667,34.60660657,0,1,7,7,7,7,7,7,7
DC,37,int,moist,high,5,27,45.4,34.1,390,66.21,150.23,3,75,5.6,12.4,68.8,18.8,3,3,21-Aug-04,234,0.069,high,5,100,1,76,0,0,90,125,3,2.6,2.73,2.21,3,1.2,21.5,95,95,3,70,0,0,0,0.78,18.9,0,0,0.058333333,0.660781655,2,2,2,4,7,7,4,3,3
DC,38,ext,NA,NA,5,55.3,51.6,44,295,66.19,150.22,2,230,5.8,21.6,58.8,19.6,3,3,21-Aug-04,234,0.314,moderate,3,80,3,90.8,0.99,0.97,122,122,2,1.86,1.65,2.51,1.88,13.4,18.5,58.4,23,16,37,36,NA,NA,1.4,14.5,0,0,0,0,0,0,2,7,7,7,7,7,7
DC,39,int,moist,high,4,48.5,45.4,NA,300,66.17,150.2,1,231,5.7,2,81.2,16.8,4,3,21-Aug-04,234,-0.067,mod-high,4,100,3,88.4,0.56,0.45,95,94,2,2.54,2.47,2.76,2,7.3,19.6,78.2,36,37,63,0,0.078,2.38,2.03,7.6,0.008333333,0.040906154,0,0,2,2,3,7,7,7,7,7,7
