burn,site,type,moist.class,sev.class,moist.2008,TDR.2006,TDR.2008,TDR.2011,elev,Lat(N),Lon(W),slope.deg,aspect,pH,%sand,%silt,%clay,text.class,slope.pos,Burn.date,Burn.date.julian,NBR,soil.sev,soil.sev.rank,mortality (%),tree.sev.rank,%Can.cons,%Standing_BA,%Standing_Num,last.fire,oldest.tree,recruit.type,CBI.total,CBI.Under,CBI.Over,CBI.substrate,Resid.org,PreFireOrg,%OrgLoss,%org<3cm,org.cov,moss.cov,dmoss.cov,post.SON,post.SOC,BS.dens,BS.ba,TA.dens,TA.ba,PB.dens,PB.ba,BS.ntree,BS.nstand,PB.ntree,PB.nstand,TA.ntree,TA.nstand,Dec.nstand,WS.ntree,WS.nstand
DC,56,ext,NA,NA,2,26.4,34,17.9,150,65.9,149.75,3,210,6.6,3,87.4,9.6,3,0,30-Jun-04,182,-0.011,mod-high,4,100,3,76.7,0.66,0.5,86,86,2,2.23,2.24,2.22,1.55,2.2,10.1,59.7,55,57,18,2,NA,NA,1.15,15.5,0.283333333,52.36720794,0.016666667,0.455661834,2,2,7,7,2,3,3,2,7
DC,57,ext,NA,NA,6,51.7,100,56.1,93,65.88,149.72,0,90,7.5,6,82.4,11.6,5,3,30-Jun-04,182,0.115,low,1,100,2,25.1,1,1,80,80,2,1.3,1.3,NA,1.07,23.4,25.2,32.3,0,13,40,8,NA,NA,0.38,0,0.011111111,0,0,0,0,1,4,4,4,4,4,3,3
BF,58,ext,NA,NA,2,8.2,10.6,8.1,430,65.29,146.55,15,92,3.9,53,39.8,7.2,2,1,25-Jun-04,177,-0.32,mod-high,4,100,2,48.8,1,1,81,81,2.1,2.32,2.03,2.73,2.65,4.1,15.7,83.3,50,47,32,13,NA,NA,0.27,10.2,0,0,0.016666667,0.837758041,0,0,1,1,2,2,1,1,1
BF,59,ext,NA,NA,3,23.2,42.8,22,420,65.29,146.55,7,91,4.1,33,59.8,7.2,4,2,25-Jun-04,177,-0.265,moderate,3,100,3,87,0.98,0.96,86,86,2.1,2.23,2.03,2.75,1.35,15.8,25,54.4,5,54,14,19,NA,NA,0.58,12.4,0,0,0,0,1,1,2,2,1,2,2,2,2
BF,60,ext,NA,NA,4,41.5,66.4,32.4,408,65.29,146.55,1,56,3.8,NA,NA,NA,4,3,25-Jun-04,177,-0.234,low,1,100,1,26.9,1,1,85,85,2.1,1.77,1.6,2.25,1.05,11.7,21.7,64,5,50,8,30,NA,NA,0.14,3.5,0,0,0.011111111,5.585839005,1,1,1,4,1,1,1,1,3
BF,61,int,moist,low,5,57,37.4,57.3,695,65.35,146.67,1,185,4.9,NA,NA,NA,4,3,27-Jun-04,179,-0.185,low,1,100,1,58.5,0.99,0.9,69,76,2.1,1.92,1.63,2.73,1.1,12,26.2,74.6,32,24,5,46,0.067,3.02,0.47,7.1,0,0,0,0,2,2,7,7,7,7,7,1,1
BF,62,int,dry,low,3,36.7,42.2,NA,720,65.35,146.67,7,140,4.7,28,58.8,13.2,3,1,27-Jun-04,179,-0.175,low,1,98,1,43.5,0.98,0.88,66,66,2.1,1.61,1.29,2.48,0.6,11.3,23.1,62.3,5,48,3,28,0.173,5.15,0.33,6.7,0,0,0,0,0,4,7,7,7,7,7,4,4
BF,63,int,dry,low,3,14.7,29.6,NA,770,65.35,146.67,10,170,4.6,34,51.8,14.2,3,0,27-Jun-04,179,-0.119,low,1,99,1,29.3,1,0.95,71,128,3,1.76,1.54,2.2,1.3,8.3,18.5,73.5,14,32,2,25,0.163,4.8,0.43,10.7,0,0,0,0,0,5,7,7,7,7,7,5,5
BF,64,ext,NA,NA,2,11.8,14,11.6,740,65.3,146.72,12,185,4,38,52.8,9.2,2,1,23-Jun-04,175,-0.405,mod-high,4,100,5,58.4,0.03,0.8,67,67,2.1,2.53,2.36,3,2.7,6.4,27.3,85.1,50,47,18,20,NA,NA,0.19,15.5,0,0,0,0,2,4,3,4,7,7,4,2,4
BF,65,ext,NA,NA,3,14.8,30.8,13.9,670,65.3,146.72,12,183,3.7,41.2,49.7,9.1,2,1,23-Jun-04,175,-0.179,low,1,95,1,72.7,0.7,0.63,60,101,3,1.88,1.65,2.38,1.25,6.2,19,76.3,45,20,8,27,NA,NA,0.55,8.8,0,0,0.016666667,4.383699849,0,2,4,5,7,7,5,4,4
BF,66,ext,NA,NA,2,14.1,18.6,7.5,670,65.3,146.72,11,121,4.5,31.6,60.2,8.2,2,1,23-Jun-04,175,-0.318,mod-low,2,100,1,12.7,1,1,59,59,2,1.72,1.5,2.38,1.5,9.3,18.4,72.3,23,30,7,50,NA,NA,0.1,4.4,0,0,0.044444444,0,1,5,1,4,7,7,4,0,1
