Site,Core,Bag,Top_cm,Bottom_cm,Horizon1,Horizon2,SiteAge,BurnYear,AvgPithYear,Orientation,Date_processed,Date_sampled,Burned,Ice1,Ice2,Ice_cm,Macrofossil_bag,Roots,Color,Texture,BagID_A,BagID_B,Bag_mass_g,Wet_g,Dry_g,%SoilMoisture,Thickness_cm,Diameter_cm,Height_cm,Volume_cm3,BulkDensity_g/cm3,Comments
Apex Beta,1,2,38.9,42,M,NA,Mature,NA,1938,NA,1/18/16 16:10,4/9/15,No,Oil,NA,0.5,NA,NA,NA,NA,2312,2313,4.908,57.966,10.605,89.26,3.1,7.5,3.5,62.7,0.090906609,
Apex Beta,1,2,42,45.5,M,NA,Mature,NA,1938,NA,1/18/16 16:10,4/9/15,Yes,Oil,NA,0.6,M277,NA,NA,NA,2314,2315,4.925,61.675,11.755,87.96,3.5,7.4,3.4,67.5,0.101180347,"Possibly burned, charcoal sub sample"
Apex Beta,1,2,45.5,49.4,M,NA,Mature,NA,1938,NA,1/18/16 16:11,4/9/15,No,Oil,NA,0.5,NA,NA,NA,NA,2316,2317,4.963,84.562,17.562,84.17,3.9,7.3,3.8,85.9,0.14669729,
Apex Beta,1,2,49.4,52.9,M,NA,Mature,NA,1938,NA,1/18/16 16:11,4/9/15,No,Oim,NA,0.2,M278,NA,NA,NA,2318,2319,4.932,81.866,18.346,82.56,3.5,7.4,4,83.0,0.161563489,
Apex Beta,1,2,52.9,56.3,M,NA,Mature,NA,1938,NA,1/18/16 16:12,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2320,2321,4.908,78.432,19.189,80.58,3.4,7.4,3.9,78.1,0.182752742,
Apex Beta,1,2,56.3,59.9,M,NA,Mature,NA,1938,NA,1/18/16 16:12,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2322,2323,4.916,77.175,20.18,78.88,3.6,7.4,3.8,80.1,0.190612243,
Apex Beta,1,2,59.9,63.9,M,NA,Mature,NA,1938,NA,1/18/16 16:13,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2324,2325,4.937,89.742,23.131,78.55,4,7.5,3.9,92.9,0.1959376,
Apex Beta,1,2,63.9,68,M,NA,Mature,NA,1938,NA,1/18/16 16:13,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2326,2327,4.941,86.888,17.561,84.60,4.1,7.3,3.8,90.3,0.139773912,
Apex Beta,1,2,68,71.1,M,NA,Mature,NA,1938,NA,1/18/16 16:14,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2328,2329,4.933,43.574,8.454,90.89,3.1,NA,NA,NA,NA,
Apex Beta,1,3,71.1,73.6,M,NA,Mature,NA,1938,NA,1/18/16 16:15,4/9/15,No,Oif,NA,0.1,NA,NA,NA,NA,2330,2331,4.905,40.878,7.522,92.73,2.5,NA,NA,NA,NA,
Apex Beta,1,3,73.6,76.8,M,NA,Mature,NA,1938,NA,1/18/16 16:23,4/9/15,No,Oie,NA,1.1,NA,NA,NA,NA,2332,2333,4.914,70.093,10.144,91.98,3.2,7.3,3.8,70.5,0.074216818,
