Site,Core,Bag,Top_cm,Bottom_cm,Horizon1,Horizon2,SiteAge,BurnYear,AvgPithYear,Orientation,Date_processed,Date_sampled,Burned,Ice1,Ice2,Ice_cm,Macrofossil_bag,Roots,Color,Texture,BagID_A,BagID_B,Bag_mass_g,Wet_g,Dry_g,%SoilMoisture,Thickness_cm,Diameter_cm,Height_cm,Volume_cm3,BulkDensity_g/cm3,Comments
Dalton,4,5,38.4,41.7,B,NA,Mature,NA,1947,NA,8/18/15 12:58,4/14/15,No,Pnv,NA,0,NA,1v,2.5y 3/2,L,334,335,5.052,93.668,68.642,28.24,3.3,NA,NA,NA,NA,The mineral layer of this whole core was very difficult to cut due to gravel
Dalton,4,5,41.7,45.2,B,NA,Mature,NA,1947,NA,8/18/15 14:38,4/14/15,No,Pnv,Viv,0.1,NA,1v,2.5y 3/2,L,336,337,5.039,130.063,95.025,28.03,3.5,7.5,3.6,73.4,1.226365254,
Dalton,4,5,45.2,48.8,B,NA,Mature,NA,1947,NA,8/18/15 14:49,4/14/15,No,Pnv,Vil,0.9,NA,NA,2.5y 3/2,L,338,339,5.064,123.539,90.874,27.57,3.6,7.5,3.4,70.1,1.224365131,
Dalton,4,5,48.8,51.9,B,NA,Mature,NA,1947,NA,8/18/15 14:59,4/14/15,No,Lwl,Vil,0.7,M53,NA,2.5y 3/2,L,340,341,5.064,78.171,49.981,38.56,3.1,7.5,2.7,44.4,1.011934667,
Dalton,4,5,51.9,54.6,B,NA,Mature,NA,1947,NA,8/18/15 15:05,4/14/15,No,Lwl,Vil,0.7,NA,NA,2.5y 4/2,L,342,343,5.081,72.789,46.395,38.98,2.7,7.6,3.1,47.0,0.879772591,
Dalton,4,5,54.6,56.6,B,NA,Mature,NA,1947,NA,8/18/15 15:12,4/14/15,No,Lwv,Viv,0.1,NA,NA,2.5y 4/2,CL,344,345,5.087,67.595,45.417,35.48,2,NA,NA,NA,NA,End. 
DC33,1,1,0,7,F,LT,Young,2004,NA,Horizontal,8/20/15 12:03,4/16/15,Yes,Onv,NA,0,M60,2v,NA,NA,346,347,5.01,26.281,9.401,79.36,7,NA,NA,NA,NA,Also has small dead leaves litter layer is scorched. This whole bag was very crumbly and lumpy. 
DC33,1,1,7,12.1,F,NA,Young,2004,NA,NA,8/20/15 12:07,4/16/15,No,Onv,NA,0,NA,3v,NA,NA,348,349,5.009,35.665,12.892,74.29,5.1,NA,NA,NA,NA,
DC33,1,1,12.1,14.3,F,NA,Young,2004,NA,NA,8/20/15 12:11,4/16/15,No,Onv,NA,0,NA,3v,NA,NA,350,351,5.03,38.218,13.283,75.13,2.2,NA,NA,NA,NA,
DC33,1,1,14.3,22,M,NA,Young,2004,NA,NA,8/20/15 12:13,4/16/15,No,Onv,NA,0,M61,2v,NA,NA,352,353,5.067,51.685,20.365,67.18,7.7,NA,NA,NA,NA,
DC33,1,2,22,25.1,H,NA,Young,2004,NA,NA,8/20/15 12:24,4/16/15,No,Onv,NA,0,M62,2v,NA,NA,354,355,5.082,66.338,33.21,54.08,3.1,NA,NA,NA,NA,
DC33,1,2,25.1,28.2,A,NA,Young,2004,NA,NA,8/20/15 12:26,4/16/15,No,Pnv,NA,0,M63,2v,2.5y 3/2,SiCL,356,357,5.066,100.157,56.718,45.68,3.1,7.5,3.8,69.6,0.741706904,
DC33,1,2,28.2,32.2,A,NA,Young,2004,NA,NA,8/20/15 12:30,4/16/15,No,Pnv,NA,0,NA,2v,2.5y 3/2,SiCL,358,359,5.074,131.36,82.719,38.52,4,7.4,3.7,86.0,0.902672429,
DC33,1,2,32.2,36,A,NA,Young,2004,NA,NA,8/20/15 12:33,4/16/15,No,Pnv,NA,0,NA,2v,10yr 3/2,SiCL,360,361,5.059,108.84,68.024,39.33,3.8,7.5,3.3,71.1,0.885020116,
DC33,1,2,36,39.5,A,NA,Young,2004,NA,NA,8/20/15 12:36,4/16/15,No,Pnv,NA,0,NA,2v,10yr 3/2,SiCL,362,363,5.04,74.388,44.831,42.62,3.5,NA,NA,NA,NA,
DC33,1,3,39.5,43.7,B,NA,Young,2004,NA,NA,8/20/15 13:25,4/16/15,No,Pnv,NA,0,M64,2v,2.5y 4/2,CL,364,365,5.061,153.713,116.361,25.13,4.2,NA,NA,NA,NA,Rocky and lumpy. Split with knife
DC33,1,3,43.7,48,B,NA,Young,2004,NA,NA,8/20/15 13:49,4/16/15,No,Pnv,NA,0,NA,1v,2.5y 4/2,CL,366,367,5.071,131.438,107.672,18.81,3.3,NA,NA,NA,NA,
DC33,1,4,48,52.3,B,NA,Young,2004,NA,NA,8/20/15 13:50,4/16/15,No,Pnv,NA,0,NA,NA,2.5y 4/2,CL,368,369,5.065,158.918,132.676,17.06,5.3,NA,NA,NA,NA,Rocky and lumpy. Split with knife
DC33,2,1,0,4.4,F,NA,Young,2004,NA,NA,8/22/15 13:39,4/16/15,Yes,Onv,NA,0,M65,3v,NA,NA,370,371,5.066,20.454,11.78,56.37,4.4,NA,NA,NA,NA,
DC33,2,1,4.4,8.1,M,NA,Young,2004,NA,NA,8/22/15 14:03,4/16/15,No,Onv,NA,0,M66,3v,NA,NA,372,373,5.071,54.903,33.966,42.02,3.7,NA,NA,NA,NA,
DC33,2,1,8.1,13,A,NA,Young,2004,NA,NA,8/22/15 14:09,4/16/15,No,Pnv,NA,0,M67,2v,2.5y 4/4,L,374,375,5.06,186.704,165.293,11.79,4.9,NA,NA,NA,NA,"All large (>3 cm) rocks, almost no mineral soil. "
DC33,2,2,13,16.1,B,NA,Young,2004,NA,NA,8/22/15 14:13,4/16/15,No,Pnv,Lwv,0.1,M68,2v,2.5y 4/4,L,376,377,5.069,102.806,75.467,27.97,3.1,NA,NA,NA,NA,
DC33,2,2,16.1,19.8,B,NA,Young,2004,NA,NA,8/22/15 14:42,4/16/15,No,Lwv,Pnv,0.2,NA,1v,2.5y 4/4,CL,380,381,5.058,123.395,96.226,22.96,3.7,NA,NA,NA,NA,
DC33,2,2,19.8,23,B,NA,Young,2004,NA,NA,8/22/15 14:46,4/16/15,No,Pnv,Lwv,0.1,NA,1v,2.5y 4/3,CL,382,383,5.065,136.516,111.871,18.75,3.2,NA,NA,NA,NA,
DC33,2,2,23,26.4,B,NA,Young,2004,NA,NA,8/22/15 14:59,4/16/15,No,Pnv,Lwv,0.1,NA,1v,2.5y 4/3,L,384,385,5.042,114.607,94.107,18.71,3.4,NA,NA,NA,NA,
DC33,2,2,26.4,28.6,B,NA,Young,2004,NA,NA,8/22/15 15:03,4/16/15,No,Pnv,Lwv,0.1,NA,1v,2.5y 4/4,L,378,379,5.068,68.733,54.358,22.58,2.2,NA,NA,NA,NA,
DC33,2,3,28.6,33,B,NA,Young,2004,NA,NA,8/22/15 15:06,4/16/15,No,Pnv,Lwv,0.1,NA,1v,2.5y 4/3,L,386,387,5.038,160.377,131.829,18.38,4.4,NA,NA,NA,NA,
DC33,2,3,33,37.3,B,NA,Young,2004,NA,NA,8/22/15 15:22,4/16/15,No,Pnv,Lwv,0.1,NA,1v,2.5y 4/2,L,388,389,5.083,170.75,136.228,20.84,4.3,NA,NA,NA,NA,
DC33,2,4,37.3,40.5,B,NA,Young,2004,NA,NA,8/22/15 15:28,4/16/15,No,Pnv,Lwv,0.1,NA,NA,2.5y 4/2,C,390,391,5.07,116.974,95.16,19.49,3.2,NA,NA,NA,NA,
DC33,3,1,0,5.7,L,F,Young,2004,NA,Horizontal,8/24/15 10:42,4/16/15,No,Onv,NA,0,M69,3v,NA,NA,392,393,5.03,33.147,7.775,90.24,5.7,NA,NA,NA,NA,Includes some fibric. 
DC33,3,1,5.7,10.3,F,NA,Young,2004,NA,NA,8/24/15 10:44,4/16/15,No,Onv,NA,0,M70,3v,NA,NA,394,395,5.016,29.023,10.002,79.23,4.6,NA,NA,NA,NA,
DC33,3,1,10.3,15.1,M,NA,Young,2004,NA,NA,8/24/15 10:47,4/16/15,No,Onv,NA,0,M71,3v,NA,NA,396,397,5.058,38.935,13.287,75.71,4.8,NA,NA,NA,NA,So many worms. 
DC33,3,1,15.1,18.2,M,NA,Young,2004,NA,NA,8/24/15 10:49,4/16/15,No,Onv,NA,0,NA,3v,NA,NA,398,399,5.266,33.606,13.019,72.64,3.1,NA,NA,NA,NA,
DC33,3,1,18.2,21,H,NA,Young,2004,NA,NA,8/24/15 10:54,4/16/15,No,Onv,NA,0,M72,3v,NA,NA,400,401,5.176,35.779,20.825,48.86,2.8,NA,NA,NA,NA,
DC33,3,2,21,27,A,NA,Young,2004,NA,NA,8/24/15 10:57,4/16/15,No,Pnv,NA,0,M73,2v,10yr 3/2,SiL,402,403,5.078,83.396,51.214,41.09,6,NA,NA,NA,NA,Mostly rocks. 
DC33,3,2,27,33,A,NA,Young,2004,NA,NA,8/24/15 10:59,4/16/15,No,Pnv,NA,0,NA,1v,10yr 3/2,SiL,404,405,5.1,129.323,98.098,25.14,6,NA,NA,NA,NA,Mostly rocks. 
DC33,3,3,33,37.2,B,NA,Young,2004,NA,NA,8/24/15 11:02,4/16/15,No,Pnv,NA,0,M74,1v,10yr 3/2,SiL,406,407,5.116,161.825,110.614,32.68,4.2,NA,NA,NA,NA,
DC33,3,3,37.2,41.2,B,NA,Young,2004,NA,NA,8/24/15 11:15,4/16/15,No,Pnv,NA,0,NA,1v,2.5y 4/2,SiC,408,409,5.052,143.24,111.641,22.87,4,NA,NA,NA,NA,
DC47,1,1,0,2,LT,F,Young,2004,NA,Horizontal,8/25/15 16:30,4/14/15,No,Onv,NA,0,M75,2v,NA,NA,410,411,5.087,17.419,6.269,90.42,2,NA,NA,NA,NA,
DC47,1,2,2,2.8,F,NA,Young,2004,NA,NA,8/25/15 17:12,4/14/15,No,Onv,NA,0,M76,3v,NA,NA,412,413,5.088,10.364,5.984,83.02,0.8,NA,NA,NA,NA,
DC47,1,2,2.8,6.5,M,NA,Young,2004,NA,NA,8/25/15 17:20,4/14/15,No,Onv,NA,0,M77,3v,NA,NA,414,415,5.1,76.077,14.253,87.10,3.7,7.3,3.5,73.4,0.124735455,
DC47,1,2,6.5,9.7,M,NA,Young,2004,NA,NA,8/25/15 17:22,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,416,417,5.092,67.151,13.338,86.71,3.2,7.2,3.6,65.1,0.126580986,
DC47,1,2,9.7,12.7,M,NA,Young,2004,NA,NA,8/25/15 17:23,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,418,419,5.084,68.752,14.503,85.21,3,7,4,68.2,0.138126853,
DC47,1,2,12.7,16.6,M,NA,Young,2004,NA,NA,8/25/15 17:27,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,420,421,5.08,92.633,19.268,83.79,3.9,7.4,4,92.5,0.153359096,
DC47,1,2,16.6,20.8,M,NA,Young,2004,NA,NA,8/25/15 17:28,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,422,423,5.071,97.375,20.71,83.06,4.2,7.4,3.9,96.5,0.162010771,
DC47,1,2,20.8,21.9,M,NA,Young,2004,NA,NA,8/25/15 17:30,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,424,425,5.026,20.431,7.821,81.86,1.1,NA,NA,NA,NA,
DC47,1,3,21.9,23.5,M,NA,Young,2004,NA,NA,8/25/15 17:33,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,426,427,5.111,22.978,8.322,82.03,1.6,NA,NA,NA,NA,
DC47,1,3,23.5,27.4,M,NA,Young,2004,NA,NA,8/25/15 17:36,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,428,429,5.012,92.076,21.27,81.33,3.9,7.5,4,93.5,0.173965259,
DC47,1,3,27.4,31,M,NA,Young,2004,NA,NA,8/25/15 17:37,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,430,431,5.058,84.972,21.038,80.00,3.6,7.6,4,87.1,0.183413058,
DC47,1,3,31,33.8,M,NA,Young,2004,NA,NA,8/25/15 17:38,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,432,433,5.084,65.335,18.403,77.89,2.8,7.6,4.1,69.9,0.190576898,
DC47,1,3,33.8,35.3,M,NA,Young,2004,NA,NA,8/25/15 17:38,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,434,435,5.118,22.635,9.473,75.14,1.5,NA,NA,NA,NA,Core break. 
DC47,1,3,35.3,36.7,M,NA,Young,2004,NA,NA,8/25/15 17:39,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,436,437,5.072,18.545,7.961,78.56,1.4,NA,NA,NA,NA,Core break. 
DC47,1,3,36.7,40,M,NA,Young,2004,NA,NA,8/25/15 17:52,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,438,439,5.058,77.308,20.074,79.22,3.3,7.7,4.1,83.2,0.180519049,
DC47,1,3,40,43.6,M,H,Young,2004,NA,Horizontal,8/25/15 17:52,4/14/15,No,Onv,NA,0,M78,3v,NA,NA,440,441,5.091,98.081,30.471,72.71,3.6,7.4,4.2,90.7,0.279840644,"Mostly mesic but has some humic, which was sub sampled for macro fossils. "
DC47,1,3,43.6,47.2,H,M,Young,2004,NA,Horizontal,8/25/15 17:53,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,442,443,5.023,89.715,29.998,70.51,3.6,7.5,4.1,89.0,0.280751015,Mostly humic but some mesic still. 
DC47,1,3,47.2,50.7,M,NA,Young,2004,NA,NA,8/25/15 17:54,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,444,519,5.012,80.875,27.085,70.90,3.5,7.5,3.9,81.2,0.271670764,
DC47,1,3,50.7,54.6,M,NA,Young,2004,NA,NA,8/25/15 17:56,4/14/15,No,Onv,NA,0,M80,3v,NA,NA,446,517,5.018,77.171,21.299,77.44,3.9,7.5,3.6,81.8,0.199126657,"Contains some woody debris, which was sub sampled. "
DC47,1,3,54.6,56.3,M,NA,Young,2004,NA,NA,8/25/15 18:29,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,448,515,5.045,41.195,11.403,82.41,1.7,7.6,3.8,38.6,0.164886285,"Has some woody debris, see segment above. "
DC47,1,3,56.3,58.5,M,NA,Young,2004,NA,NA,8/25/15 18:31,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,450,513,5.021,36.665,12.026,77.86,2.2,NA,NA,NA,NA,
DC47,1,4,58.5,59.8,M,NA,Young,2004,NA,NA,8/25/15 18:33,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,452,445,5.032,28.5,9.644,80.35,1.3,NA,NA,NA,NA,
DC47,1,4,59.8,63.1,M,NA,Young,2004,NA,NA,8/25/15 18:36,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,454,453,5.039,88.032,19.635,82.41,3.3,7.5,4.1,81.5,0.17899391,
DC47,1,4,63.1,66.6,M,NA,Young,2004,NA,NA,8/25/15 18:36,4/14/15,No,Onv,NA,0,M81,3v,NA,NA,456,455,5.058,76.683,16.025,84.69,3.5,7.4,3.8,77.9,0.14086553,"Contains woody debris, sub sampled for macro fossil. "
DC47,1,4,66.6,70.3,M,NA,Young,2004,NA,NA,8/25/15 18:37,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,458,457,5.025,100.994,21.264,83.08,4.6,7.4,3.7,98.9,0.164164075,
DC47,1,4,70.3,71.7,H,A,Young,2004,NA,Horizontal,8/25/15 18:37,4/14/15,No,Onv,Pnv,0,M82,3v,NA,NA,460,459,5.03,24.515,8.711,81.11,1.4,NA,NA,NA,NA,"Has a little bit of mineral, sub sampled. "
DC47,2,1,0,2,LT,F,Young,2004,NA,Horizontal,8/27/15 16:06,4/14/15,No,Onv,NA,0,NA,2v,NA,NA,462,463,5.01,10.96,7.262,62.15,2,NA,NA,NA,NA,"0.25 cm of litter on live moss up to 1 cm and fibric at 1-2 cm, sub sampled for macro fossils in bag M83"
DC47,2,2,2,4.8,F,NA,Young,2004,NA,NA,8/27/15 16:09,4/14/15,No,Onv,NA,0,M84,3v,NA,NA,464,465,5.049,52.598,11.417,86.61,2.8,NA,NA,NA,NA,Still with recognize able leaves and twigs. Nearly mesic.
DC47,2,2,4.8,9.2,F,NA,Young,2004,NA,NA,8/27/15 16:16,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,466,467,5.04,108.06,22.307,83.24,4.4,7.5,4.1,108.7,0.158811721,
DC47,2,2,9.2,11.7,F,NA,Young,2004,NA,NA,8/27/15 16:20,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,468,469,5.022,54.427,13.874,82.08,2.5,NA,NA,NA,NA,
DC47,2,3,11.7,13.9,F,NA,Young,2004,NA,NA,8/27/15 16:24,4/14/15,No,Onv,NA,0,NA,3v,NA,NA,470,471,5.011,40.262,10.399,84.72,2.2,NA,NA,NA,NA,Sedge leaves
DC47,2,3,13.9,17.6,F,NA,Young,2004,NA,NA,8/27/15 16:32,4/14/15,No,Onv,NA,0,NA,1v,NA,NA,472,473,5.008,79.927,18.22,82.36,3.7,7.6,3.6,78.3,0.168728944,Sedge peat
DC47,2,3,17.6,21.5,F,NA,Young,2004,NA,NA,8/27/15 16:36,4/14/15,No,Onv,NA,0,NA,1v,NA,NA,474,475,5.02,91.065,23.315,78.74,3.9,7.4,3.9,89.6,0.204104231,Sedge peat. Few live roots.
DC47,2,3,21.5,23.6,F,NA,Young,2004,NA,NA,8/27/15 16:39,4/14/15,No,Onv,NA,0,NA,1v,NA,NA,476,477,5.037,39.512,13.764,74.69,2.1,NA,NA,NA,NA,Sedge peat.
DC47,2,4,23.6,25.6,H,A,Young,2004,NA,Vertical,8/27/15 16:42,4/14/15,No,Onv,Pnv,0,M85,NA,NA,NA,478,479,5.03,44.387,27.715,42.36,2,NA,NA,NA,NA,Mineral mixed with humified organics.
DC47,2,4,25.6,28.1,H,A,Young,2004,NA,Vertical,8/27/15 16:50,4/14/15,No,Onv,Pnv,0,NA,NA,NA,NA,480,481,5.054,80.385,50.798,39.28,2.5,7.3,3.7,53.2,0.859368142,Mostly organic humic but some mineral
DC47,2,4,28.1,30.5,H,A,Young,2004,NA,Vertical,8/27/15 16:53,4/14/15,No,Onv,Pnv,0,NA,NA,NA,NA,482,483,5.034,73.346,45.645,40.55,2.4,7.4,3.6,49.8,0.814920641,Some Mineral mixed with humic
DC47,2,4,30.5,32.9,H,NA,Young,2004,NA,NA,8/27/15 16:55,4/14/15,No,Onv,NA,0,NA,NA,NA,NA,484,485,5.034,51.469,31.622,42.74,2.4,NA,NA,NA,NA,
DC47,2,5,32.9,34.5,M,NA,Young,2004,NA,NA,8/27/15 17:00,4/14/15,No,Onv,NA,0,M86,NA,NA,NA,486,487,5.026,43.834,24.807,49.03,1.6,NA,NA,NA,NA,
DC47,2,5,34.5,38.1,M,NA,Young,2004,NA,NA,8/27/15 17:08,4/14/15,No,Onv,NA,0,NA,NA,NA,NA,488,489,5.003,94.391,41.816,58.82,3.6,7.3,3.7,76.7,0.480268199,
DC47,2,5,38.1,41.8,M,NA,Young,2004,NA,NA,8/27/15 17:10,4/14/15,No,Onv,NA,0,NA,NA,NA,NA,490,491,5.036,96.871,40.498,61.39,3.7,7.6,3.9,86.7,0.408848987,
DC47,2,56,41.8,46,M,NA,Young,2004,NA,NA,8/27/15 17:13,4/14/15,No,Onv,NA,0,NA,NA,NA,NA,492,493,5.049,89.257,35.832,63.44,4.2,NA,NA,NA,NA,Combined ends of 5 and 6 to get accurate thickness.
DC47,2,6,46,48.8,M,NA,Young,2004,NA,NA,8/27/15 17:17,4/14/15,No,Onv,NA,0,NA,NA,NA,NA,494,495,5.057,72.712,32.321,59.70,2.8,7.4,3.7,60.2,0.452801875,
DC47,2,6,48.8,52,M,NA,Young,2004,NA,NA,8/27/15 17:20,4/14/15,No,Onv,NA,0,NA,1v,NA,NA,496,497,5.002,83.65,35.257,61.53,3.2,7.5,3.8,71.9,0.420875894,
DC47,2,6,52,55,M,A,Young,2004,NA,Vertical,8/27/15 17:22,4/14/15,No,Onv,Pnv,0,NA,1f,NA,NA,498,499,5.06,93.376,52.529,46.25,3,7.6,3.8,68.0,0.697592428,Mesic with mineral inclusion
DC47,2,6,55,57,M,A,Young,2004,NA,Vertical,8/27/15 17:23,4/14/15,No,Onv,Pnv,0,NA,NA,NA,NA,500,501,5.046,50.519,29.364,46.52,2,NA,NA,NA,NA,Mesic with mineral inclusion
DC47,2,7,57,60.8,I,NA,Young,2004,NA,NA,8/27/15 17:27,4/14/15,No,Mnw,NA,3.8,NA,NA,NA,NA,502,503,5.061,64.855,NA,NA,3.8,NA,NA,NA,NA,
DC47,2,7,60.8,64.6,I,NA,Young,2004,NA,NA,8/27/15 17:33,4/14/15,No,Mnw,NA,3.8,NA,NA,NA,NA,504,505,5.02,31.809,NA,NA,3.8,NA,NA,NA,NA,
DC47,2,8,64.6,66.9,I,NA,Young,2004,NA,NA,8/27/15 17:36,4/14/15,No,Mnw,NA,2.3,NA,NA,NA,NA,506,NA,5.024,49.918,NA,NA,2.3,NA,NA,NA,NA,"From now on, the massive ice sections won't be split for a B-bag. "
DC47,2,8,66.9,69.8,I,NA,Young,2004,NA,NA,8/27/15 17:41,4/14/15,No,Mnw,NA,2.9,NA,NA,NA,NA,508,NA,5.032,113.178,NA,NA,2.9,7.3,7.3,121.4,NA,No B bag. All massive ice. 
DC47,2,8,69.8,73.2,I,NA,Young,2004,NA,NA,8/27/15 17:43,4/14/15,No,Mnw,NA,3.4,NA,NA,NA,NA,510,NA,5.049,132.763,NA,NA,3.4,7.4,7.4,146.2,NA,All massive ice no b bag. 
DC47,2,8,73.2,76.6,I,NA,Young,2004,NA,NA,8/27/15 17:45,4/14/15,No,Mnw,NA,3.4,NA,NA,NA,NA,512,NA,5.062,134.122,NA,NA,3.4,7.4,7.4,146.2,NA,All massive ice no b bag
DC47,2,8,76.6,77.7,I,NA,Young,2004,NA,NA,8/27/15 17:46,4/14/15,No,Mnw,NA,1.1,NA,NA,NA,NA,514,NA,5.09,24.104,NA,NA,1.1,NA,NA,NA,NA,All massive ice no b bag
DC47,3,1,0,1,LT,NA,Young,2004,NA,NA,8/31/15 13:44,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,520,521,5.084,34.28,5.714,97.84,1,NA,NA,NA,NA,
DC47,3,2,1,2.9,LT,NA,Young,2004,NA,NA,8/31/15 13:45,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,522,523,5.063,25.261,7.076,90.03,1.9,NA,NA,NA,NA,
DC47,3,2,2.9,5.3,F,NA,Young,2004,NA,NA,8/31/15 13:59,4/15/15,No,Onv,NA,0,M89,3v,NA,NA,524,525,5.04,50.819,9.964,89.24,2.4,7.4,3.8,53.4,0.092234147,
DC47,3,2,5.3,8,F,NA,Young,2004,NA,NA,8/31/15 14:01,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,526,527,5.024,63.372,13.02,86.30,2.7,7.5,3.8,60.7,0.131830499,
DC47,3,2,8,10.8,F,NA,Young,2004,NA,NA,8/31/15 14:03,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,528,529,5.05,67.865,14.775,84.52,2.8,7.5,3.8,62.9,0.15461031,
DC47,3,2,10.8,13.1,F,NA,Young,2004,NA,NA,8/31/15 14:04,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,530,531,5.042,57.519,13.011,84.81,2.3,7.5,3.8,51.7,0.154234974,
DC47,3,2,13.1,15.6,M,NA,Young,2004,NA,NA,8/31/15 14:06,4/15/15,No,Onv,NA,0,M90,3v,NA,NA,532,533,5.011,59.253,14.604,82.31,2.5,7.5,3.9,58.0,0.165296638,
DC47,3,2,15.6,18.6,M,NA,Young,2004,NA,NA,8/31/15 14:07,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,534,535,5.023,72.696,17.851,81.04,3,7.5,3.9,69.6,0.184199005,
DC47,3,2,18.6,20.5,M,NA,Young,2004,NA,NA,8/31/15 14:08,4/15/15,No,Onv,NA,0,NA,3v,NA,NA,536,537,5.017,26.708,9.333,80.10,1.9,NA,NA,NA,NA,
DC47,3,3,20.5,22.1,M,NA,Young,2004,NA,NA,8/31/15 14:38,4/15/15,No,Onv,NA,0,NA,1v,NA,NA,538,539,5.049,30.313,10.129,79.89,1.6,NA,NA,NA,NA,All sedge peat in this bag. 
DC47,3,3,22.1,25.3,M,NA,Young,2004,NA,NA,8/31/15 14:39,4/15/15,No,Onv,NA,0,NA,1v,NA,NA,540,541,5.031,75.402,18.967,80.20,3.2,7.5,3.7,69.5,0.20055876,Contains large woody debris. 
DC47,3,3,25.3,28.4,M,NA,Young,2004,NA,NA,8/31/15 14:40,4/15/15,No,Onv,NA,0,NA,1v,NA,NA,542,543,5,73.723,18.847,79.85,3.1,7.5,3.8,69.6,0.19883868,
DC47,3,3,28.4,31.3,M,NA,Young,2004,NA,NA,8/31/15 14:42,4/15/15,No,Onv,NA,0,NA,1v,NA,NA,544,545,4.968,68.1,19.208,77.44,2.9,7.5,3.7,63.0,0.226133794,
DC47,3,3,31.3,34.2,M,NA,Young,2004,NA,NA,8/31/15 14:43,4/15/15,No,Onv,NA,0,NA,1v,NA,NA,546,547,4.994,68.999,19.005,78.11,2.9,7.5,3.7,63.0,0.222497232,
DC47,3,3,34.2,37,M,NA,Young,2004,NA,NA,8/31/15 14:44,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,548,549,5.018,63.893,19.826,74.85,2.8,7.5,3.6,58.7,0.252261695,
DC47,3,3,37,39.4,M,NA,Young,2004,NA,NA,8/31/15 14:46,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,550,551,5.012,56.488,18.308,74.17,2.4,7.5,3.6,50.3,0.264254687,
DC47,3,3,39.4,42.3,M,NA,Young,2004,NA,NA,8/31/15 14:48,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,552,553,5.023,62.547,15.936,81.03,2.9,7.5,3.6,60.8,0.179497784,
DC47,3,3,42.3,45.6,M,NA,Young,2004,NA,NA,8/31/15 14:49,4/15/15,No,Onv,NA,0,NA,NA,NA,NA,554,555,5.005,71.412,16.224,83.11,3.3,7.5,3.6,69.2,0.162163512,
DC47,3,3,45.6,48.9,M,A,Young,2004,NA,Vertical,8/31/15 14:51,4/15/15,No,Onv,Pnv,0,M91,NA,2.5y 3/2,SiL,556,557,4.978,76.396,19.533,79.62,3.3,7.5,3.8,74.1,0.196338353,Has small pocket of mineral soil (A layer) sub sampled. 
DC47,3,3,48.9,51.7,M,A,Young,2004,NA,Vertical,8/31/15 14:53,4/15/15,No,Onv,Pnv,0,NA,NA,2.5y 3/2,SiL,558,559,5.015,74.212,38.438,51.70,2.8,7.7,3.5,57.7,0.579685091,Small pocket of A layer mineral soil
DC47,3,3,51.7,55.3,A,NA,Young,2004,NA,NA,8/31/15 14:54,4/15/15,No,Pnv,NA,0,NA,NA,2.5y 3/2,SiL,560,561,5.05,112.394,67.858,41.49,3.6,NA,NA,NA,NA,
DC47,3,4,55.3,58.1,B,NA,Young,2004,NA,NA,8/31/15 15:49,4/15/15,No,Bhe,Piv,1.3,M87,NA,2.5y 2.5/1,SiL,562,563,5.04,57.372,24.307,63.18,2.8,NA,NA,NA,NA,
DC47,3,4,58.1,61.8,B,M,Young,2004,NA,Vertical,8/31/15 15:52,4/15/15,No,Bhe,Piv,1.4,M88,NA,2.5y 2.5/1,SiL,564,565,5.029,75.222,22.222,75.51,3.7,NA,NA,NA,NA,Buried organic. Half of this core looks mesic and half looks mineral with large ice structures. The types Split length wise down middle of the core. Organic side pictured here. 
DC47,3,4,61.8,66.5,B,M,Young,2004,NA,Vertical,8/31/15 15:52,4/15/15,No,Bhe,Piv,1.2,NA,NA,2.5y 2.5/1,SiL,566,567,5.065,104.019,33.829,70.93,4.7,7.7,3.6,100.4,0.286523799,Buried organic. Half of this core looks mesic and half looks mineral with large ice structures. The types Split length wise down middle of the core. Organic side pictured here. 
