,Site,Transect,Plot,FuelType,FuelLoad.kg.m2
130,LGI2,B,1,Fibric,2.15277778
131,LGI2,B,2,Fibric,1.20666667
132,LGI2,B,3,Fibric,1.29409091
133,MDI4,A,1,Fibric,0.83666667
134,MDI4,A,2,Fibric,2.28125
135,MDI4,A,3,Fibric,0.7375
136,MDI4,B,1,Fibric,1.287
137,MDI4,B,2,Fibric,1.08214286
138,MDI4,B,3,Fibric,1.76190476
139,MDI5,A,1,Fibric,0.36875
140,MDI5,A,2,Fibric,0.39722222
141,MDI5,A,3,Fibric,0.685
142,MDI5,B,1,Fibric,0.96428571
143,MDI5,B,2,Fibric,1.20714286
144,MDI5,B,3,Fibric,1.83458333
145,MDM1,A,1,Fibric,1.04791667
146,MDM1,A,2,Fibric,0.90816327
147,MDM1,A,3,Fibric,1.00591071
148,MDM1,B,1,Fibric,0.53333333
149,MDM1,B,2,Fibric,1.64285714
150,MDM1,B,3,Fibric,0.77678571
151,UP4D,A,1,Fibric,0.63434343
152,UP4D,A,2,Fibric,0.88359789
153,UP4D,A,3,Fibric,0.40833333
154,UP4D,B,1,Fibric,0.41111111
155,UP4D,B,2,Fibric,0.39027778
156,UP4D,B,3,Fibric,0.47222222
157,WCM2,A,1,Fibric,0.4640625
158,WCM2,A,2,Fibric,0.43928571
159,WCM2,A,3,Fibric,1.0952381
160,WCM2,B,1,Fibric,0.534375
161,WCM2,B,2,Fibric,1.29642857
162,WCM2,B,3,Fibric,0.90873016
163,WCM3,A,1,Fibric,4.26840278
164,WCM3,A,2,Fibric,5.6168
165,WCM3,A,3,Fibric,4.69523809
166,WCM3,B,1,Fibric,9.35
167,WCM3,B,2,Fibric,12.50656463
168,WCM3,B,3,Fibric,1.96944444
169,BCEFM2,A,1,Mesic,4.83333333
170,BCEFM2,A,2,Mesic,8.06369048
171,BCEFM2,A,3,Mesic,2.92722222
172,BCEFM2,B,1,Mesic,7.89
173,BCEFM2,B,2,Mesic,5.57559524
174,BCEFM2,B,3,Mesic,7.23
175,BDM1,A,1,Mesic,7.19444444
176,BDM1,A,2,Mesic,6.38888889
177,BDM1,A,3,Mesic,11.82222222
178,BDM1,B,1,Mesic,1.70964912
179,BDM1,B,2,Mesic,6.44736842
180,BDM1,B,3,Mesic,4.17060213
181,BFY10,A,1,Mesic,2.32566667
182,BFY10,A,2,Mesic,5.11575
183,BFY10,A,3,Mesic,4.395
184,BFY10,B,1,Mesic,3.81775
185,BFY10,B,2,Mesic,5.31681818
186,BFY10,B,3,Mesic,4.773
187,BFY7,A,1,Mesic,3.25714286
188,BFY7,A,2,Mesic,8.61142857
189,BFY7,A,3,Mesic,7.035
190,BFY7,B,1,Mesic,3.4691358
191,BFY7,B,2,Mesic,2.7
192,BFY7,B,3,Mesic,2.325
193,BFY8,A,1,Mesic,2.83469388
194,BFY8,A,2,Mesic,2.16833333
195,BFY8,A,3,Mesic,1.67592593
196,BFY8,B,1,Mesic,3.31666667
197,BFY8,B,2,Mesic,5.10833333
198,BFY8,B,3,Mesic,4.68888889
199,BFY9,A,1,Mesic,4.30277778
200,BFY9,A,2,Mesic,2.94761905
201,BFY9,A,3,Mesic,4.05
202,BFY9,B,1,Mesic,3.00857143
203,BFY9,B,2,Mesic,2.39047619
204,BFY9,B,3,Mesic,4.14375
205,DCY14,A,1,Mesic,7.07333333
206,DCY14,A,2,Mesic,11.42314815
207,DCY14,A,3,Mesic,5.12244898
208,DCY14,B,1,Mesic,5.43923611
209,DCY14,B,2,Mesic,4.794
210,DCY14,B,3,Mesic,19.31111111
211,DCY2,A,1,Mesic,3.78730159
212,DCY2,A,2,Mesic,1.91166667
213,DCY2,A,3,Mesic,2.055
214,DCY2,B,1,Mesic,0
215,DCY2,B,2,Mesic,1.23425926
216,DCY2,B,3,Mesic,2.742
217,DCY3,A,1,Mesic,12.89333333
218,DCY3,A,2,Mesic,1.89571429
219,DCY3,A,3,Mesic,14.14222222
220,DCY3,B,1,Mesic,0
221,DCY3,B,2,Mesic,0
222,DCY3,B,3,Mesic,0
223,DCY4,A,1,Mesic,3.5531746
224,DCY4,A,2,Mesic,5.8
225,DCY4,A,3,Mesic,4.56836735
226,DCY4,B,1,Mesic,5.69074074
227,DCY4,B,2,Mesic,4.47384259
228,DCY4,B,3,Mesic,2.90534979
229,DCY9,A,1,Mesic,0
230,DCY9,A,2,Mesic,10.24666667
231,DCY9,A,3,Mesic,13.74236111
232,DCY9,B,1,Mesic,0
233,DCY9,B,2,Mesic,1.54074074
234,DCY9,B,3,Mesic,0
235,DDM2,A,1,Mesic,1.7
236,DDM2,A,2,Mesic,0.148
237,DDM2,A,3,Mesic,4.6515625
238,DDM2,B,3,Mesic,4.27625
239,DDM2,B,2,Mesic,1.52875
240,DDM2,B,1,Mesic,1.28175
241,GRI1,A,1,Mesic,12.21428571
242,GRI1,A,2,Mesic,5.08928571
243,GRI1,A,3,Mesic,9.14761905
244,GRI1,B,1,Mesic,4.67428571
245,GRI1,B,2,Mesic,8.11458333
246,GRI1,B,3,Mesic,8
247,GRM3,A,1,Mesic,18.71111111
248,GRM3,A,2,Mesic,21.84464286
249,GRM3,A,3,Mesic,12.775
250,GRM3,B,1,Mesic,22.6375
251,GRM3,B,2,Mesic,26.37306122
252,GRM3,B,3,Mesic,6.62142857
253,GRM4,A,1,Mesic,9.49768519
254,GRM4,A,2,Mesic,8.275
255,GRM4,A,3,Mesic,9.76428571
256,GRM4,B,1,Mesic,14.25714286
257,GRM4,B,2,Mesic,15.4375
