Site,Crew,Core_number,Bag_number,Top_depth,Bottom_depth,Notes,Date,Creation_timestamp,Device::Device_name
BF61,sf ko,1,4,35,45,,04/30/2015,04/30/2015 13:21:20,Shalane's iPad
BF61,sf ko,2,1,0,5,,04/30/2015,04/30/2015 13:37:50,Shalane's iPad
BF61,sf ko,2,2,5,11,,04/30/2015,04/30/2015 13:38:04,Shalane's iPad
BF61,sf ko,2,3,11,43,,04/30/2015,04/30/2015 13:38:25,Shalane's iPad
BF61,sf ko,2,4,43,52,,04/30/2015,04/30/2015 13:38:50,Shalane's iPad
BF61,sf ko,2,5,52,57,,04/30/2015,04/30/2015 13:39:02,Shalane's iPad
BF61,sf ko,3,1,0,15,,04/30/2015,04/30/2015 14:14:39,Shalane's iPad
BF61,sf ko,3,2,15,34,,04/30/2015,04/30/2015 14:15:02,Shalane's iPad
BF61,sf ko,3,3,34,37,,04/30/2015,04/30/2015 14:15:35,Shalane's iPad
BF61,sf ko,3,4,37,49,"unfrozen, gooey and compressed",04/30/2015,04/30/2015 14:15:50,Shalane's iPad
BF61,sf ko,4,1,0,14,,04/30/2015,04/30/2015 14:50:59,Shalane's iPad
BF61,sf ko,4,2,14,20,rocks,04/30/2015,04/30/2015 14:51:05,Shalane's iPad
BF61,sf ko,4,3,20,41,,04/30/2015,04/30/2015 14:51:24,Shalane's iPad
BF84,"sf, qd",1,1,0,4,moss layer,04/07/2015,04/07/2015 13:33:34,Shalane's iPad
BF84,"sf, qd",1,2,4,16,,04/07/2015,04/07/2015 13:34:09,Shalane's iPad
BF84,"sf, qd",1,3,16,33,,04/07/2015,04/07/2015 13:34:16,Shalane's iPad
BF84,"sf, qd",1,4,33,66,,04/07/2015,04/07/2015 13:34:22,Shalane's iPad
BF84,"sf, qd",2,1,0,5,,04/07/2015,04/07/2015 14:32:08,Shalane's iPad
BF84,"sf, qd",2,2,5,24,,04/07/2015,04/07/2015 14:32:30,Shalane's iPad
BF84,"sf, qd",2,3,24,29,,04/07/2015,04/07/2015 14:32:35,Shalane's iPad
BF84,"sf, qd",2,4,29,38,,04/07/2015,04/07/2015 14:32:55,Shalane's iPad
BF84,"sf, qd",2,5,38,49,,04/07/2015,04/07/2015 14:33:01,Shalane's iPad
BF84,"sf, qd",2,6,49,76,,04/07/2015,04/07/2015 14:33:09,Shalane's iPad
BF84,"sf, qd",3,1,0,27,,04/07/2015,04/07/2015 15:17:03,Shalane's iPad
BF84,"sf, qd",3,2,27,39,,04/07/2015,04/07/2015 15:17:17,Shalane's iPad
BF84,"sf, qd",3,3,39,51,,04/07/2015,04/07/2015 15:17:25,Shalane's iPad
Dalton,"sf, qd",1,1,0,11,,04/14/2015,04/14/2015 17:50:43,Shalane's iPad
Dalton,"sf, qd",1,2,11,21,,04/14/2015,04/14/2015 17:52:45,Shalane's iPad
Dalton,"sf, qd",1,3,21,39,,04/14/2015,04/14/2015 17:52:51,Shalane's iPad
Dalton,"sf, qd",1,4,39,41,start of crumbly mineral transition pieces,04/14/2015,04/14/2015 17:53:05,Shalane's iPad
Dalton,"sf, qd",1,5,41,45,,04/14/2015,04/14/2015 17:53:38,Shalane's iPad
