Site,Crew,Core_number,Bag_number,Top_depth,Bottom_depth,Notes,Date,Creation_timestamp,Device::Device_name
Nenana Ridge Bottom,jh ko,3,5,69,90,,04/13/2015,04/13/2015 15:09:51,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,6,90,109,,04/13/2015,04/13/2015 15:10:09,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,7,109,119,,04/13/2015,04/13/2015 15:10:24,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,8,119,160,,04/13/2015,04/13/2015 15:10:43,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,9,160,178,,04/13/2015,04/13/2015 15:10:56,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,10,178,214,,04/13/2015,04/13/2015 15:11:14,Jamie's iPad 
Nenana Ridge Bottom,jh ko,3,11,214,237,,04/13/2015,04/13/2015 15:11:28,Jamie's iPad 
SL1B,"jh, ko, sf, tp",1,1,0,16,,05/07/2015,05/07/2015 11:51:41,Shalane's iPad
SL1B,"jh, ko, sf, tp",1,2,16,63,buried organic at end,05/07/2015,05/07/2015 11:52:19,Shalane's iPad
SL1B,"jh, ko, sf, tp",1,3,63,88,buried organic at top. in ziplock,05/07/2015,05/07/2015 11:52:43,Shalane's iPad
SL1B,"jh, ko, sf, tp",2,1,0,9,ice in ziplock. measured from top of oce,05/07/2015,05/07/2015 12:04:47,Shalane's iPad
SL1B,"jh, ko, sf, tp",2,2,9,32,,05/07/2015,05/07/2015 12:05:14,Shalane's iPad
SL1B,"jh, ko, sf, tp",2,3,32,56,,05/07/2015,05/07/2015 12:05:40,Shalane's iPad
SL1B,"jh, ko, sf, tp",2,4,56,83,,05/07/2015,05/07/2015 12:05:52,Shalane's iPad
SL1B,"jh, ko, sf, tp",3,1,0,74,all one pice. no organic. maybe collected on a frost boil.,05/07/2015,05/07/2015 12:15:17,Shalane's iPad
Tatalina River 1,jh qd,1,1,0,36,,04/22/2015,04/22/2015 13:23:36,Jamie's iPad 
Tatalina River 1,jh qd,1,2,36,74,,04/22/2015,04/22/2015 13:24:35,Jamie's iPad 
Tatalina River 1,jh qd,1,3,74,95,,04/22/2015,04/22/2015 13:24:56,Jamie's iPad 
Tatalina River 1,jh qd,1,4,95,117,,04/22/2015,04/22/2015 13:25:17,Jamie's iPad 
Tatalina River 1,jh qd,2,1,0,29,,04/22/2015,04/22/2015 13:46:43,Jamie's iPad 
Tatalina River 1,jh qd,2,2,29,58,,04/22/2015,04/22/2015 13:47:45,Jamie's iPad 
Tatalina River 1,jh qd,2,3,58,80,,04/22/2015,04/22/2015 13:48:03,Jamie's iPad 
Tatalina River 1,jh qd,2,4,80,104,,04/22/2015,04/22/2015 13:48:28,Jamie's iPad 
Tatalina River 1,jh qd,3,1,0,13,,04/22/2015,04/22/2015 14:16:48,Jamie's iPad 
Tatalina River 1,jh qd,3,2,13,56,,04/22/2015,04/22/2015 14:17:18,Jamie's iPad 
Tatalina River 1,jh qd,3,3,56,81,,04/22/2015,04/22/2015 14:17:50,Jamie's iPad 
Tatalina River 1,jh qd,3,4,81,93,,04/22/2015,04/22/2015 14:18:21,Jamie's iPad 
Tatalina River 1,jh qd,3,5,93,124,start of mineral,04/22/2015,04/22/2015 14:18:52,Jamie's iPad 
Tatalina River 1,jh qd,3,6,124,167,,04/22/2015,04/22/2015 14:19:32,Jamie's iPad 
Tatalina River 1,jh qd,4,1,0,60,,04/22/2015,04/22/2015 14:43:11,Jamie's iPad 
Tatalina River 1,jh qd,4,2,60,71,,04/22/2015,04/22/2015 14:43:39,Jamie's iPad 
Tatalina River 1,jh qd,4,3,71,90,,04/22/2015,04/22/2015 14:43:51,Jamie's iPad 
Tatalina River 1,jh qd,4,4,90,120,,04/22/2015,04/22/2015 14:44:04,Jamie's iPad 
Tatalina River 1,jh qd,4,5,120,149,,04/22/2015,04/22/2015 14:44:18,Jamie's iPad 
Tatalina River 2,"sf, ko",1,1,0,8,just lichen,04/22/2015,04/22/2015 13:32:59,Shalane's iPad
Tatalina River 2,"sf, ko",1,2,8,16,,04/22/2015,04/22/2015 13:35:51,Shalane's iPad
Tatalina River 2,"sf, ko",1,3,16,45,,04/22/2015,04/22/2015 13:35:57,Shalane's iPad
Tatalina River 2,"sf, ko",1,4,45,55,,04/22/2015,04/22/2015 13:36:03,Shalane's iPad
Tatalina River 2,"sf, ko",1,5,55,83,mineral trasition,04/22/2015,04/22/2015 13:36:11,Shalane's iPad
Tatalina River 2,"sf, ko",1,6,83,121,,04/22/2015,04/22/2015 15:39:23,Shalane's iPad
Tatalina River 2,"sf, ko",1,7,121,143,,04/22/2015,04/22/2015 15:39:47,Shalane's iPad
Tatalina River 2,"sf, ko",2,1,0,14,,04/22/2015,04/22/2015 14:12:48,Shalane's iPad
Tatalina River 2,"sf, ko",2,2,14,35,,04/22/2015,04/22/2015 14:12:56,Shalane's iPad
Tatalina River 2,"sf, ko",2,3,35,77,,04/22/2015,04/22/2015 14:13:18,Shalane's iPad
Tatalina River 2,"sf, ko",2,4,77,102,no mineral yet,04/22/2015,04/22/2015 14:13:36,Shalane's iPad
Tatalina River 2,"sf, ko",2,5,102,148,mineral. broke on transition. lots of ice.,04/22/2015,04/22/2015 14:32:06,Shalane's iPad
Tatalina River 2,"sf, ko",3,1,0,6,,04/22/2015,04/22/2015 15:08:00,Shalane's iPad
Tatalina River 2,"sf, ko",3,2,6,27,,04/22/2015,04/22/2015 15:13:15,Shalane's iPad
Tatalina River 2,"sf, ko",3,3,27,56,,04/22/2015,04/22/2015 15:13:28,Shalane's iPad
Tatalina River 2,"sf, ko",3,4,56,75,,04/22/2015,04/22/2015 15:13:34,Shalane's iPad
Tatalina River 2,"sf, ko",3,5,75,117,,04/22/2015,04/22/2015 15:13:41,Shalane's iPad
Tatalina River 2,"sf, ko",3,6,117,129,,04/22/2015,04/22/2015 15:13:54,Shalane's iPad
Tatalina River 2,"sf, ko",3,7,129,144,mineral transition,04/22/2015,04/22/2015 15:14:01,Shalane's iPad
Tatalina River 2,"sf, ko",3,8,144,160,,04/22/2015,04/22/2015 15:14:08,Shalane's iPad
TKN0015,"sf, qd",1,1,0,8,,04/06/2015,04/06/2015 10:36:44,Shalane's iPad
TKN0015,"sf, qd",1,2,8,16,"got crumbly into chucks. all here. got accurate length
",04/06/2015,04/06/2015 10:50:26,Shalane's iPad
TKN0015,"sf, qd",1,3,16,28,,04/06/2015,04/06/2015 10:51:18,Shalane's iPad
TKN0015,"sf, qd",1,4,28,46,,04/06/2015,04/06/2015 10:51:47,Shalane's iPad
TKN0015,"sf, qd",2,1,0,7,,04/06/2015,04/06/2015 11:03:11,Shalane's iPad
TKN0015,"sf, qd",2,2,7,24,,04/06/2015,04/06/2015 11:03:23,Shalane's iPad
TKN0015,"sf, qd",2,3,24,34,,04/06/2015,04/06/2015 11:03:33,Shalane's iPad
TKN0015,"sf, qd",2,4,34,65,"ice lense in this piece
",04/06/2015,04/06/2015 11:03:40,Shalane's iPad
TKN0015,"sf, qd",3,1,0,28,see photo. shallow moss layer. drilled through water pool.,04/06/2015,04/06/2015 11:37:48,Shalane's iPad
TKN0015,"sf, qd",3,2,28,38,went back into hole looks like off from first. length is correct but may not be able to calculate volume without breaking,04/06/2015,04/06/2015 11:38:08,Shalane's iPad
TKN0015,"sf, qd",3,3,38,54,,04/06/2015,04/06/2015 11:38:16,Shalane's iPad
TKN0040,jh ko,1,1,0,41,,04/10/2015,04/10/2015 10:30:57,Jamie's iPad 
TKN0040,jh ko,1,2,41,60,,04/10/2015,04/10/2015 10:35:31,Jamie's iPad 
TKN0040,jh ko,1,3,60,91,,04/10/2015,04/10/2015 10:36:14,Jamie's iPad 
TKN0040,jh ko,1,4,91,111,,04/10/2015,04/10/2015 10:38:17,Jamie's iPad 
TKN0040,jh ko,1,5,111,122,,04/10/2015,04/10/2015 10:46:26,Jamie's iPad 
TKN0040,jh ko,1,6,122,151,all ice,04/10/2015,04/10/2015 10:51:17,Jamie's iPad 
TKN0040,jh ko,1,7,151,163,ice,04/10/2015,04/10/2015 10:56:21,Jamie's iPad 
TKN0040,jh ko,1,8,163,188,ice,04/10/2015,04/10/2015 10:57:00,Jamie's iPad 
TKN0040,jh ko,2,1,0,6,,04/10/2015,04/10/2015 11:23:16,Jamie's iPad 
TKN0040,jh ko,2,2,6,37,,04/10/2015,04/10/2015 11:28:59,Jamie's iPad 
TKN0040,jh ko,2,3,37,59,,04/10/2015,04/10/2015 11:32:58,Jamie's iPad 
TKN0040,jh ko,2,4,59,70,,04/10/2015,04/10/2015 11:33:47,Jamie's iPad 
TKN0040,jh ko,2,5,70,133,,04/10/2015,04/10/2015 11:34:40,Jamie's iPad 
TKN0040,jh ko,2,6,133,144,mineral,04/10/2015,04/10/2015 11:34:56,Jamie's iPad 
TKN0040,jh ko,2,7,144,165,,04/10/2015,04/10/2015 11:43:13,Jamie's iPad 
TKN0040,jh ko,3,1,0,11,,04/10/2015,04/10/2015 12:33:12,Jamie's iPad 
TKN0040,jh ko,3,2,11,42,,04/10/2015,04/10/2015 12:33:23,Jamie's iPad 
TKN0040,jh ko,3,3,42,67,,04/10/2015,04/10/2015 12:33:38,Jamie's iPad 
TKN0040,jh ko,3,4,67,110,,04/10/2015,04/10/2015 12:33:53,Jamie's iPad 
TKN0040,jh ko,3,5,110,120,,04/10/2015,04/10/2015 12:34:08,Jamie's iPad 
TKN0040,jh ko,3,6,120,126,,04/10/2015,04/10/2015 12:34:20,Jamie's iPad 
TKN0040,jh ko,3,7,126,154,,04/10/2015,04/10/2015 12:34:33,Jamie's iPad 
TKN0040,jh ko,3,8,154,183,,04/10/2015,04/10/2015 12:34:46,Jamie's iPad 
TKN0040,jh ko,3,9,183,210,,04/10/2015,04/10/2015 12:35:00,Jamie's iPad 
TKN0040,"sf, ko",4,1,0,17,including moss layer,04/27/2015,04/27/2015 10:51:23,Shalane's iPad
TKN0040,"sf, ko",4,2,17,37,,04/27/2015,04/27/2015 12:16:26,Shalane's iPad
TKN0040,"sf, ko",4,3,37,52,,04/27/2015,04/27/2015 12:16:31,Shalane's iPad
TKN0040,"sf, ko",4,4,52,73,,04/27/2015,04/27/2015 12:16:39,Shalane's iPad
TKN0040,"sf, ko",4,5,73,93,,04/27/2015,04/27/2015 12:16:45,Shalane's iPad
TKN0040,"sf, ko",4,6,93,140,,04/27/2015,04/27/2015 12:17:03,Shalane's iPad
TKN0040,"sf, ko",4,7,140,156,,04/27/2015,04/27/2015 12:17:23,Shalane's iPad
TKN0040,"sf, ko",4,8,156,172,,04/27/2015,04/27/2015 12:17:31,Shalane's iPad
TKN0040,"sf, ko",4,9,172,191,,04/27/2015,04/27/2015 12:17:40,Shalane's iPad
TKN0040,"sf, ko",4,10,191,230,,04/27/2015,04/27/2015 12:17:48,Shalane's iPad
TKN0040,"sf, ko",4,11,230,250,,04/27/2015,04/27/2015 12:30:06,Shalane's iPad
TKN0040,"sf, ko",4,12,250,286,,04/27/2015,04/27/2015 12:30:13,Shalane's iPad
TKN0040,"sf, ko",4,13,286,301,,04/27/2015,04/27/2015 12:30:23,Shalane's iPad
TKN0040,"sf, ko",4,14,301,316,,04/27/2015,04/27/2015 12:30:49,Shalane's iPad
TKN0040,"sf, ko",4,15,316,327,,04/27/2015,04/27/2015 12:30:57,Shalane's iPad
TKN0040,"sf, ko",4,16,327,340,,04/27/2015,04/27/2015 12:31:07,Shalane's iPad
TKN0040,"sf, ko",4,17,340,363,still no mineral! doesnt look like its changing. smells like horse poop.,04/27/2015,04/27/2015 12:31:19,Shalane's iPad
TKN0118,"sf, jh, ko",1,99,99,99,did not chunk. see photo notes,05/01/2015,05/01/2015 13:08:11,Shalane's iPad
TKN0118,"sf, jh, ko",2,1,0,10,,05/01/2015,05/01/2015 13:30:10,Shalane's iPad
TKN0118,"sf, jh, ko",2,2,10,30,,05/01/2015,05/01/2015 13:32:26,Shalane's iPad
TKN0118,"sf, jh, ko",2,3,30,41,,05/01/2015,05/01/2015 13:32:44,Shalane's iPad
TKN0118,"sf, jh, ko",2,4,41,48,,05/01/2015,05/01/2015 13:33:01,Shalane's iPad
TKN0118,"sf, jh, ko",2,5,48,54,,05/01/2015,05/01/2015 13:33:19,Shalane's iPad
TKN0118,"sf, jh, ko",2,6,54,67,,05/01/2015,05/01/2015 13:33:42,Shalane's iPad
TKN0118,"sf, jh, ko",2,7,67,89,,05/01/2015,05/01/2015 13:34:01,Shalane's iPad
TKN0118,"sf, jh, ko",3,1,0,19,not in with core tube,05/01/2015,05/01/2015 13:41:31,Shalane's iPad
TKN0118,"sf, jh, ko",3,2,19,38,,05/01/2015,05/01/2015 13:41:18,Shalane's iPad
TKN0118,"sf, jh, ko",3,3,38,90,,05/01/2015,05/01/2015 13:41:04,Shalane's iPad
TKN0118,"sf, jh, ko",3,4,90,162,,05/01/2015,05/01/2015 13:40:30,Shalane's iPad
TKN0119,"sf, jh, ko",1,1,0,4,,05/01/2015,05/01/2015 16:36:59,Shalane's iPad
TKN0119,"sf, jh, ko",1,2,4,32,,05/01/2015,05/01/2015 16:37:28,Shalane's iPad
TKN0119,"sf, jh, ko",1,3,32,54,,05/01/2015,05/01/2015 16:37:49,Shalane's iPad
TKN0119,"sf, jh, ko",1,4,54,102,,05/01/2015,05/01/2015 16:38:04,Shalane's iPad
TKN0119,"sf, jh, ko",2,1,0,7,,05/01/2015,05/01/2015 16:41:13,Shalane's iPad
TKN0119,"sf, jh, ko",2,2,7,17,,05/01/2015,05/01/2015 16:41:40,Shalane's iPad
TKN0119,"sf, jh, ko",2,3,17,51,,05/01/2015,05/01/2015 16:41:52,Shalane's iPad
TKN0119,"sf, jh, ko",2,4,51,92,,05/01/2015,05/01/2015 16:42:08,Shalane's iPad
TKN0119,"sf, jh, ko",3,1,0,5,,05/01/2015,05/01/2015 17:21:39,Shalane's iPad
TKN0119,"sf, jh, ko",3,2,5,32,,05/01/2015,05/01/2015 17:22:32,Shalane's iPad
TKN0119,"sf, jh, ko",4,1,0,5,,05/01/2015,05/01/2015 17:29:48,Shalane's iPad
TKN0119,"sf, jh, ko",4,2,5,20,,05/01/2015,05/01/2015 17:30:11,Shalane's iPad
TKN0119,"sf, jh, ko",4,3,20,42,,05/01/2015,05/01/2015 17:30:25,Shalane's iPad
TKN0119,"sf, jh, ko",4,4,42,53,,05/01/2015,05/01/2015 17:30:36,Shalane's iPad
TKN0120,"sf, jh, ko",1,1,0,3,,05/01/2015,05/01/2015 15:32:45,Shalane's iPad
TKN0120,"sf, jh, ko",1,2,3,26,,05/01/2015,05/01/2015 15:33:34,Shalane's iPad
TKN0120,"sf, jh, ko",1,3,26,64,charcoal layer,05/01/2015,05/01/2015 15:33:58,Shalane's iPad
TKN0120,"sf, jh, ko",1,4,64,90,in ziplock. rock at 94.,05/01/2015,05/01/2015 15:50:16,Shalane's iPad
TKN0120,"sf, jh, ko",2,1,0,8,,05/01/2015,05/01/2015 15:35:33,Shalane's iPad
TKN0120,"sf, jh, ko",2,2,8,22,,05/01/2015,05/01/2015 15:36:01,Shalane's iPad
TKN0120,"sf, jh, ko",2,3,22,41,,05/01/2015,05/01/2015 15:36:17,Shalane's iPad
TKN0120,"sf, jh, ko",2,4,41,51,,05/01/2015,05/01/2015 15:36:25,Shalane's iPad
TKN0120,"sf, jh, ko",2,5,41,68,,05/01/2015,05/01/2015 15:39:29,Shalane's iPad
TKN0120,"sf, jh, ko",3,1,0,7,,05/01/2015,05/01/2015 15:38:40,Shalane's iPad
TKN0120,"sf, jh, ko",3,2,7,34,,05/01/2015,05/01/2015 15:38:47,Shalane's iPad
TKN0120,"sf, jh, ko",3,3,34,38,,05/01/2015,05/01/2015 15:38:57,Shalane's iPad
TKN0120,"sf, jh, ko",3,4,38,41,,05/01/2015,05/01/2015 15:39:17,Shalane's iPad
TKN0120,"sf, jh, ko",4,1,0,8,,05/01/2015,05/01/2015 15:53:43,Shalane's iPad
TKN0120,"sf, jh, ko",4,2,8,16,,05/01/2015,05/01/2015 15:54:31,Shalane's iPad
TKN0120,"sf, jh, ko",4,3,16,34,,05/01/2015,05/01/2015 15:54:45,Shalane's iPad
TKN0120,"sf, jh, ko",4,4,34,78,,05/01/2015,05/01/2015 15:55:06,Shalane's iPad
TKN0120,"sf, jh, ko",4,5,78,95,,05/01/2015,05/01/2015 15:55:17,Shalane's iPad
TKN0120,"sf, jh, ko",4,6,95,123,,05/01/2015,05/01/2015 15:55:33,Shalane's iPad
TKN0131,"s.f,q.d,j.h",1,1,0,11,,04/03/2015,04/03/2015 12:47:43,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",1,2,11,19,,04/03/2015,04/03/2015 12:48:00,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",1,3,19,36,,04/03/2015,04/03/2015 12:49:23,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",1,4,36,49,ice,04/03/2015,04/03/2015 12:49:43,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",1,5,49,61,,04/03/2015,04/03/2015 12:50:00,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",1,6,61,75,,04/03/2015,04/03/2015 12:50:11,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,1,0,24,,04/03/2015,04/03/2015 13:35:11,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,2,24,30,,04/03/2015,04/03/2015 13:36:50,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,3,30,36,,04/03/2015,04/03/2015 13:37:05,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,4,36,48,,04/03/2015,04/03/2015 13:37:14,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,5,48,60,,04/03/2015,04/03/2015 13:37:24,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,6,60,67,,04/03/2015,04/03/2015 13:37:36,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,7,67,79,this bag has start of mineral organic ends at 75.,04/03/2015,04/03/2015 13:37:47,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",2,8,79,91,,04/03/2015,04/03/2015 13:38:05,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",3,1,0,11,,04/03/2015,04/03/2015 14:05:13,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",3,2,11,23,,04/03/2015,04/03/2015 14:05:27,KONESS (Shalane's Desktop)
TKN0131,"s.f,q.d,j.h",3,3,23,51,,04/03/2015,04/03/2015 14:05:36,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",1,1,0,28,,04/03/2015,04/03/2015 10:46:56,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",1,2,28,56,,04/03/2015,04/03/2015 10:49:14,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",1,3,56,69,,04/03/2015,04/03/2015 10:49:33,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",1,4,69,85,,04/03/2015,04/03/2015 10:49:43,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",2,1,0,22,,04/03/2015,04/03/2015 10:55:15,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",2,2,22,40,,04/03/2015,04/03/2015 11:10:20,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",2,3,40,55,,04/03/2015,04/03/2015 11:10:30,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",2,4,55,78,,04/03/2015,04/03/2015 11:10:39,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",3,1,0,13,,04/03/2015,04/03/2015 11:22:49,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",3,2,13,29,,04/03/2015,04/03/2015 11:23:16,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",3,3,29,36,,04/03/2015,04/03/2015 11:23:29,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",3,4,36,56,,04/03/2015,04/03/2015 11:23:49,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",3,5,56,71,,04/03/2015,04/03/2015 11:26:18,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",4,1,0,9,,04/03/2015,04/03/2015 12:04:48,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",4,2,9,26,,04/03/2015,04/03/2015 12:05:32,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",4,3,26,42,,04/03/2015,04/03/2015 12:05:58,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",4,4,42,51,,04/03/2015,04/03/2015 12:06:07,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",4,5,51,63,,04/03/2015,04/03/2015 12:06:19,KONESS (Shalane's Desktop)
TKN0131L,"s.f,q.d,j.h",4,6,63,79,,04/03/2015,04/03/2015 12:06:36,KONESS (Shalane's Desktop)
TKN0137,"sf, qd",1,1,0,20,visable plant parts,04/13/2015,04/13/2015 12:24:30,Shalane's iPad
TKN0137,"sf, qd",1,2,20,45,mineral transition,04/13/2015,04/13/2015 12:26:24,Shalane's iPad
TKN0137,"sf, qd",1,3,45,62,,04/13/2015,04/13/2015 12:26:37,Shalane's iPad
TKN0137,"sf, qd",2,1,0,12,,04/13/2015,04/13/2015 13:05:33,Shalane's iPad
TKN0137,"sf, qd",2,2,12,26,,04/13/2015,04/13/2015 13:05:45,Shalane's iPad
TKN0137,"sf, qd",2,3,26,37,,04/13/2015,04/13/2015 13:05:51,Shalane's iPad
TKN0137,"sf, qd",2,4,37,40,,04/13/2015,04/13/2015 13:06:02,Shalane's iPad
TKN0137,"sf, qd",2,5,40,53,start of ice lenses,04/13/2015,04/13/2015 13:06:09,Shalane's iPad
TKN0137,"sf, qd",2,6,53,65,,04/13/2015,04/13/2015 13:06:19,Shalane's iPad
TKN0137,"sf, qd",2,7,65,76,,04/13/2015,04/13/2015 13:06:27,Shalane's iPad
TKN0137,"sf, qd",3,1,0,8,moss layer only,04/13/2015,04/13/2015 13:40:04,Shalane's iPad
TKN0137,"sf, qd",3,2,8,31,"sphagnum, parts visiable",04/13/2015,04/13/2015 13:40:25,Shalane's iPad
TKN0137,"sf, qd",3,3,31,45,,04/13/2015,04/13/2015 13:40:46,Shalane's iPad
TKN0137,"sf, qd",3,4,45,64,,04/13/2015,04/13/2015 13:40:54,Shalane's iPad
TKN0137,"sf, qd",4,1,0,11,"moss layer and chinks
",04/13/2015,04/13/2015 14:48:09,Shalane's iPad
TKN0137,"sf, qd",4,2,11,34,mineral transition,04/13/2015,04/13/2015 14:48:47,Shalane's iPad
TKN0137,"sf, qd",4,3,34,59,,04/13/2015,04/13/2015 14:48:53,Shalane's iPad
TKN0139,"sf, qd",1,1,0,11,,04/06/2015,04/06/2015 13:48:11,Shalane's iPad
TKN0139,"sf, qd",1,2,11,20,,04/06/2015,04/06/2015 13:51:15,Shalane's iPad
TKN0139,"sf, qd",1,3,20,39,crumbly but all there,04/06/2015,04/06/2015 13:51:29,Shalane's iPad
TKN0139,"sf, qd",1,4,39,49,,04/06/2015,04/06/2015 13:51:41,Shalane's iPad
TKN0139,"sf, qd",2,1,0,14,"moss is attached

",04/06/2015,04/06/2015 14:16:38,Shalane's iPad
TKN0139,"sf, qd",2,2,14,76,wow. cant tell where mineral strarts,04/06/2015,04/06/2015 14:17:10,Shalane's iPad
TKN0139,"sf, qd",3,1,0,16,,04/06/2015,04/06/2015 14:48:31,Shalane's iPad
TKN0139,"sf, qd",3,2,16,60,,04/06/2015,04/06/2015 14:48:59,Shalane's iPad
TKN0139,"sf, qd",4,1,0,3,"moss layer only
",04/06/2015,04/06/2015 15:11:45,Shalane's iPad
TKN0139,"sf, qd",4,2,3,23,,04/06/2015,04/06/2015 15:12:12,Shalane's iPad
TKN0139,"sf, qd",4,3,23,45,,04/06/2015,04/06/2015 15:12:20,Shalane's iPad
TKN0139,"sf, qd",4,4,45,73,broke on ice lense. more ice lenses tnroughout,04/06/2015,04/06/2015 15:12:27,Shalane's iPad
TKN0148,"sf, qd",1,1,0,11,just moss layer,04/10/2015,04/10/2015 09:49:23,Shalane's iPad
TKN0148,"sf, qd",1,2,11,40,ice lense broke but all pieces present,04/10/2015,04/10/2015 09:56:40,Shalane's iPad
TKN0148,"sf, qd",1,3,40,62,,04/10/2015,04/10/2015 09:56:51,Shalane's iPad
TKN0148,"sf, qd",2,1,0,13,,04/10/2015,04/10/2015 10:47:59,Shalane's iPad
TKN0148,"sf, qd",2,2,13,18,,04/10/2015,04/10/2015 10:48:12,Shalane's iPad
TKN0148,"sf, qd",2,3,18,29,,04/10/2015,04/10/2015 10:48:18,Shalane's iPad
TKN0148,"sf, qd",2,4,29,47,,04/10/2015,04/10/2015 10:48:33,Shalane's iPad
TKN0148,"sf, qd",3,1,0,11,,04/10/2015,04/10/2015 12:12:03,Shalane's iPad
TKN0148,"sf, qd",3,2,11,20,,04/10/2015,04/10/2015 12:12:13,Shalane's iPad
TKN0148,"sf, qd",3,3,20,34,,04/10/2015,04/10/2015 12:12:22,Shalane's iPad
TKN0148,"sf, qd",3,4,34,46,all pieces are present but not quite piced together rught. reduced measurement a liitle,04/10/2015,04/10/2015 12:12:35,Shalane's iPad
UP4C,"sf, qd",1,1,0,20,,04/07/2015,04/07/2015 11:03:39,Shalane's iPad
UP4C,"sf, qd",1,2,20,32,,04/07/2015,04/07/2015 11:05:13,Shalane's iPad
UP4C,"sf, qd",1,3,32,61,"3 of 3
",04/07/2015,04/07/2015 11:05:44,Shalane's iPad
UP4C,"sf, qd",2,1,0,17,,04/07/2015,04/07/2015 11:33:34,Shalane's iPad
UP4C,"sf, qd",2,2,17,36,"mineral and organic
",04/07/2015,04/07/2015 11:33:43,Shalane's iPad
UP4C,"sf, qd",2,3,36,54,buried organic layer?,04/07/2015,04/07/2015 11:33:50,Shalane's iPad
UP4C,"sf, qd",2,4,54,78,wood. buried organic layer,04/07/2015,04/07/2015 11:33:57,Shalane's iPad
UP4C,"sf, qd",3,1,0,7,,04/07/2015,04/07/2015 11:58:36,Shalane's iPad
UP4C,"sf, qd",3,2,7,13,,04/07/2015,04/07/2015 11:58:45,Shalane's iPad
UP4C,"sf, qd",3,3,13,23,,04/07/2015,04/07/2015 11:58:53,Shalane's iPad
UP4C,"sf, qd",3,4,23,41,,04/07/2015,04/07/2015 11:59:00,Shalane's iPad
UP4C,"sf, qd",3,5,41,56,"can see twigs
",04/07/2015,04/07/2015 11:59:09,Shalane's iPad
UP4C,"sf, qd",4,1,0,15,,04/07/2015,04/07/2015 12:26:36,Shalane's iPad
UP4C,"sf, qd",4,2,15,30,,04/07/2015,04/07/2015 12:26:43,Shalane's iPad
UP4C,"sf, qd",4,3,30,43,buried organic,04/07/2015,04/07/2015 12:26:50,Shalane's iPad
UP4C,"ko, sf",5,1,0,3,just moss,04/28/2015,04/28/2015 11:56:58,Shalane's iPad
UP4C,"ko, sf",5,2,3,15,,04/28/2015,04/28/2015 11:57:31,Shalane's iPad
UP4C,"ko, sf",5,3,15,33,,04/28/2015,04/28/2015 11:57:39,Shalane's iPad
UP4C,"ko, sf",5,4,33,42,,04/28/2015,04/28/2015 11:58:11,Shalane's iPad
UP4C,"ko, sf",5,5,42,74,,04/28/2015,04/28/2015 11:58:41,Shalane's iPad
UP4C,"ko, sf",5,6,74,110,,04/28/2015,04/28/2015 11:58:52,Shalane's iPad
UP4C,"ko, sf",6,1,0,3,,04/28/2015,04/28/2015 12:38:51,Shalane's iPad
