SiteCode,AlternateName,FireName,BurnYear,YearSampled,Age,AgeCat,ForestType1,ForestType2,Latitude,Longitude,Aspect,SlopeDegree,ElevationMax,Heatload,GSM,VSM,MoistureClass,OLDepth,pH,TotalVascCover,BareGroundCover,CoarseWoodyDebrisCover,LeaflitterCover,LichenCover,LeafLitterDepth,DecIV,TotalBasalArea,BpBA,Pb_BA,PmBA,PtBA,ShrubBA,TotalBiomass,Bpbiomass,Pb_biomass,Pmbiomass,Ptbiomass,Shrubbiomass,TotalDensity,Bpdensity,Pbdensity,Pmdensity,Ptdensity,Shrubdensity,LocationDescription,SiteType
TR902,TR902,Tok River,1990,2010,20,2,PM,PM,63.28947,-142.76821,F,0,504,-0.6291977,2.598,0.192,6,12.4,5.282,72.8,2.4,11.2,32.8,52.8,0.15,1.818286,7.688,0.04264712,0,6.255853451,0.311017673,1.082435749,852.24,1.66322591,0,768.3373835,23.60894662,54.83013018,11.54,0.08,0,4.24,0.63,6.59,Tok River fire scar located south of Tok Junction. ,Mid-succession Black spruce stand
TR903,TR903,Tok River,1990,2010,20,2,PM_PT,PT,63.31795,-142.78206,F,0,503,-0.6297972,1.362,0.202,6,7.7,6.784,86.4,1.6,1.6,77.6,10.4,0,2.2327947,8.048,0,0.015393804,3.592646819,2.271292949,2.158823932,511.014,0,1.32592319,182.9892321,219.7853794,106.9085111,18.7,0,0.01,5.95,4.7,8.04,Tok River fire scar located south of Tok Junction. ,Mid-succession Trembling aspen stand
WD781,WD781,Wickersham Dome Exp.,1978,2009,31,2,BP,BN,65.17939,-147.87047,140,8.9,493.5324707,-0.5366724,1.33,0.132,6,7.4,5.134,28.8,0,29.6,72.8,0.8,3,2.6587658,20.218,14.06436053,0,1.62483172,0,4.523343642,5180.85,4508.605277,0,208.2064148,0,464.039878,2.6,1.79,0,0.54,0,0.27,Part of 1978 experimental fires on top of Wickersham Dome.,Mid-succession Alaska paper birch stand
WD782,WD782,Wickersham Dome Exp.,1978,2009,31,2,PM_BP,PM,65.18035,-147.86725,124,9.2,494.488739,-0.5624387,0.314,0.044,2.595859,5.5,4.598,52,3.2,12.8,64,11.2,0.7,1.7311352,14.126,1.673212247,0,5.228395574,0,7.220455128,2335.52,554.23676,0,1019.447538,0,761.8379196,3.56,0.24,0,2.56,0,0.76,Part of 1978 experimental fires on top of Wickersham Dome.,Mid-succession Black spruce stand
WD783,WD783,Wickersham Dome Exp.,1978,2009,31,2,PT,PT,65.18136,-147.86937,130,8.4,521.5217896,-0.5610073,0.4,0.064,3.278761,3.8,4.818,43.2,0.8,4.8,76,8.8,1,1.9713875,16.52,0,0,1.366749884,12.49529208,2.657708845,4005.45,0,0,219.8785153,3407.54415,378.0219312,1.48,0,0,0.68,0.6,0.2,Part of 1978 experimental fires on top of Wickersham Dome.,Mid-succession Trembling aspen stand
WD784,WD784,Wickersham Dome Exp.,1978,2009,31,2,PM_PT,PT,65.18324,-147.86644,87,11.7,514.8381348,-0.6775928,0.392,0.05,3.201112,4,4.626,16,1.6,13.6,43.2,40,0.6,2.1568587,10.006,0.284706834,0,2.813846,2.265716622,4.644530579,1451.654,90.11520555,0,347.5103617,505.1780118,508.8474259,3.41,0.02,0,1.62,0.93,0.84,Part of 1978 experimental fires on top of Wickersham Dome.,Mid-succession Trembling aspen stand
WD785,WD785,Wickersham Dome Exp.,1978,2009,31,2,PM,PM,65.18272,-147.86831,108,8,520.7828369,-0.6132112,0.258,0.046,2.184215,9.4,4.688,32.8,4.8,12.8,44.8,35.2,0,1.2017953,4.162,0.015707963,0,2.943750856,0,1.199852774,422.312,1.90472,0,304.2115041,0,116.1933112,2.02,0.02,0,1.75,0,0.25,Part of 1978 experimental fires on top of Wickersham Dome.,Mid-succession Black spruce stand
WD786,WD786,Wickersham Dome Exp.,1978,2009,31,2,PM,PM,65.18186,-147.86705,108,9.9,508.5759888,-0.6016803,0.424,0.042,3.45389,6.6,4.71,31.2,1.6,21.6,23.2,44,0,1.1697892,5.724,0.229650423,0,3.499262977,0.018299777,1.974883682,763.856,33.05147795,0,482.1378756,1.146936099,247.5157066,3.13,0.13,0,2.71,0.05,0.24,Part of 1978 experimental fires on top of Wickersham Dome.,Mid-succession Black spruce stand
WD787,WD787,Wickersham Dome Exp.,1978,2009,31,2,PM_BP,BN,65.1826,-147.87028,105,7.3,536.6276856,-0.6259306,0.246,0.028,2.561191,5,3.628,68,0,6.4,67.2,20.8,0.2,2.4551326,6.02,1.311929092,0,1.261035291,0.378483375,3.068000846,993.774,486.8366757,0,190.113511,34.34660829,282.4775433,2.32,0.04,0,0.67,0.77,0.84,Part of 1978 experimental fires on top of Wickersham Dome.,Mid-succession Alaska paper birch stand
WF021,NA,Westfork,2002,2014,12,1,PM_BP,BN,65.04207333,-146.21377,F,0,302,-0.666364,NA,NA,6,11.745,4.634,83.2,12.8,4.8,74.4,29.6,1.21,2.257142,0.186296444,0.11561061,0,0.029373891,0.005654867,0.035657077,7.482646233,4.569545762,0,1.475644811,0.318569552,1.118886107,0.54,0.28,0,0.1,0.02,0.14,Along the Chena Hot Springs Road. ,Early succession Alaska paper birch stand
WF02BS,NA,Westfork,2002,2014,12,1,PM,PM,65.06227,-146.1591733,F,0,319,-0.6667954,NA,NA,4,9.565,4.708,60,26.4,8.8,65.6,28,0.835,2.1668553,11.90663616,0.035342917,0,5.963999494,0.195249983,5.712043764,965.0693872,1.248055798,0,618.8348544,16.50225178,328.4842252,6.14,0.08,0,2.04,0.4,3.62,Along the Chena Hot Springs Road. ,Early succession Black spruce stand
WF02PB,NA,Westfork,2002,2014,12,1,BP,BN,65.05749,-146.187295,135,25,341,-0.3619622,NA,NA,5,12.24,4.224,78.4,26.4,4.8,64,20.8,0.76,2.3702826,3.598380226,0.869592847,0,0.297037585,0.001413717,1.864001169,250.9083284,86.79357483,0,12.83998313,0.056707379,151.2180631,3.18,0.38,0,1.74,0.02,0.77,Along the Chena Hot Springs Road. ,Early succession Alaska paper birch stand
WF711,WF711,Wickersham Dome,1971,2010,37,2,PM,PM,65.18123,-147.97257,203,1,525.6952515,-0.6519401,1.008,0.132,6,7.2,3.972,52,0,3.2,47.2,44.8,1,0.488985,2.132,0,0,1.938205588,0,0.189280957,486.776,0,0,469.1507743,0,17.62555431,0.44,0,0,0.38,0,0.06,Wickersham Dome fire scar located off Elliot Hwy near Wickerhsam Dome. East side of hwy.,Mid-succession Black spruce stand
WF712,WF712,Wickersham Dome,1971,2010,37,2,PT,PT,65.17733,-147.97996,176,11.1,483.2504883,-0.493504,1.46,0.098,6,7,5.274,45.6,0,7.2,92,8.8,1.4,2.6091619,18.358,0.394112798,0,2.322579449,15.33568454,0.302535373,4704.442,105.4593556,0,454.7360781,4110.336186,33.91057989,1.68,0.1,0,0.68,0.82,0.08,Wickersham Dome fire scar located off Elliot Hwy near Wickerhsam Dome. East side of hwy.,Mid-succession Trembling aspen stand
WF713,WF713,Wickersham Dome,1971,2010,37,2,PM_BP,BN,65.16766,-147.95473,235,11.1,403.1384277,-0.5404723,3.628,0.224,6,10.6,4.774,76.8,0.8,10.4,50.4,16,0,1.1889925,5.39,2.25377857,0,2.84785374,0,0.286199091,1111.574,693.5087843,0,403.5564749,0,14.50698023,3.9,0.28,0,3.34,0,0.28,Wickersham Dome fire scar located off Elliot Hwy near Wickerhsam Dome. West side of hwy.,Mid-succession Alaska paper birch stand
