SiteCode,AlternateName,FireName,BurnYear,YearSampled,Age,AgeCat,ForestType1,ForestType2,Latitude,Longitude,Aspect,SlopeDegree,ElevationMax,Heatload,GSM,VSM,MoistureClass,OLDepth,pH,TotalVascCover,BareGroundCover,CoarseWoodyDebrisCover,LeaflitterCover,LichenCover,LeafLitterDepth,DecIV,TotalBasalArea,BpBA,Pb_BA,PmBA,PtBA,ShrubBA,TotalBiomass,Bpbiomass,Pb_biomass,Pmbiomass,Ptbiomass,Shrubbiomass,TotalDensity,Bpdensity,Pbdensity,Pmdensity,Ptdensity,Shrubdensity,LocationDescription,SiteType
DF942,NA,Hajdukovich,1994,2013,19,1,PT,PT,63.80992364,-145.0972164,F,0,456,-0.6401769,NA,NA,2,4.23,5.118,56,33.6,17.6,77.6,12.8,1.9,2.5262246,14.12868464,0.067544242,0,1.513305181,8.436904152,4.110931067,1573.339226,2.247758405,0,84.48364895,1307.398546,179.2092722,7.8,0.2,0,2.86,1.32,3.42,In the Hajdukovich burn East of Delta junction South of the Alaska Highway. ,Early succession Trembling aspen stand
DF943,NA,Hajdukovich,1994,2013,19,1,PM_PT,PT,63.80558818,-145.0837918,F,0,466,-0.6400852,NA,NA,3,9.08,5.268,84.8,3.2,21.6,75.2,20,0.325,2.3652737,10.72602379,1.166159193,0,3.108289919,2.304515291,4.147059383,720.563056,91.48358376,0,198.9413333,229.8545197,200.2836192,6.3,0.38,0,2.16,1.62,2.14,In the Hajdukovich burn East of Delta junction South of the Alaska Highway. ,Early succession Trembling aspen stand
DF944,NA,Hajdukovich,1994,2013,19,1,PM_PT,PT,63.84428273,-145.0469191,F,0,421,-0.6409035,NA,NA,2,7.27,5.306,56.8,11.2,33.6,77.6,17.6,1.54,2.7217035,17.44768932,0.310075195,0,2.533694475,2.499136956,12.10478269,1016.150824,15.79979849,0,155.491889,242.5539295,602.305207,10.52,0.12,0,1.4,1.34,7.66,In the Hajdukovich burn East of Delta junction South of the Alaska Highway. ,Early succession Trembling aspen stand
DON99BSDRY,NA,Donnelly Flats,1999,2014,15,1,PM_PT,PT,63.91862333,-145.7460167,F,0,459,-0.6424762,NA,NA,2,3.875,4.686,80,13.6,13.6,88.8,23.2,1.075,1.6671543,4.100563812,0.21394246,0.036756634,2.736327202,0.515378275,0.591876056,252.9164195,1.546256197,18.35113722,18.35113722,54.38939456,21.35895712,5.92,0.2,0.12,3.94,0.42,1.24,South of Delta Juntion. On Fort Greely military land. Can access with recreational permit.,Early succession Trembling aspen stand
DON99BSWET,NA,Donnelly Flats,1999,2014,15,1,PM,PM,63.84673,-145.7077533,F,0,521,-0.6409552,NA,NA,5,10.025,5.044,63.2,10.4,12.8,64,12.8,0.9,1.4621623,1.678552955,0,0,1.275800777,0.037856191,0.364895987,86.42665954,0,0,82.63955755,3.235501986,0.5516,0.9,0,0,0.52,0.04,0.34,South of Delta Juntion. On Fort Greely military land. Can access with recreational permit.,Early succession Black spruce stand
DON99MIX,NA,Donnelly Flats,1999,2014,15,1,PM_PT,PT,63.92363333,-145.7484833,F,0,457,-0.6425822,NA,NA,2,3.555,4.938,72.8,9.6,15.2,64,36.8,0.495,2.4432615,3.972386831,0,0.040212386,0.690993304,1.204800783,2.036380358,210.2830946,1.017545391,0,31.31816123,108.9287736,69.01861435,6.74,0,0.16,1.9,1.76,2.24,South of Delta Juntion. On Fort Greely military land. Can access with recreational permit.,Early succession Trembling aspen stand
DON99TA,NA,Donnelly Flats,1999,2014,15,1,PT,PT,63.92237333,-145.7764367,F,0,477,-0.6425556,NA,NA,2,5.995,4.838,76,20,31.2,70.4,3.2,1.04,2.2345153,18.52063117,0.002513274,1.688448972,2.793975427,5.042570369,8.993123131,1607.428451,123.2753844,0.124637988,139.3572093,636.6882272,707.9829925,14.22,0.02,0.54,8.72,2.02,2.92,South of Delta Juntion. On Fort Greely military land. Can access with recreational permit.,Early succession Trembling aspen stand
FC05BS,NA,Fish Creek,2005,2014,9,1,PM,PM,65.76125333,-149.3855933,F,0,296,-0.6817713,NA,NA,6,8.105,6.004,81.6,0.8,21.6,69.6,22.4,0.535,2.295534,3.503504128,0.573340659,0,0.766548608,0.008168141,2.15544672,155.7963049,18.88971174,0,21.56040128,0.297577239,115.0486146,53.04,4,0,25.76,0.28,23,Along the Dalton Highway. ,Early succession Black spruce stand
FC05MIX,NA,Fish Creek,2005,2014,9,1,PM_BP,BN,65.74526,-149.36832,270,4,267,-0.6776712,NA,NA,5,8.05,4.406,79.2,3.2,28.8,51.2,20.8,0.295,2.4442457,8.233171868,2.688889153,0,0.73120569,0.06000442,4.753072606,646.8019749,108.1513458,0,22.03427168,4.343098389,512.273259,33.88,6.98,0,15.82,0.28,10.8,Along the Dalton Highway. ,Early succession Alaska paper birch stand
FC05PB,NA,Fish Creek,2005,2014,9,1,BP,PM,65.71405667,-149.2560367,203,2,224,-0.6461768,NA,NA,4,4.195,5.988,84.8,5.6,10.4,63.2,28.8,0.43,2.2008063,5.225725221,0.372278729,0,1.400522005,0.0084823,3.444442186,243.4560705,12.8550702,0,53.03061194,0.316833445,177.253555,60.92,2.16,0,32.36,0.2,26.2,Along the Dalton Highway. ,Early succession Black spruce stand
GC871,GC871,Granite Creek,1987,2008,21,2,PT,PT,63.91704,-145.37099,54,0.5,385,-0.6488305,0.732,0.056,6,3,3.214,8,0.8,8,59.2,14.4,3.6,2.5905838,10.144,0.124721228,0.022698007,1.058716724,7.43638543,1.497204519,2370.206,13.88172786,2.13057794,76.64059938,2135.75681,141.7978172,3.06,0.07,0.01,0.73,1.63,0.62,Granite Creek fire scar south of Delta Junction on Alaska Highway.,Mid-succession Trembling aspen stand
GC873,GC873,Granite Creek,1987,2008,21,2,PT,PT,63.91904,-145.36858,45,0.2,383,-0.645157,0.924,0.12,6,8,5.404,28,2.4,15.2,30.4,51.2,0,2.7182756,3.386,0,0,0.413512133,1.45392908,1.515739916,464.398,0,0,26.86750943,290.1073494,147.4199256,1.32,0,0,0.2,0.52,0.6,Granite Creek fire scar south of Delta Junction on Alaska Highway.,Mid-succession Trembling aspen stand
GC874,GC874,Granite Creek,1987,2008,21,2,PM_PT,PM,63.87335,-145.44106,20,0.7,435.6480408,-0.6570644,0.332,0.05,2.745319,6,4.644,68.8,5.6,9.6,41.6,24.8,0,1.9805311,2.826,0,0,1.203357221,0.634107701,0.987070348,383.554,0,0,159.212045,91.4141394,132.9244424,0.72,0,0,0.23,0.27,0.22,Granite Creek fire scar south of Delta Junction on Alaska Highway.,Mid-succession Black spruce stand
GS661,GS661,Goldstream,1966,2009,43,2,PM_BP,PM,64.80632,-148.47183,38,1.5,144.3678742,-0.6891162,0.826,0.046,6,8.6,4.086,45.6,0,13.6,67.2,17.6,0.9,1.702136,23.388,5.401105415,0,12.99317954,0,4.578085894,5855.676,1973.153548,0,3223.210765,0,573.8225272,2.59,0.18,0,1.82,0,0.55,Goldstream fire scar west of Fairbanks off the Parks Hwy and Goldstream Rd.,Mid-succession Black spruce stand
GS663,GS663,Goldstream,1966,2009,43,2,PM,PM,64.80027,-148.41368,276,2.9,144.0597687,-0.6648554,0.944,0.054,6,15,5.832,60,0,3.2,64.8,2.4,0,1.8685548,26.044,0,0,13.39677209,0,11.38416966,4267.776,0,0,2937.997163,0,1287.169305,6.48,0,0,4.43,0,2.03,Goldstream fire scar west of Fairbanks off the Parks Hwy and Goldstream Rd.,Mid-succession Black spruce stand
HF581,HF581,Healy,1958,2008,50,2,PM_BP,PM,63.91694,-148.93333,149,6,641.9710083,-0.5454294,1.076,0.076,6,7.4,3.926,13.6,0,9.6,48,12,0,1.5341437,27.1,4.06679169,0,15.61622876,4.347650073,0.621721186,7217.818,1483.618065,0,3873.862461,1323.638451,43.84461935,2.68,0.14,0,1.66,0.08,0.42,Healy fire scar in the coal mine near Healy. Required special permission to access. Difficult to get to.,Mid-succession Black spruce stand
MATDEC1,MATDEC1,Mature deciduous 1,NA,2009,84,3,PT,PT,63.88989,-145.862,90,5.1,488.8992,-0.637328,1.112,0.086,6,4.5,5.906,72,0,4.8,91.2,0.8,2.4,2.7750631,30.706,0,0,0.044060837,30.50195869,0,10413.382,0,0,3.977988902,10391.79485,0,0.31,0,0,0.04,0.22,0,Located within Bolio 1981 Fire scar off Meadows Rd in Fort Greely near Delta Junction. Had to gain special permission to access.,Late succession Trembling aspen stand
MATDEC2,MATDEC2,Mature deciduous 2,NA,2009,74,3,BP,BN,65.4035,-148.2295,135,3.7,433.1208,-0.6204856,2.35,0.236,6,7.8,5.566,64,0,8.8,96,0,4.2,2.4,21.386,20.62141418,0,0,0,0.764428032,9462.626,9388.467007,0,0,0,74.15871335,0.24,0.12,0,0,0,0.12,Mature Alaskan birch stand located on Elliot before turn off to Manley Hot Springs. On west side of road.,Late succession Alaska paper birch stand
MATDEC3,MATDEC3,Mature deciduous 3,NA,2009,87,3,BP,BN,64.9015,-148.2752,135,3.7,264.8712,-0.6099282,0.478,0.084,3.872323,9,4.976,51.2,0,4,95.2,0,4.6,3,42.91,41.96350971,0,0,0,0.947190185,20042.692,19949.10472,0,0,0,93.58695634,0.33,0.26,0,0,0,0.07,Mature Alaskan birch stand located out towards Murphy Dome fire scar.,Late succession Alaska paper birch stand
MATDEC4,MATDEC4,Mature deciduous 4,NA,2009,70,3,BP,BN,65.4261,-148.8915,135,3.7,288.3408,-0.620962,1.092,0.08,6,14.6,5.522,56.8,0,14.4,96.8,0,4.4,2.6469661,37.628,29.25490349,0,2.244196712,0,5.926693081,15541.964,13456.3329,0,514.7378383,0,1522.834562,0.41,0.17,0,0.11,0,0.12,Mature Alaskan birch stand located on Elliot near Livengood fire scar.,Late succession Alaska paper birch stand
MATDEC5,MATDEC5,Mature deciduous 5,NA,2009,120,3,PT,PT,63.3678,-143.5335,11,6.4,519.0744,-0.7950858,1.02,0.108,6,4.4,4.87,71.2,0,8.8,88.8,5.6,2.9,2.670656,35.604,0,0,0.197920337,34.28129466,0.90210833,12866.552,0,0,12.08714581,12712.62638,111.8677075,0.72,0,0,0.15,0.24,0.2,Mature aspen located near Tok Junction on W side of Alaska Hwy near campground.,Late succession Trembling aspen stand
MD581,MD581,Murphy Dome,1958,2009,51,2,BP,BN,64.88149,-148.39025,45,6.7,208.3629608,-0.7749258,1.334,0.178,6,4.6,4.776,12,0,18.4,93.6,0,3.2,2.9911723,29.276,29.2679411,0,0,0,0,11614.782,11614.47017,0,0,0,0,0.7,0.69,0,0,0,0,Murphy Dome fire scar. Located out on Cache Creek Rd just past damaged 1 car bridge.,Mid-succession Alaska paper birch stand
MD582,MD582,Murphy Dome,1958,2009,51,2,PM_BP,BN,64.88044,-148.38646,53,6.2,196.990387,-0.7467986,1.912,0.096,6,13.8,4.69,9.6,0,4,87.2,0,3.3,1.9859953,33.258,22.31724589,0,10.6125356,0,0,11518.908,8613.186367,0,2844.791964,0,0,2.65,0.63,0,1.94,0,0,Murphy Dome fire scar. Located out on Cache Creek Rd just past damaged 1 car bridge.,Mid-succession Alaska paper birch stand
MD583,MD583,Murphy Dome,1958,2009,51,2,PM,PM,64.88212,-148.39168,11,6.3,199.7011566,-0.8259221,7.966,0.172,6,23.2,4.636,76.8,0,0,45.6,10.4,0,1.1017474,5.676,0.215042017,0,5.408801532,0,0.047909288,987.212,24.44815816,0,959.1757222,0,3.587627058,3.2,0.11,0,3.07,0,0.02,Murphy Dome fire scar. Located out on Cache Creek Rd just past damaged 1 car bridge.,Mid-succession Black spruce stand
MF831,MF831,Minto Flats,1983,2009,26,2,PT,PT,65.20547,-149.73668,99,11.1,416.8222961,-0.6310263,1.098,0.188,6,1.4,4.216,1.6,0,2.4,61.6,45.6,1.1,2.9119898,7.828,0.024033184,0,0.091420346,7.713630982,0,1769.804,0.976616463,0,12.45507833,1756.375703,0,1.42,0.02,0,0.11,1.29,0,Minto Flats fire scar. Located on Elliot Hwy out towards Manley Hot Springs. Park at camp spot at top of berm and hike downhill.,Mid-succession Trembling aspen stand
MF832,MF832,Minto Flats,1983,2009,26,2,PM,PM,65.20553,-149.7379,103,9.3,428.1099243,-0.621406,1.48,0.17,6,6,4.328,54.4,0,20.8,48.8,24,0,1.1811904,0.646,0.019242255,0,0.589676941,0,0.033300882,58.036,0.748275581,0,56.17981523,0,1.105299403,0.42,0.02,0,0.3,0,0.1,Minto Flats fire scar. Located on Elliot Hwy out towards Manley Hot Springs. Park at camp spot at top of berm and hike downhill.,Mid-succession Black spruce stand
MF833,MF833,Minto Flats,1983,2009,26,2,PT,PT,65.20885,-149.74132,122,15.5,472.953186,-0.5071845,1.494,0.204,6,3.6,3.828,25.6,0.8,11.2,76,29.6,1.3,2.3995221,8.206,0.062910393,0,1.418350543,6.72230142,0,1693.15,16.29071854,0,194.2078757,1482.649771,0,2.27,0.02,0,0.95,1.3,0,Minto Flats fire scar. Located on Elliot Hwy out towards Manley Hot Springs. Park at camp spot at top of berm and hike downhill.,Mid-succession Trembling aspen stand
PF04TC15,TC15,Porcupine,2004,2014,10,1,PT,PT,63.63146667,-142.3207033,225,6,927,-0.5518509,NA,NA,3.220296,6.835,4.902,44,29.6,10.4,70.4,3.2,0.505,2.9736581,2.729258618,0,0,0.006911504,0.518676947,2.203670167,148.690801,0,0,0.250211399,42.04341707,106.3971725,2.52,0,0,0.06,0.92,1.54,Near the TC15 site from JFSP along the Taylor Highway. ,Early succession Trembling aspen stand
PF04TC25,TC25,Porcupine,2004,2014,10,1,PM_PT,PT,63.41978,-142.4806075,45,5,804,-0.7127675,NA,NA,4.304597,7.73,5.294,79.2,28,12.8,76,14.4,0.26,2.8252025,4.526249616,0.02120575,0,0.109013265,0.180327418,4.215703182,108.1414335,1.455449673,0,3.627862911,10.72048894,FALSE,9.82,0.08,0,1.48,1.1,7.16,Near the TC25 site from JFSP along the Taylor Highway. ,Early succession Trembling aspen stand
PF04TC28,TC28,Porcupine,2004,2014,10,1,PM_BP,BN,63.39575667,-142.492175,45,5,708,-0.7122419,NA,NA,2.197083,7.315,5.61,74.4,37.6,15.2,60.8,6.4,0.535,2.6628674,9.644689448,3.756716496,0.005026548,0.887185765,0.409977841,4.585782797,378.350242,169.8867842,0.249275976,35.61820918,21.39310826,151.2028644,32.96,4.44,0.04,8.08,4.32,16.08,Near the TC28 site from JFSP along the Taylor Highway. ,Early succession Alaska paper birch stand
PF04TC29,TC29,Porcupine,2004,2014,10,1,PM_BP,BN,63.38695,-142.5243367,135,8,622,-0.5203517,NA,NA,4.426772,7.475,6.042,78.4,0.8,16,60,5.6,1.03,2.6553442,4.700555649,1.6165065,0,0.42757076,0.164148216,1.892495415,326.9660564,142.5288411,0,29.30853393,22.44940201,132.6792793,21.93,2.5,0,4.82,2,9.04,Near the TC29 site from JFSP along the Taylor Highway. ,Early succession Alaska paper birch stand
PH06BS,NA,Parks Highway,2006,2014,8,1,PM_BP,PM,64.41085667,-149.0294633,F,0,125,-0.6529149,NA,NA,5,9.995,5.84,88.8,7.2,12,69.6,1.6,0.37,2.3499953,2.040935668,0.185825205,0,0.267977853,0.013823008,1.573309601,15.54802246,6.304739825,0,8.490068979,0.75321366,59.3735482,8.02,0.4,0,4.16,0.06,3.4,Along the Parks Highway S. of Nenana. ,Early succession Black spruce stand
PH06MIX,NA,Parks Highway,2006,2014,8,1,PM_BP,BN,64.4113925,-149.027605,F,0,141,-0.6529263,NA,NA,3,10.355,5.316,66.4,0,13.6,44.8,5.6,0.735,2.3818,2.128877822,0.7268299,0,0.233375454,0.123195312,1.045477155,22.29363514,13.21057491,0,4.753791803,4.329268431,21.57535123,23.43,5.4,0,5.66,1.26,11.11,Along the Parks Highway S. of Nenana. ,Early succession Alaska paper birch stand
PH06PB,NA,Parks Highway,2006,2014,8,1,PM_BP,BN,64.47348333,-149.0616233,F,0,142,-0.6542462,NA,NA,6,12.015,4.892,90.4,24,1.6,70.4,8,0.04,2.6641198,1.015519825,7.124622572,0,0.080424772,0.014294247,0.578367208,10.59443406,7.124622572,0,2.722258106,0.74755338,23.51501113,3.74,1,0,0.96,0.1,1.68,Along the Parks Highway S. of Nenana. ,Early succession Alaska paper birch stand
RF831,RF831,Rosie Creek,1983,2009,25,2,PM,PM,64.7757,-148.18568,154,5.6,199.4244995,-0.5666876,3.282,0.148,6,16.9,5.862,80.8,0,8,58.4,2.4,0,2.5729596,9.066,0.810687984,0,1.142283089,0,7.014233918,736.62,107.0613837,0,174.2246823,0,447.1233904,7.18,0.6,0,0.96,0,5.52,Accessed from Bonanza Creek.,Mid-succession Black spruce stand
