"fire_scar","fire_year","site","plot","tree.age","biomass.as","biomass.br","biomass.bp","biomass.bs","biomass.ws","biomass.unk.con","biomass","biomass.con","biomass.dec","density.as","density.br","density.bp","density.bs","density.ws","density.unk.con","density","study","cores_processed","postfire.age"
"Aggie Creek",2015,49,"C",111,8282.16385048319,0,0,0,0,0,8282.16385048319,0,8282.16385048319,0.25,0,0,0,0,0,0.25,"FiSL","1",7
"Munson Creek",2021,130,"A",68,7464.62504910121,0,0,76.4886941908008,0,0,7541.11374329201,76.4886941908008,7464.62504910121,0.35,0,0,0.05,0,0,0.4,"FiSL","1",1
"Munson Creek",2021,130,"B",69,3918.1453277608,411.375765857082,0,58.0285071952019,0,0,4387.54960081309,58.0285071952019,4329.52109361789,0.3,0.1,0,0.1,0,0,0.5,"FiSL","1",1
"Munson Creek",2021,130,"C",57,1340.79683196879,1089.27186302408,0,902.711076661788,0,0,3332.77977165466,902.711076661788,2430.06869499287,0.15,0.15,0,0.1,0,0,0.4,"FiSL","1",1
"Baker",2015,100,"A",43,3500.00322982486,0,0,221.947091407881,0,0,3721.95032123274,221.947091407881,3500.00322982486,0.45,0,0,0.2,0,0,0.65,"FiSL","1",7
"Baker",2015,100,"B",41,2711.73642956359,0,0,358.955002089123,0,0,3070.69143165271,358.955002089123,2711.73642956359,0.3,0,0,0.15,0,0,0.45,"FiSL","1",7
"Baker",2015,100,"C",43,3555.20330941634,0,0,1150.95518983827,0,0,4706.15849925461,1150.95518983827,3555.20330941634,0.4,0,0,0.7,0,0,1.1,"FiSL","1",7
"2019MA014",2019,154,"A",65,12122.3322280946,0,0,1123.22648790041,969.192594226897,0,14214.7513102219,2092.4190821273,12122.3322280946,0.45,0,0,0.1,0.05,0,0.6,"FiSL","1",3
"2019MA014",2019,154,"B",94,2652.55671307147,0,0,204.931610676868,0,0,2857.48832374834,204.931610676868,2652.55671307147,0.1,0,0,0.1,0,0,0.2,"FiSL","1",3
"2019MA014",2019,154,"C",98,4729.60065499542,0,0,78.7456930015533,78.898853671858,0,4887.24520166884,157.644546673411,4729.60065499542,0.1,0,0,0.05,0.05,0,0.2,"FiSL","1",3
"Baker",2015,102,"A",35,4974.28137793758,0,0,540.068446382382,0,0,5514.34982431996,540.068446382382,4974.28137793758,0.45,0,0,0.65,0,0,1.1,"FiSL","1",7
"Baker",2015,102,"B",33,2387.45482060762,0,0,121.855830490248,0,0,2509.31065109787,121.855830490248,2387.45482060762,0.2,0,0,0.1,0,0,0.3,"FiSL","1",7
"Baker",2015,102,"C",43,221.482767294068,0,0,32.7337561943734,0,0,254.216523488441,32.7337561943734,221.482767294068,0.05,0,0,0.05,0,0,0.1,"FiSL","1",7
"2019MA014",2019,150,"A",32,4291.70913513871,0,0,0,0,0,4291.70913513871,0,4291.70913513871,0.5,0,0,0,0,0,0.5,"FiSL","1",3
"2019MA014",2019,150,"B",52,12463.0175787058,0,0,0,0,0,12463.0175787058,0,12463.0175787058,0.6,0,0,0,0,0,0.6,"FiSL","1",3
"2019MA014",2019,150,"C",36,1571.41357050156,0,0,0,0,0,1571.41357050156,0,1571.41357050156,0.2,0,0,0,0,0,0.2,"FiSL","1",3
"2019BC005",2019,60,"A",71,14202.5408343165,0,0,2265.15566461243,0,0,16467.696498929,2265.15566461243,14202.5408343165,0.3,0,0,0.6,0,0,0.9,"FiSL","1",3
